story_family,route_name,manual_pref,hypothesis_pref,route_pref
badnight_aftereffect,q2_hardtail,0.0,0.0,0.0
badnight_aftereffect,q3_quality,0.0,0.07958477508650519,0.014325259515570933
badnight_aftereffect,q_subjective,0.2,0.1245674740484429,0.18642214532871973
badnight_aftereffect,q1q3_subjective,0.0,0.07958477508650519,0.014325259515570933
badnight_aftereffect,s_stage,0.12,0.0,0.09839999999999999
badnight_aftereffect,s23_core,0.0,0.0,0.0
badnight_aftereffect,s14_edge,0.0,0.0,0.0
badnight_aftereffect,q3_s_stage,0.26,0.7162629757785467,0.3421273356401384
badnight_aftereffect,q2_s3_tail,0.14,0.0,0.1148
badnight_aftereffect,recovery_route,0.0,0.0,0.0
badnight_aftereffect,nonq2_full,0.11,0.0,0.09019999999999999
badnight_aftereffect,full_state,0.17,0.0,0.1394
nocturnal_awake,q2_hardtail,0.0,0.0,0.0
nocturnal_awake,q3_quality,0.0,0.0,0.0
nocturnal_awake,q_subjective,0.0,0.0,0.0
nocturnal_awake,q1q3_subjective,0.0,0.0,0.0
nocturnal_awake,s_stage,0.24,0.0,0.1968
nocturnal_awake,s23_core,0.08,0.0,0.0656
nocturnal_awake,s14_edge,0.0,0.0,0.0
nocturnal_awake,q3_s_stage,0.3,1.0,0.426
nocturnal_awake,q2_s3_tail,0.14,0.0,0.11480000000000001
nocturnal_awake,recovery_route,0.0,0.0,0.0
nocturnal_awake,nonq2_full,0.1,0.0,0.08200000000000002
nocturnal_awake,full_state,0.14,0.0,0.11480000000000001
bedtime_arousal,q2_hardtail,0.0,0.0,0.0
bedtime_arousal,q3_quality,0.08,0.0,0.0656
bedtime_arousal,q_subjective,0.21,0.0,0.17220000000000002
bedtime_arousal,q1q3_subjective,0.0,0.0,0.0
bedtime_arousal,s_stage,0.0,0.05515587529976019,0.009928057553956836
bedtime_arousal,s23_core,0.0,0.0,0.0
bedtime_arousal,s14_edge,0.0,0.0,0.0
bedtime_arousal,q3_s_stage,0.24,0.8896882494004796,0.35694388489208634
bedtime_arousal,q2_s3_tail,0.16,0.05515587529976019,0.14112805755395685
bedtime_arousal,recovery_route,0.0,0.0,0.0
bedtime_arousal,nonq2_full,0.13,0.0,0.10660000000000001
bedtime_arousal,full_state,0.18,0.0,0.1476
social_load,q2_hardtail,0.0,0.0,0.0
social_load,q3_quality,0.0,0.0,0.0
social_load,q_subjective,0.28,0.05146476642913698,0.23886365795724465
social_load,q1q3_subjective,0.1,0.0,0.082
social_load,s_stage,0.0,0.09105304829770389,0.0163895486935867
social_load,s23_core,0.0,0.0,0.0
social_load,s14_edge,0.0,0.0,0.0
social_load,q3_s_stage,0.2,0.8574821852731591,0.31834679334916866
social_load,q2_s3_tail,0.06,0.0,0.049199999999999994
social_load,recovery_route,0.0,0.0,0.0
social_load,nonq2_full,0.16,0.0,0.13119999999999998
social_load,full_state,0.2,0.0,0.164
routine_pressure,q2_hardtail,0.18,0.0,0.14759999999999998
routine_pressure,q3_quality,0.0,0.0,0.0
routine_pressure,q_subjective,0.2,0.0,0.164
routine_pressure,q1q3_subjective,0.0,0.0,0.0
routine_pressure,s_stage,0.0,0.1776061776061776,0.031969111969111966
routine_pressure,s23_core,0.0,0.0,0.0
routine_pressure,s14_edge,0.0,0.0,0.0
routine_pressure,q3_s_stage,0.12,0.8223938223938224,0.24643088803088803
routine_pressure,q2_s3_tail,0.14,0.0,0.1148
routine_pressure,recovery_route,0.0,0.0,0.0
routine_pressure,nonq2_full,0.12,0.0,0.09839999999999999
routine_pressure,full_state,0.24,0.0,0.19679999999999997
recovery_rest,q2_hardtail,0.0,0.0,0.0
recovery_rest,q3_quality,0.0,0.0,0.0
recovery_rest,q_subjective,0.0,0.0,0.0
recovery_rest,q1q3_subjective,0.1,0.0,0.08200000000000002
recovery_rest,s_stage,0.18,0.0,0.1476
recovery_rest,s23_core,0.08,0.0,0.0656
recovery_rest,s14_edge,0.0,0.0,0.0
recovery_rest,q3_s_stage,0.0,0.9417040358744395,0.16950672645739914
recovery_rest,q2_s3_tail,0.0,0.0,0.0
recovery_rest,recovery_route,0.3,0.05829596412556054,0.25649327354260093
recovery_rest,nonq2_full,0.22,0.0,0.1804
recovery_rest,full_state,0.12,0.0,0.0984
cashflow_stress,q2_hardtail,0.15,0.0,0.12299999999999998
