family,mean_score,max_score,auc_h057_seed_row,auc_h068_selected_row,auc_h069_selected_row,auc_h070_selected_row,auc_h071_selected_row,spearman_public_score,spearman_latent_hsjepa,selected_h071_mean,not_selected_h071_mean,family_corr_abs_mean
badnight_aftereffect,0.502,0.7680559999999998,0.48520325203252035,0.6972369194591417,0.4956896551724138,0.45852987421383645,0.4261144744083655,-0.03174617193875102,-0.1077624921998752,0.4916099392405062,0.5198438,
nocturnal_awake,0.502,0.852952,0.5799457994579946,0.7131099353321576,0.529794313369631,0.5357049266247379,0.43264997248211334,-0.06517006672106754,0.0022153314453031247,0.49155233924050623,0.5199427217391304,
bedtime_arousal,0.502,0.8407287999999999,0.5518699186991869,0.7195767195767195,0.5452964307320024,0.5241090146750524,0.48039350577875617,-0.033515672250756,0.0002200355205683291,0.49891081012658234,0.5073053478260869,
social_load,0.502,0.9086640000000001,0.5040650406504066,0.5878894767783657,0.5434815486993345,0.548087002096436,0.5244221243808476,0.03904460021016732,0.06261106179831379,0.5033579341772153,0.4996678956521741,
routine_pressure,0.502,0.864208,0.41853658536585364,0.5614344503233393,0.4999243799153055,0.4627227463312369,0.49140066042927905,0.07130494887918207,-0.045015888254212065,0.5024968911392405,0.5011466434782609,
recovery_rest,0.502,0.8729199999999999,0.5069918699186992,0.4209288653733098,0.4904718693284937,0.5596829140461216,0.5134837644468905,-0.055724283588537406,0.030419814717035466,0.5028154658227849,0.5005995260869565,
cashflow_stress,0.502,0.8634579200000001,0.5434146341463415,0.715461493239271,0.5555051421657593,0.4485718029350105,0.4488167308750688,-0.004462535400566408,-0.08769433110929774,0.4934577215189875,0.5166704347826087,
measurement_confidence,0.500656,0.8506163199999999,0.4181029810298103,0.5679012345679013,0.4699788263762855,0.379454926624738,0.41840946615299945,-0.03357480919694714,-0.16489646234339747,0.481933853772152,0.5328092511304346,
weekend_rhythm,0.46520000000000006,0.920471488,0.5659620596205962,0.6119929453262787,0.499546279491833,0.6283411949685535,0.5723032471106219,-0.0011500984015744252,0.21693851101617626,0.47791342440506324,0.4433660754782609,
body_fatigue,0.50136,0.7730728000000001,0.4547425474254742,0.5243974132863021,0.49720205686630364,0.38980607966457026,0.4305173362685746,-0.033298324773196365,-0.1344355589689435,0.4938061721518987,0.5143328782608697,
isolation_cocoon,0.502,0.8340504,0.556639566395664,0.4391534391534392,0.45961887477313973,0.6073768343815514,0.5429279031370391,-0.02569730715691451,0.09279854077665242,0.5046851493670886,0.497388547826087,
routine_anchor,0.502,0.8730736,0.49712737127371276,0.5102880658436214,0.49451754385964913,0.5657756813417191,0.5150660429279031,-0.04499708059272978,0.0406186416970471,0.5029312860759494,0.5004006173913044,
__geometry__,0.49876800000000004,0.920471488,,,,,,,,,,0.2770154242288253
