story_family,route_template,hypotheses,weighted_hypotheses,high_priority
badnight_aftereffect,q3_s_stage,90,207.0,45
badnight_aftereffect,q_subjective,20,36.0,5
badnight_aftereffect,q1q3_subjective,10,23.0,5
badnight_aftereffect,q3_quality,10,23.0,5
bedtime_arousal,q3_s_stage,180,371.0,70
bedtime_arousal,q2_s3_tail,10,23.0,5
bedtime_arousal,s_stage,10,23.0,5
body_fatigue,q3_s_stage,40,62.0,5
body_fatigue,s_stage,10,13.600000000000001,0
cashflow_stress,q3_s_stage,110,150.0,5
cashflow_stress,no_direct,10,23.0,5
measurement_confidence,no_direct,10,24.4,6
measurement_confidence,s_stage,10,24.4,6
measurement_confidence,q3_s_stage,10,23.0,5
measurement_confidence,s14_edge,10,23.0,5
nocturnal_awake,q3_s_stage,20,47.4,11
recovery_rest,q3_s_stage,100,210.0,40
recovery_rest,recovery_route,10,13.0,0
routine_pressure,q3_s_stage,110,213.0,35
routine_pressure,s_stage,20,46.0,10
social_load,q3_s_stage,140,216.6,20
social_load,no_direct,20,47.4,11
social_load,s_stage,10,23.0,5
social_load,q_subjective,10,13.0,0
weekend_rhythm,q3_s_stage,10,23.0,5
weekend_rhythm,s_stage,10,23.0,5
