row,subject_id,sleep_date,route_consensus,h055_gain,h036_score,h036_agree,h020_score,h019_row_score,h021_score,h021_conf,h060_role
150,id06,2024-08-24,0.8785714285714287,0.014288431784790934,2.8161159144824386,1.0,0.6536076190476191,0.94688,0.6803168015935094,0.5776335317770709,route_core_amplified
148,id06,2024-08-22,0.8634920634920635,0.01513283084118396,3.9258528076817263,0.8333333333333334,0.5281371428571429,0.93216,0.6240916710124362,0.603792640776467,route_core_amplified
146,id06,2024-08-20,0.8190476190476192,0.01936535696686681,1.5911743809375296,0.6666666666666666,0.7185180952380953,0.8217600000000002,0.6893892474564884,0.5578519515681567,route_core_amplified
151,id06,2024-08-25,0.7555555555555558,0.01211865016479019,1.3298792324638888,0.8333333333333334,0.5872647619047618,0.90592,0.6068174858294867,0.5394560005760044,route_core_amplified
149,id06,2024-08-23,0.7392857142857144,0.009009808445668857,1.367589081494283,0.8333333333333334,0.5301714285714286,0.87712,0.5761528916924613,0.6562120775099256,route_core_amplified
35,id02,2024-09-03,0.7353174603174604,0.01408950193838221,1.563494875537641,0.8333333333333334,0.5598780952380952,0.7596800000000001,0.5514580307464412,0.5268977727798251,route_core_amplified
70,id03,2024-09-16,0.7234126984126985,0.01762312766222092,1.9477004041451065,0.8333333333333334,0.46026666666666666,0.95808,0.47943147861594776,0.476462154984501,route_core_amplified
158,id07,2024-07-20,0.7154761904761906,0.018941681945823796,0.5894410335645679,0.8333333333333334,0.7944800000000001,0.7743199999999999,0.5739863363965931,0.2007326343639181,route_core_amplified
103,id04,2024-10-26,0.6670634920634921,0.006434041353384126,3.587626060600195,1.0,0.5742514285714285,0.80464,0.508609676980969,0.2219588610953214,middle_damped
91,id04,2024-09-25,0.6615079365079366,0.014340662052178543,0.6626418956734199,0.8333333333333334,0.5342590476190476,0.8028,0.49259815715520566,0.3806698333950762,middle_damped
135,id06,2024-07-14,0.6595238095238096,0.011037780596364007,3.786807946244582,0.6666666666666666,0.4417295238095238,0.6352,0.5364198353496471,0.5870172719863307,middle_damped
121,id05,2024-11-13,0.6301587301587301,0.007103435526696206,1.0286958363583192,1.0,0.6169714285714285,0.39072,0.5768021067199516,0.3770867240759484,middle_damped
