candidate_id,story,file,basename,active_targets,n_active_targets,changed_rows,changed_cells,mean_abs_logit_move,l1_logit_move,max_abs_logit_move,max_abs_prob_delta,changed_Q1,changed_Q2,changed_Q3,changed_S1,changed_S2,changed_S3,changed_S4,promotion_decision,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current,strict_promote_gate,info_sensor_gate,below_resolution_gate,block_gate,bad_axis_abs_load,mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,changed_rows_vs_current,changed_cells_vs_current,l1_logit_delta_vs_current,max_abs_prob_delta_vs_current,cos_delta_with_h003_tiny,l1_ratio_to_h003_tiny,shape_gate,h006_strict_upload_gate,h006_info_gate,h006_decision
s4_mobility_only_top20_amp0p008,S4-only mobility scale ladder: test whether H005's cleanest social route has enough selector resolution,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top20_amp0p008_4ab3c0e1.csv,submission_h006_s4_mobility_only_top20_amp0p008_4ab3c0e1.csv,S4,1,20,20,9.142857142857143e-05,0.16,0.008,0.001992488214348054,0,0,0,0,0,0,20,too_small_to_submit,-7.063328016339055e-06,-2.9471787674854533e-05,2.880783226581845e-06,0.8888888888888888,0.00011656411075655626,False,True,True,False,0.19967682893318134,0.044365406949067536,0.04749707798574356,20,20,0.15999999999999792,0.0019924882143479983,0.004951605581241455,0.01181575757801716,True,False,True,too_small_to_submit
s4_mobility_only_top28,most conservative mobility read: only S4 on consensus mobility rows,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top28_3aa3d8d2.csv,submission_h006_s4_mobility_only_top28_3aa3d8d2.csv,S4,1,28,28,9.600000000000002e-05,0.16800000000000004,0.006,0.0014984180058070784,0,0,0,0,0,0,28,too_small_to_submit,-7.606617101887812e-06,-3.08805612832594e-05,2.9756084699193357e-06,0.8888888888888888,0.00021179811872892862,False,True,True,False,0.1997720629411537,0.044363515484570584,0.04748827448686663,28,28,0.16800000000000054,0.0014984180058070784,-0.01194730003794539,0.012406545456918218,True,False,True,too_small_to_submit
s4_mobility_only_top36_amp0p008,S4-only mobility scale ladder: test whether H005's cleanest social route has enough selector resolution,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top36_amp0p008_52d4d1e1.csv,submission_h006_s4_mobility_only_top36_amp0p008_52d4d1e1.csv,S4,1,36,36,0.00016457142857142858,0.28800000000000003,0.008,0.0019978241554211573,0,0,0,0,0,0,36,too_small_to_submit,-1.3045435270753624e-05,-5.452644827104311e-05,5.220532915646697e-06,0.8888888888888888,0.0003945199123550347,False,True,True,False,0.19995478473477982,0.04437951548457058,0.04749964286050129,36,36,0.2879999999999976,0.0019978241554211573,-0.024078222884027483,0.021268363640430984,True,False,True,too_small_to_submit
s4_mobility_only_top50_amp0p006,S4-only mobility scale ladder: test whether H005's cleanest social route has enough selector resolution,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top50_amp0p006_cd002efd.csv,submission_h006_s4_mobility_only_top50_amp0p006_cd002efd.csv,S4,1,50,50,0.00017142857142857145,0.30000000000000004,0.006,0.0014984180058070784,0,0,0,0,0,0,50,too_small_to_submit,-1.1961317780792818e-05,-5.6290948814109113e-05,5.899731533213463e-06,0.8333333333333334,0.00048381766360539036,False,True,True,False,0.20004408248603017,0.04437877818371523,0.04751335714621558,50,50,0.29999999999999916,0.0014984180058070784,-0.03857342204878826,0.0221545454587824,True,False,True,too_small_to_submit
vehicle_s4s1_top22,high-confidence vehicle/mobility exposure mostly changes S4/S1,hitl/h006_h005_route_materializer/submission_h006_vehicle_s4s1_top22_e1657b33.csv,submission_h006_vehicle_s4s1_top22_e1657b33.csv,"S1,S4",2,22,44,0.00015085714285714287,0.264,0.006,0.001497031062762666,0,0,0,22,0,0,22,below_selector_resolution,-6.422634788874097e-06,-2.1318452676183628e-05,2.3630458061872277e-06,0.5138888888888888,0.00040388963506265974,False,False,True,False,0.19996415445748744,0.044394895481104965,0.047506195725282314,22,44,0.2640000000000056,0.001497031062762666,-0.01604306540432555,0.019496000003728982,True,False,False,shape_ok_but_selector_rejects
mobility_errand_s4s1q1_top18,"errand/weekend mobility drains recovery: S4 up, S1/Q1 down",hitl/h006_h005_route_materializer/submission_h006_mobility_errand_s4s1q1_top18_6d0c2398.csv,submission_h006_mobility_errand_s4s1q1_top18_6d0c2398.csv,"Q1,S1,S4",3,18,54,0.0001851428571428572,0.32400000000000007,0.006,0.0014999988109295481,18,0,0,18,0,0,18,below_selector_resolution,-8.51409450939273e-06,-3.134943231869267e-05,3.935245514810061e-06,0.4722222222222222,0.0006170211400746695,False,False,True,False,0.20017728596249945,0.044437256004321704,0.047554848037284214,18,54,0.32400000000001195,0.0014999988109296036,-0.03189216905664075,0.023926909095485942,True,False,False,shape_ok_but_selector_rejects
forced_commute_q3s4q1_top16,bad-night residue plus forced commute shifts Q3/S4 up and Q1 down,hitl/h006_h005_route_materializer/submission_h006_forced_commute_q3s4q1_top16_4bb09eea.csv,submission_h006_forced_commute_q3s4q1_top16_4bb09eea.csv,"Q1,Q3,S4",3,16,48,0.00013714285714285713,0.24,0.005,0.0012499527239971941,16,0,16,0,0,0,16,below_selector_resolution,-1.5510256504311497e-05,-4.5279332250211574e-05,5.4553963176730045e-06,0.4861111111111111,-0.00030422461591483874,False,False,True,False,0.19925604020650994,0.04437609821964076,0.04751879227145785,16,48,0.24000000000000093,0.0012499527239971941,0.00046843778923838075,0.01772363636702604,True,False,False,shape_ok_but_selector_rejects
balanced_routebook_tiny,"tiny multi-story routebook: mobility, routine, and bedtime axes, each below usual movement scale",hitl/h006_h005_route_materializer/submission_h006_balanced_routebook_tiny_18e5792e.csv,submission_h006_balanced_routebook_tiny_18e5792e.csv,"Q1,Q2,S1,S2,S3,S4",6,27,87,0.00015771428571428571,0.276,0.006200000000000001,0.001549998656592777,27,20,0,10,10,10,10,below_selector_resolution,2.811912492035923e-06,6.924303396761253e-07,6.454410783266967e-06,0.08333333333333333,0.0001825894836628983,False,False,True,False,0.19974285430608768,0.044371750490010124,0.04749422902687091,27,87,0.27600000000001185,0.0015499986565928325,-0.046852473382701244,0.02038218182208074,False,False,False,reject_shape_or_bad_axis
s4_mobility_only_top50_amp0p008,S4-only mobility scale ladder: test whether H005's cleanest social route has enough selector resolution,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top50_amp0p008_2fcc469d.csv,submission_h006_s4_mobility_only_top50_amp0p008_2fcc469d.csv,S4,1,50,50,0.0002285714285714286,0.4,0.008,0.0019978241554211573,0,0,0,0,0,0,50,below_selector_resolution,-1.4517171129098185e-05,-7.514991110468789e-05,1.2108407706419915e-05,0.4583333333333333,0.0006450902181405205,False,False,True,False,0.2002053550405653,0.044392492469429515,0.047527071431929864,50,50,0.3999999999999932,0.0019978241554211573,-0.03857342204935937,0.02953939394504278,True,False,False,shape_ok_but_selector_rejects
weekend_obligation_s4q2s1_top18,"weekend-looking obligation/commute is not rest: S4/Q2 up, S1 down",hitl/h006_h005_route_materializer/submission_h006_weekend_obligation_s4q2s1_top18_e55fb596.csv,submission_h006_weekend_obligation_s4q2s1_top18_e55fb596.csv,"Q2,S1,S4",3,18,54,0.00018514285714285714,0.324,0.006,0.0014998684349339375,0,18,0,18,0,0,18,below_selector_resolution,8.253146688557945e-06,-1.9224184154233033e-07,1.8354057411351e-05,0.1111111111111111,-0.000726870606236496,False,False,True,False,0.1988333942161883,0.044427968537085444,0.04755119820031966,18,54,0.32399999999999984,0.001499868434933993,0.008417435365840293,0.023926909095485047,True,False,False,shape_ok_but_selector_rejects
