candidate_id,component,story,route_key,top_k,amp,selected_rows,eligible_rows,score_cutoff,selected_score_mean,selected_score_min,selected_score_max,hypothesis_ids,hypothesis_notes,h005_best_avg_delta,h005_mean_avg_delta,matched_feature_count_sum
mobility_errand_s4s1q1_top18,errand_mobility,"errand/weekend mobility drains recovery: S4 up, S1/Q1 down",S4_up|S1_down|Q1_down,18,0.006,18,250,0.8472463768115942,0.9013365539452496,0.8472463768115942,0.9814492753623189,"H0568,H0562,H0774",H0568:errand_fragmentation:cashflow_calendar:relaxed=False | H0562:errand_fragmentation:weekday:relaxed=False | H0774:errand_physical_drain:subject_residual:relaxed=False,-9.58286353163247e-05,-9.131564311304726e-05,41
weekend_obligation_s4q2s1_top18,weekend_obligation,"weekend-looking obligation/commute is not rest: S4/Q2 up, S1 down",S4_up|Q2_up|S1_down,18,0.006,18,250,0.9365217391304348,0.9740579710144927,0.9365217391304348,1.0,H0704,H0704:weekend_obligation_commute:subject_residual:relaxed=False,-9.535648541858608e-05,-9.535648541858608e-05,23
routine_anchor_q2s2q1_top18,routine_anchor,routine anchor/recovery lowers intervention and improves Q1/S2,Q2_down|S2_up|Q1_up,18,0.005,18,100,0.6573913043478261,0.7832850241545893,0.6573913043478261,0.9556521739130435,H0447,H0447:routine_anchor_recovery:badnight_residue:relaxed=False,-8.257925239103073e-05,-8.257925239103073e-05,8
bedtime_decision_s3q1q2_top18,decision_fatigue,bedtime decision fatigue/arousal hurts S3/Q1 and raises Q2,S3_down|Q1_down|Q2_up,18,0.005,18,250,0.94,0.9715458937198067,0.94,1.0,H0284,H0284:decision_fatigue_bedtime:subject_residual:relaxed=False,-8.06470915699589e-05,-8.06470915699589e-05,42
forced_commute_q3s4q1_top16,forced_commute_after_badnight,bad-night residue plus forced commute shifts Q3/S4 up and Q1 down,Q3_up|S4_up|Q1_down,16,0.005,16,250,0.948695652173913,0.9792391304347826,0.948695652173913,1.0,H0094,H0094:forced_commute_after_badnight:subject_residual:relaxed=False,-8.373236329458458e-05,-8.373236329458458e-05,4
vehicle_s4s1_top22,vehicle_exposure,high-confidence vehicle/mobility exposure mostly changes S4/S1,S4_up|S1_down,22,0.006,22,106,0.8721739130434782,0.934703557312253,0.8721739130434782,0.9965217391304347,H0646,H0646:high_confidence_vehicle_exposure:late_arousal:relaxed=False,-6.412408293384389e-05,-6.412408293384389e-05,12
q2s2_recovery_only_top24,q2s2_recovery,safe recovery-only slice: Q2 down and S2 up without broad Q/S side effects,Q2_down|S2_up,24,0.0055,24,163,0.846086956521739,0.9072463768115941,0.846086956521739,0.9843478260869565,"H0447,H0761",H0447:routine_anchor_recovery:badnight_residue:relaxed=False | H0761:physiology_recovery:high_sensor:relaxed=False,-8.257925239103073e-05,-6.871918945056539e-05,15
s4_mobility_only_top28,s4_mobility_consensus,most conservative mobility read: only S4 on consensus mobility rows,S4_up,28,0.006,28,250,0.831014492753623,0.8872256728778467,0.831014492753623,0.9588405797101448,"H0704,H0774,H0646",H0704:weekend_obligation_commute:subject_residual:relaxed=False | H0774:errand_physical_drain:subject_residual:relaxed=False | H0646:high_confidence_vehicle_exposure:late_arousal:relaxed=False,-9.535648541858608e-05,-8.419041457043467e-05,63
balanced_routebook_tiny,mobility_tiny,"tiny multi-story routebook: mobility, routine, and bedtime axes, each below usual movement scale",S4_up|S1_down|Q1_down,10,0.0032,10,250,0.9230434782608695,0.9512608695652173,0.9230434782608695,0.9869565217391305,"H0568,H0774",H0568:errand_fragmentation:cashflow_calendar:relaxed=False | H0774:errand_physical_drain:subject_residual:relaxed=False,-9.58286353163247e-05,-9.44596553375994e-05,32
balanced_routebook_tiny,routine_tiny,"tiny multi-story routebook: mobility, routine, and bedtime axes, each below usual movement scale",Q2_down|S2_up|Q1_up,10,0.003,10,100,0.7652173913043478,0.8449565217391305,0.7652173913043478,0.9556521739130435,H0447,H0447:routine_anchor_recovery:badnight_residue:relaxed=False,-8.257925239103073e-05,-8.257925239103073e-05,8
