candidate_id,story,file,basename,active_targets,n_active_targets,changed_rows,changed_cells,mean_abs_logit_move,l1_logit_move,max_abs_logit_move,max_abs_prob_delta,changed_Q1,changed_Q2,changed_Q3,changed_S1,changed_S2,changed_S3,changed_S4
mobility_errand_s4s1q1_top18,"errand/weekend mobility drains recovery: S4 up, S1/Q1 down",hitl/h006_h005_route_materializer/submission_h006_mobility_errand_s4s1q1_top18_6d0c2398.csv,submission_h006_mobility_errand_s4s1q1_top18_6d0c2398.csv,"Q1,S1,S4",3,18,54,0.0001851428571428572,0.32400000000000007,0.006,0.0014999988109295481,18,0,0,18,0,0,18
weekend_obligation_s4q2s1_top18,"weekend-looking obligation/commute is not rest: S4/Q2 up, S1 down",hitl/h006_h005_route_materializer/submission_h006_weekend_obligation_s4q2s1_top18_e55fb596.csv,submission_h006_weekend_obligation_s4q2s1_top18_e55fb596.csv,"Q2,S1,S4",3,18,54,0.00018514285714285714,0.324,0.006,0.0014998684349339375,0,18,0,18,0,0,18
routine_anchor_q2s2q1_top18,routine anchor/recovery lowers intervention and improves Q1/S2,hitl/h006_h005_route_materializer/submission_h006_routine_anchor_q2s2q1_top18_d1bb6df2.csv,submission_h006_routine_anchor_q2s2q1_top18_d1bb6df2.csv,"Q1,Q2,S2",3,18,54,0.00015428571428571425,0.26999999999999996,0.005,0.0012498319078358966,18,18,0,0,18,0,0
bedtime_decision_s3q1q2_top18,bedtime decision fatigue/arousal hurts S3/Q1 and raises Q2,hitl/h006_h005_route_materializer/submission_h006_bedtime_decision_s3q1q2_top18_ec607fdb.csv,submission_h006_bedtime_decision_s3q1q2_top18_ec607fdb.csv,"Q1,Q2,S3",3,18,54,0.0001542857142857143,0.27,0.005,0.001249999346612407,18,18,0,0,0,18,0
forced_commute_q3s4q1_top16,bad-night residue plus forced commute shifts Q3/S4 up and Q1 down,hitl/h006_h005_route_materializer/submission_h006_forced_commute_q3s4q1_top16_4bb09eea.csv,submission_h006_forced_commute_q3s4q1_top16_4bb09eea.csv,"Q1,Q3,S4",3,16,48,0.00013714285714285713,0.24,0.005,0.0012499527239971941,16,0,16,0,0,0,16
vehicle_s4s1_top22,high-confidence vehicle/mobility exposure mostly changes S4/S1,hitl/h006_h005_route_materializer/submission_h006_vehicle_s4s1_top22_e1657b33.csv,submission_h006_vehicle_s4s1_top22_e1657b33.csv,"S1,S4",2,22,44,0.00015085714285714287,0.264,0.006,0.001497031062762666,0,0,0,22,0,0,22
q2s2_recovery_only_top24,safe recovery-only slice: Q2 down and S2 up without broad Q/S side effects,hitl/h006_h005_route_materializer/submission_h006_q2s2_recovery_only_top24_b23d9daa.csv,submission_h006_q2s2_recovery_only_top24_b23d9daa.csv,"Q2,S2",2,24,48,0.00015085714285714287,0.264,0.0055,0.0013722524619267373,0,24,0,0,24,0,0
s4_mobility_only_top28,most conservative mobility read: only S4 on consensus mobility rows,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top28_3aa3d8d2.csv,submission_h006_s4_mobility_only_top28_3aa3d8d2.csv,S4,1,28,28,9.600000000000002e-05,0.16800000000000004,0.006,0.0014984180058070784,0,0,0,0,0,0,28
balanced_routebook_tiny,"tiny multi-story routebook: mobility, routine, and bedtime axes, each below usual movement scale",hitl/h006_h005_route_materializer/submission_h006_balanced_routebook_tiny_18e5792e.csv,submission_h006_balanced_routebook_tiny_18e5792e.csv,"Q1,Q2,S1,S2,S3,S4",6,27,87,0.00015771428571428571,0.276,0.006200000000000001,0.001549998656592777,27,20,0,10,10,10,10
s4_mobility_only_top20_amp0p008,S4-only mobility scale ladder: test whether H005's cleanest social route has enough selector resolution,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top20_amp0p008_4ab3c0e1.csv,submission_h006_s4_mobility_only_top20_amp0p008_4ab3c0e1.csv,S4,1,20,20,9.142857142857143e-05,0.16,0.008,0.001992488214348054,0,0,0,0,0,0,20
s4_mobility_only_top36_amp0p008,S4-only mobility scale ladder: test whether H005's cleanest social route has enough selector resolution,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top36_amp0p008_52d4d1e1.csv,submission_h006_s4_mobility_only_top36_amp0p008_52d4d1e1.csv,S4,1,36,36,0.00016457142857142858,0.28800000000000003,0.008,0.0019978241554211573,0,0,0,0,0,0,36
s4_mobility_only_top50_amp0p006,S4-only mobility scale ladder: test whether H005's cleanest social route has enough selector resolution,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top50_amp0p006_cd002efd.csv,submission_h006_s4_mobility_only_top50_amp0p006_cd002efd.csv,S4,1,50,50,0.00017142857142857145,0.30000000000000004,0.006,0.0014984180058070784,0,0,0,0,0,0,50
s4_mobility_only_top50_amp0p008,S4-only mobility scale ladder: test whether H005's cleanest social route has enough selector resolution,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_only_top50_amp0p008_2fcc469d.csv,submission_h006_s4_mobility_only_top50_amp0p008_2fcc469d.csv,S4,1,50,50,0.0002285714285714286,0.4,0.008,0.0019978241554211573,0,0,0,0,0,0,50
s4_mobility_down_control_top28_amp0p006,S4-only mobility opposite-direction control,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_down_control_top28_amp0p006_aee91ace.csv,submission_h006_s4_mobility_down_control_top28_amp0p006_aee91ace.csv,S4,1,28,28,9.600000000000002e-05,0.16800000000000004,0.006,0.001498696427139068,0,0,0,0,0,0,28
s4_mobility_down_control_top36_amp0p008,S4-only mobility opposite-direction control,hitl/h006_h005_route_materializer/submission_h006_s4_mobility_down_control_top36_amp0p008_dca8a631.csv,submission_h006_s4_mobility_down_control_top36_amp0p008_dca8a631.csv,S4,1,36,36,0.00016457142857142858,0.28800000000000003,0.008,0.0019983191243715392,0,0,0,0,0,0,36
