flat_idx,row,target,target_idx,cell_key,direction,source_families,source_family_count,source_records,mean_health,max_health,mean_local_score,max_abs_proposed_step,mean_abs_proposed_step,bad_tangent_value,bad_tangent_abs,bad_tangent_abs_rank,anti_tangent_direction,proposed_is_anti_bad,proposed_is_bad_aligned,action_health,anti_bad_score,orthogonal_score,subject_id,release_head,release_sign,supported_release,support_signs,scalar_grad,bad_mode_grad,residual_grad,total_mode_grad,scalar_stability,mode_confidence,residual_share,scalar_bad_agree,scalar_residual_agree,mode_conflict,prototype_predicted_scalar_delta,prototype_predicted_bad_delta,prototype_predicted_residual_delta,prototype_predicted_total_mode_delta,prototype_energy_delta,prototype_subject_delta,scalar_abs_rank,bad_abs_rank,residual_abs_rank,total_mode_abs_rank,head_abs_grad,head_abs_rank,agreement_score,conflict_score,mixture_score
645,92,Q2,1,92:Q2,-1,public_loss_tomography,1,1,0.885904255319149,0.885904255319149,0.8404255319148937,0.8,0.8,0.0026126970283073068,0.0026126970283073068,0.8129496402877698,-1,True,False,0.7090720836390316,0.7147042866191273,0.5442488120787303,id04,scalar,1,False,-1,-0.876853773803336,0.24935188137785896,0.033195010215491656,0.2825468915933506,0.9615384615384616,0.7578133736095234,0.11748495985278565,False,False,False,-0.0876853773803336,0.024935188137785898,0.003319501021549166,0.028254689159335062,-0.025816548129001138,-0.0006211833318041926,0.8834782608695653,0.9704347826086956,0.37043478260869567,0.9095652173913044,0.2825468915933506,0.9434782608695652,0.3333333333333333,0.19016365863722381,0.8255504153186057
1725,246,S1,3,246:S1,-1,public_loss_tomography,1,1,0.851063829787234,0.851063829787234,0.7978723404255319,0.8,0.8,0.0022287573128787785,0.0022287573128787785,0.762589928057554,-1,True,False,0.6837582538517974,0.6834437524081981,0.5373813530246968,id10,scalar,1,False,-1,-1.1958771695486434,0.22724628604384264,0.07737631409468233,0.304622600138525,1.0,0.5776855458870801,0.2540071355810173,False,False,False,-0.11958771695486435,0.022724628604384265,0.007737631409468234,0.0304622600138525,-0.03996914423758113,-0.0012565392623570953,0.9356521739130435,0.9356521739130435,0.7095652173913043,0.9182608695652174,0.304622600138525,0.951304347826087,0.3333333333333333,0.21746809378287013,0.8226834886255372
1725,246,S1,3,246:S1,-1,public_loss_tomography,1,1,0.851063829787234,0.851063829787234,0.7978723404255319,0.8,0.8,0.0022287573128787785,0.0022287573128787785,0.762589928057554,-1,True,False,0.6837582538517974,0.6834437524081981,0.5373813530246968,id10,target_split,1,False,-1,-1.1958771695486434,0.22724628604384264,0.07737631409468233,0.304622600138525,1.0,0.5776855458870801,0.2540071355810173,False,False,False,-0.11958771695486435,0.022724628604384265,0.007737631409468234,0.0304622600138525,-0.03996914423758113,-0.0012565392623570953,0.9356521739130435,0.9356521739130435,0.7095652173913043,0.9182608695652174,0.304622600138525,0.951304347826087,0.3333333333333333,0.21746809378287013,0.8226834886255372
789,112,S3,5,112:S3,1,"listener_dropout,route_frontier,route_toxicity_fusion",3,3,0.4622262923811535,0.5087491986961834,0.35837071954339406,0.5175749935185845,0.3454399006604978,-0.0024643512943980867,0.0024643512943980867,0.8057553956834532,1,True,False,0.5531026028893422,0.6806830428750044,0.48231758369272154,id05,scalar,1,True,1,-1.0032899465760534,-0.16107111208993205,-0.021156969714118044,-0.1822280818040501,0.9615384615384616,0.6323198931813773,0.11610158821049348,True,True,False,-0.10032899465760535,-0.016107111208993205,-0.0021156969714118045,-0.01822280818040501,-0.03862742994289459,-0.00011486029824073207,0.9095652173913044,0.7704347826086957,0.28347826086956524,0.7269565217391304,0.1822280818040501,0.8191304347826087,1.0,0.023220317642098698,0.8112475990643548
789,112,S3,5,112:S3,1,"listener_dropout,route_frontier,route_toxicity_fusion",3,3,0.4622262923811535,0.5087491986961834,0.35837071954339406,0.5175749935185845,0.3454399006604978,-0.0024643512943980867,0.0024643512943980867,0.8057553956834532,1,True,False,0.5531026028893422,0.6806830428750044,0.48231758369272154,id05,consensus,1,True,1,-1.0032899465760534,-0.16107111208993205,-0.021156969714118044,-0.1822280818040501,0.9615384615384616,0.6323198931813773,0.11610158821049348,True,True,False,-0.10032899465760535,-0.016107111208993205,-0.0021156969714118045,-0.01822280818040501,-0.03862742994289459,-0.00011486029824073207,0.9095652173913044,0.7704347826086957,0.28347826086956524,0.7269565217391304,0.1822280818040501,0.8191304347826087,1.0,0.023220317642098698,0.8112475990643548
789,112,S3,5,112:S3,1,"listener_dropout,route_frontier,route_toxicity_fusion",3,3,0.4622262923811535,0.5087491986961834,0.35837071954339406,0.5175749935185845,0.3454399006604978,-0.0024643512943980867,0.0024643512943980867,0.8057553956834532,1,True,False,0.5531026028893422,0.6806830428750044,0.48231758369272154,id05,target_split,1,True,1,-1.0032899465760534,-0.16107111208993205,-0.021156969714118044,-0.1822280818040501,0.9615384615384616,0.6323198931813773,0.11610158821049348,True,True,False,-0.10032899465760535,-0.016107111208993205,-0.0021156969714118045,-0.01822280818040501,-0.03862742994289459,-0.00011486029824073207,0.9095652173913044,0.7704347826086957,0.28347826086956524,0.7269565217391304,0.1822280818040501,0.8191304347826087,1.0,0.023220317642098698,0.8112475990643548
789,112,S3,5,112:S3,1,"listener_dropout,route_frontier,route_toxicity_fusion",3,3,0.4622262923811535,0.5087491986961834,0.35837071954339406,0.5175749935185845,0.3454399006604978,-0.0024643512943980867,0.0024643512943980867,0.8057553956834532,1,True,False,0.5531026028893422,0.6806830428750044,0.48231758369272154,id05,bad_mode,1,True,1,-1.0032899465760534,-0.16107111208993205,-0.021156969714118044,-0.1822280818040501,0.9615384615384616,0.6323198931813773,0.11610158821049348,True,True,False,-0.10032899465760535,-0.016107111208993205,-0.0021156969714118045,-0.01822280818040501,-0.03862742994289459,-0.00011486029824073207,0.9095652173913044,0.7704347826086957,0.28347826086956524,0.7269565217391304,0.16107111208993205,0.7495652173913043,1.0,0.023220317642098698,0.7973345555860939
167,23,S4,6,23:S4,1,"listener_dropout,public_loss_tomography,route_frontier",3,3,0.47363994654576214,0.7369629179331307,0.34875591016548463,0.8,0.5979750271069766,-0.0018527604913341625,0.0018527604913341625,0.6654676258992805,1,True,False,0.636616768605508,0.6875909487446452,0.5483887564598869,id01,scalar,1,True,1,-0.5357272528774577,-0.28104918701698395,-0.10072203670414231,-0.38177122372112626,1.0,0.5928134365109985,0.26382825746304356,True,True,False,-0.05357272528774577,-0.028104918701698397,-0.010072203670414233,-0.038177122372112626,-0.005115792673388131,0.00048233079356701375,0.7269565217391304,0.9878260869565217,0.8052173913043478,0.9617391304347827,0.38177122372112626,0.9773913043478261,1.0,0.052765651492608714,0.7899965889963748
167,23,S4,6,23:S4,1,"listener_dropout,public_loss_tomography,route_frontier",3,3,0.47363994654576214,0.7369629179331307,0.34875591016548463,0.8,0.5979750271069766,-0.0018527604913341625,0.0018527604913341625,0.6654676258992805,1,True,False,0.636616768605508,0.6875909487446452,0.5483887564598869,id01,consensus,1,True,1,-0.5357272528774577,-0.28104918701698395,-0.10072203670414231,-0.38177122372112626,1.0,0.5928134365109985,0.26382825746304356,True,True,False,-0.05357272528774577,-0.028104918701698397,-0.010072203670414233,-0.038177122372112626,-0.005115792673388131,0.00048233079356701375,0.7269565217391304,0.9878260869565217,0.8052173913043478,0.9617391304347827,0.38177122372112626,0.9773913043478261,1.0,0.052765651492608714,0.7899965889963748
167,23,S4,6,23:S4,1,"listener_dropout,public_loss_tomography,route_frontier",3,3,0.47363994654576214,0.7369629179331307,0.34875591016548463,0.8,0.5979750271069766,-0.0018527604913341625,0.0018527604913341625,0.6654676258992805,1,True,False,0.636616768605508,0.6875909487446452,0.5483887564598869,id01,target_split,1,True,1,-0.5357272528774577,-0.28104918701698395,-0.10072203670414231,-0.38177122372112626,1.0,0.5928134365109985,0.26382825746304356,True,True,False,-0.05357272528774577,-0.028104918701698397,-0.010072203670414233,-0.038177122372112626,-0.005115792673388131,0.00048233079356701375,0.7269565217391304,0.9878260869565217,0.8052173913043478,0.9617391304347827,0.38177122372112626,0.9773913043478261,1.0,0.052765651492608714,0.7899965889963748
