row,past_mean_Q1,future_mean_Q1,drift_Q1,drift_up_Q1,drift_down_Q1,drift_changed_Q1,past_mean_Q2,future_mean_Q2,drift_Q2,drift_up_Q2,drift_down_Q2,drift_changed_Q2,past_mean_Q3,future_mean_Q3,drift_Q3,drift_up_Q3,drift_down_Q3,drift_changed_Q3,past_mean_S1,future_mean_S1,drift_S1,drift_up_S1,drift_down_S1,drift_changed_S1,past_mean_S2,future_mean_S2,drift_S2,drift_up_S2,drift_down_S2,drift_changed_S2,past_mean_S3,future_mean_S3,drift_S3,drift_up_S3,drift_down_S3,drift_changed_S3,past_mean_S4,future_mean_S4,drift_S4,drift_up_S4,drift_down_S4,drift_changed_S4,drift_subjective_recovery,recovery_up_subjective,intervention_relief_Q2,intervention_worsening_Q2,quality_rise_Q3,objective_stage_shift,valid_drift_row
0,,0.5,,0.0,0.0,0.0,,0.25,,0.0,0.0,0.0,,0.5,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,,0.5,,0.0,0.0,0.0,,0.5,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,0.75,,0.0,0.0,0.0,,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,0.0,0.25,0.25,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.75,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.5,0.25,-0.25,0.0,1.0,1.0,0.75,1.0,0.0,1.0,1.0,1.0,True
3,0.3333333333333333,0.0,-0.3333333333333333,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.75,0.75,1.0,0.0,1.0,0.3333333333333333,0.75,0.4166666666666667,1.0,0.0,1.0,0.6666666666666666,0.5,-0.16666666666666663,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,-0.41666666666666663,0.0,1.0,1.0,-0.08333333333333331,0.0,0.0,1.0,1.0,1.0,True
4,0.5,0.0,-0.5,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.25,-0.25,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,0.0,-0.5,0.0,1.0,1.0,-0.25,0.0,0.0,1.0,1.0,1.0,True
5,0.5,0.25,-0.25,0.0,1.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.25,-0.5,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.75,0.25,-0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,True
6,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.75,0.25,-0.5,0.0,1.0,1.0,0.75,1.0,0.25,1.0,0.0,1.0,0.5,0.25,-0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True
7,0.25,0.5,0.25,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,-0.25,0.0,1.0,1.0,0.5,0.25,-0.25,0.0,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
8,0.0,0.75,0.75,1.0,0.0,1.0,0.5,0.75,0.25,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.25,0.5,0.25,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,True
9,0.0,0.75,0.75,1.0,0.0,1.0,0.25,0.75,0.5,1.0,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.75,0.25,1.0,0.0,1.0,0.25,0.5,0.25,1.0,0.0,1.0,1.0,0.75,-0.25,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.0,1.0,0.25,1.0,0.0,1.0,0.0,1.0,True
