probe_target,positive_rate,valid_rows,has_two_classes
recovery_up_subjective,0.43414634146341463,410,True
intervention_relief_Q2,0.32195121951219513,410,True
intervention_worsening_Q2,0.4,410,True
quality_rise_Q3,0.4073170731707317,410,True
objective_stage_shift,0.9585365853658536,410,True
drift_up_Q1,0.3926829268292683,410,True
drift_down_Q1,0.32682926829268294,410,True
drift_up_Q2,0.4,410,True
drift_down_Q2,0.32195121951219513,410,True
drift_up_Q3,0.4073170731707317,410,True
drift_down_Q3,0.348780487804878,410,True
drift_up_S1,0.34146341463414637,410,True
drift_down_S1,0.32439024390243903,410,True
drift_up_S2,0.3121951219512195,410,True
drift_down_S2,0.3024390243902439,410,True
drift_up_S3,0.3073170731707317,410,True
drift_down_S3,0.3195121951219512,410,True
drift_up_S4,0.3853658536585366,410,True
drift_down_S4,0.33658536585365856,410,True
