source,style,row,target,q_prob,source_delta_logit,h027_cell_score,public_source_strength,private_safety,private_conflict,human_direction_agree,train_pred_gain,public_bad_energy,public_good_energy
h015_public_feedback,public_memory_bridge,188,Q3,0.7320428813871511,0.34250748513960494,25.16446630795446,15.43717918451821,0.7549428571428571,0.0,0.0,-0.037259169138657254,0.0,0.0
h015_public_feedback,public_memory_bridge,87,Q3,0.474178595289014,-0.2083085847285926,21.211368302010477,12.264951130225265,0.9633428571428571,0.0,0.0,-0.03664310865578414,0.0,0.0
h015_public_feedback,public_memory_bridge,129,S2,0.999999,8.817851931739384,19.40724717056332,29.10502448752123,0.4173714285714286,0.754385306122449,0.0,0.030203690117593354,0.0,0.0
h015_public_feedback,public_memory_bridge,147,S2,0.999999,3.396825360952475,13.632332945352436,13.954062607404225,0.32885714285714285,0.7140401632653062,0.0,0.15031716495021677,0.0,0.0
h015_public_feedback,public_memory_bridge,197,S1,0.9394289130508524,0.821324789579325,13.290979641033191,9.924016856740183,0.5292857142857144,0.734184,0.0,-0.000663800999719431,0.0,0.0
h015_public_feedback,public_memory_bridge,31,S2,0.999999,3.4936576448382066,12.362571209536503,14.836140972160576,0.20194285714285715,0.48548718367346944,0.0,-0.01164974520956761,0.0,0.0
h015_public_feedback,public_memory_bridge,145,S2,0.999999,3.384119460132755,12.307661240916946,13.90250022955486,0.49174285714285715,0.8673711020408162,0.0,0.058247393957121786,0.0,0.0
h015_public_feedback,public_memory_bridge,32,S2,0.999999,3.492995486108878,12.30361337433958,14.833225993551936,0.25694285714285714,0.5625874285714285,0.0,-0.014665103106316923,0.0,0.0
h015_public_feedback,public_memory_bridge,55,S1,0.999999,3.175669771785893,11.92525695759413,13.470421202069156,0.17502857142857145,0.6184352653061225,0.0,0.06149340757407791,0.0,0.0
h015_public_feedback,public_memory_bridge,140,Q3,0.5984114423820601,-0.2183539380563324,11.75285282855123,6.425068145182965,0.7980857142857143,0.0,0.0,-0.02068389983658722,0.0,0.0
h015_public_feedback,public_memory_bridge,102,S1,0.999999,3.387059582885936,11.670212577599965,13.912239661735446,0.38097142857142857,0.7466651428571429,0.0,0.02030872240678476,0.0,0.0
h015_public_feedback,public_memory_bridge,140,S2,0.999999,3.4865308737856395,11.615510291223172,14.803982525636192,0.21974285714285716,0.5583229387755102,0.0,-0.050963881326007064,0.0,0.0
h015_public_feedback,public_memory_bridge,53,S2,0.999999,3.375360117223819,11.488126583813052,13.862755594347297,0.1482857142857143,0.5049035102040816,0.0,0.020884392718592815,0.0,0.0
h015_public_feedback,public_memory_bridge,76,Q3,0.8898081278850393,0.31495282225757015,11.482710044115935,7.9603452180438445,0.2810285714285714,0.39630204081632653,0.0,-0.01820315986850921,0.0,0.0
h015_public_feedback,public_memory_bridge,205,S1,0.999999,3.4969766127712507,11.450411961165988,14.372529647680738,0.3987142857142857,0.7817639183673469,0.0,-0.017610844832424654,0.0,0.0
h015_public_feedback,public_memory_bridge,144,S2,0.999999,3.301327605306856,11.262537696167467,13.556137009678869,0.3349714285714286,0.732681306122449,0.0,0.020236196023276663,0.0,0.0
h015_public_feedback,public_memory_bridge,59,S1,0.999999,3.351261737423748,10.994537148698132,13.764015315706851,0.4441428571428572,0.8266217142857143,0.0,-0.0158770161356617,0.0,0.0
h015_public_feedback,public_memory_bridge,54,S1,0.999999,3.200242454313088,10.94632252806621,13.136990159140586,0.13874285714285714,0.5096824489795918,0.0,0.027999163446675173,0.0,0.0
h015_public_feedback,public_memory_bridge,103,S1,0.999999,3.34768488688154,10.870478768468546,13.748085224838812,0.29928571428571427,0.6884571428571428,0.0,-0.015202897862125059,0.0,0.0
h015_public_feedback,public_memory_bridge,128,S1,0.999999,3.1277665080335613,10.811923832539382,12.826557431142609,0.4035714285714286,0.8117191836734694,0.0,0.029709532537393123,0.0,0.0
h015_public_feedback,public_memory_bridge,141,S2,0.999999,3.307968569876696,10.608409560808088,13.580851761302208,0.254,0.6240703673469388,0.0,-0.02356537022985546,0.0,0.0
h015_public_feedback,public_memory_bridge,47,S1,0.999999,3.1277165691815885,10.56363184284277,12.83491685338565,0.21882857142857143,0.6172385306122449,0.0,0.020034837961765688,0.0,0.0
h015_public_feedback,public_memory_bridge,150,S2,0.9983004069405004,2.2409631587898478,10.555841516769668,9.706082545350023,0.5338285714285714,0.9362052244897959,0.0,0.15053341624124458,0.0,0.0
h015_public_feedback,public_memory_bridge,101,S1,0.999999,3.3949752068571986,10.486748837175297,13.947361687685124,0.3088857142857143,0.6620223673469388,0.0,-0.05680283853163105,0.0,0.0
h015_public_feedback,public_memory_bridge,43,S2,0.999999,3.256970660377247,10.410126617193466,12.919438036386959,0.15348571428571428,0.4973191836734694,0.0,0.021876057131629826,0.0,0.0
h015_public_feedback,public_memory_bridge,205,S2,0.9619560760512372,0.8912561222372641,10.275099006133065,8.049000723256883,0.4326,0.5021583673469387,0.0,-0.006546802815160711,0.0,0.0
h015_public_feedback,public_memory_bridge,52,S1,0.999999,3.2509915261715516,10.094669235055058,12.896096515443139,0.46685714285714286,0.9138979591836736,0.0,0.0029648410440181673,0.0,0.0
h015_public_feedback,public_memory_bridge,143,S1,0.999999,3.075698448689513,9.930299421776661,12.1907572485483,0.4380857142857143,0.8860943673469387,0.0,0.031365731358582734,0.0,0.0
h015_public_feedback,public_memory_bridge,158,S1,0.9595365789847063,0.6466957280998971,9.790354910346297,6.88488745673535,0.4191142857142858,0.6716400000000001,0.0,0.0600877127641665,0.0,0.0
