heldout_subject,target,accepted,score_col,policy,fraction,heldout_selected_cells,heldout_gain_sum,heldout_positive_gain_rate,raw_action_count,inverse_action_count
id01,Q1,True,masked_view_consensus_pessimistic_utility,top_all,0.04,2,-0.008450318899304365,0.5,0,2
id01,Q2,True,masked_view_consensus_pessimistic_utility,top_decisive,0.18,7,-0.1440688136902456,0.2857142857142857,0,7
id01,Q3,True,masked_view_consensus_health_score,top_decisive,0.18,7,0.16515977604738152,0.5714285714285714,0,7
id01,S1,True,masked_view_consensus_health_score,top_all,0.02,1,0.17033702702746514,1.0,0,1
id01,S2,True,masked_view_gain_mean,top_all,0.02,1,0.15758210413312518,1.0,0,1
id01,S3,True,masked_view_gain_mean,top_decisive,0.02,1,0.09646508613119192,1.0,0,1
id01,S4,True,masked_view_consensus_health_score,top_all,0.25,10,0.02343070198103192,0.5,10,0
id02,Q1,True,masked_view_consensus_pessimistic_utility,top_all,0.04,2,0.0826044835055606,1.0,1,1
id02,Q2,True,masked_view_consensus_pessimistic_utility,top_decisive,0.02,1,0.04987910926115846,1.0,0,1
id02,Q3,True,masked_view_gain_mean,top_decisive,0.08,3,-0.15262480392917976,0.3333333333333333,0,3
id02,S1,True,masked_view_consensus_health_score,top_all,0.18,9,-0.20703700535173758,0.1111111111111111,4,5
id02,S2,True,masked_view_consensus_utility,top_all,0.06,3,-0.17855789105600284,0.0,0,3
id02,S3,True,masked_view_gain_mean,top_decisive,0.02,1,-0.32915014358190925,0.0,0,1
id02,S4,True,masked_view_consensus_health_score,top_all,0.25,12,0.25743435180381724,0.75,7,5
id03,Q1,True,masked_view_consensus_pessimistic_utility,top_all,0.04,1,0.01938908373182513,1.0,0,1
id03,Q2,True,masked_view_consensus_pessimistic_utility,top_decisive,0.02,1,-0.0674101171692727,0.0,0,1
id03,Q3,True,masked_view_gain_mean,top_decisive,0.06,1,0.08992550188796455,1.0,1,0
id03,S1,True,masked_view_consensus_health_score,top_all,0.02,1,0.049928470765700284,1.0,0,1
id03,S2,True,masked_view_consensus_utility,top_decisive,0.06,2,0.32276686314246356,1.0,0,2
id03,S3,False,masked_view_gain_mean,hold,0.0,0,0.0,,0,0
id03,S4,True,masked_view_consensus_health_score,top_all,0.25,8,0.0012404222991515557,0.5,5,3
id04,Q1,True,masked_view_consensus_pessimistic_utility,top_all,0.04,2,0.041150640538688554,1.0,1,1
id04,Q2,True,masked_view_consensus_pessimistic_utility,top_decisive,0.02,1,-0.06443938549545525,0.0,0,1
id04,Q3,True,masked_view_consensus_health_score,top_all,0.06,3,0.09792127611575374,0.6666666666666666,3,0
id04,S1,True,masked_view_consensus_health_score,top_all,0.02,1,0.08361899750626267,1.0,0,1
id04,S2,True,masked_view_consensus_utility,top_all,0.06,3,0.02584452167803214,0.6666666666666666,1,2
id04,S3,True,masked_view_gain_mean,top_decisive,0.02,1,-0.33345494302944084,0.0,1,0
id04,S4,True,masked_view_consensus_health_score,top_decisive,0.1,4,0.07811561478714996,0.75,1,3
id05,Q1,True,masked_view_consensus_pessimistic_utility,top_all,0.04,2,-0.015837734843387574,0.5,0,2
