heldout_subject,selected_cells,gain_sum,mean_gain,positive_gain_rate,accepted_targets
id01,29,0.4604555627306457,0.01587777802519468,0.5172413793103449,"Q1,Q2,Q3,S1,S2,S3,S4"
id02,31,-0.4774518993482932,-0.015401674172525586,0.45161290322580644,"Q1,Q2,Q3,S1,S2,S3,S4"
id03,14,0.4158402246578324,0.02970287318984517,0.6428571428571429,"Q1,Q2,Q3,S1,S2,S4"
id04,15,-0.07124327789900903,-0.004749551859933935,0.6666666666666666,"Q1,Q2,Q3,S1,S2,S3,S4"
id05,26,0.382859630679485,0.014725370410749422,0.5384615384615384,"Q1,Q2,Q3,S1,S2,S4"
id06,22,-0.9965196638068484,-0.04529634835485675,0.18181818181818182,"Q2,Q3,S2,S3,S4"
id07,22,0.34860364815610617,0.0158456203707321,0.6363636363636364,"Q1,Q2,Q3,S1,S2,S3,S4"
id08,19,-0.009730836094652029,-0.0005121492681395805,0.3157894736842105,"Q1,Q2,Q3,S1,S2,S3,S4"
id09,18,-0.10772438965106357,-0.005984688313947976,0.5,"Q1,Q2,Q3,S2,S3,S4"
id10,15,0.633548141109531,0.042236542740635395,0.6,"Q1,Q2,Q3,S1,S2,S3,S4"
