feature,train_mean,train_std,test_mean,test_std
episode_action_pressure_max,0.1908298855292427,0.05282944743112375,0.22167592706914183,0.0600170363306251
episode_action_pressure_max_delta_next,0.00019176010571227245,0.06960189468922767,-0.0004511797619492513,0.07298596874967105
episode_action_pressure_max_delta_prev,0.00019176010571227245,0.06960189468922767,-0.00045117976194925116,0.07298596874967105
episode_action_pressure_max_subject_rank,0.5111111111111111,0.2886085753199967,0.52,0.288425979115672
episode_action_pressure_max_subject_z,0.001224669798568806,1.010786492750672,-0.04898585527064298,1.007303194443557
episode_action_pressure_mean,0.0916683356776483,0.027838804040782556,0.1079734383053409,0.035577296021226196
episode_action_pressure_mean_delta_next,-0.0003954158785180487,0.03661526786900958,0.00045747203547867485,0.036604868578875745
episode_action_pressure_mean_delta_prev,-0.0003954158785180487,0.03661526786900958,0.00045747203547867485,0.036604868578875745
episode_action_pressure_mean_subject_rank,0.5111111111111111,0.2886085753199967,0.52,0.28845645001253495
episode_action_pressure_mean_subject_z,0.10245166140095477,1.0049109372364564,0.007799367240641933,1.0229044408557615
episode_context_score,0.479,0.19383395677319779,0.4802,0.20234525820982313
episode_energy_max,20.359430082637314,58.30093373323985,2.0484992669463287,1.5893355582716304
episode_energy_max_delta_next,-0.09030552116247831,20.302094277650937,-0.02826673430673525,2.114975389525185
episode_energy_max_delta_prev,-0.0903055211624783,20.302094277650937,-0.028266734306735247,2.1149753895251853
episode_energy_max_subject_rank,0.5111111111111111,0.2886085753199967,0.52,0.28845645001253495
episode_energy_max_subject_z,0.21046207954085766,1.0084583021927314,0.30311537054800386,1.003035772591673
episode_energy_mean,5.836193058827714,15.470216615705112,0.9261895735792446,0.4260406265400513
episode_energy_mean_delta_next,-0.01888711117483367,5.385592588519841,-0.009015620322589377,0.5368938348144644
episode_energy_mean_delta_prev,-0.018887111174833684,5.385592588519842,-0.009015620322589374,0.5368938348144644
episode_energy_mean_subject_rank,0.5111111111111111,0.2886085753199967,0.52,0.28845645001253495
episode_energy_mean_subject_z,0.142173682975319,1.0057542006114033,0.20365838825191038,1.0016778222641534
episode_month_end,0.035555555555555556,0.1851792591644414,0.016,0.125475097130865
episode_quiet_pressure,0.3215829056724324,0.3203540776804706,0.2957612186902982,0.274129730761297
episode_reset_pressure,0.4443476641729198,0.45681608156324577,0.4408947476312821,0.515691746712172
episode_resid_abs_mean,8.266903600167367,22.67634271996134,1.0020868392837943,0.4851905335469297
episode_resid_abs_mean_delta_next,-0.026528859960025897,7.891370253392443,-0.008926922250013854,0.6143472232266798
episode_resid_abs_mean_delta_prev,-0.026528859960025884,7.891370253392442,-0.008926922250013854,0.6143472232266798
episode_resid_abs_mean_subject_rank,0.5111111111111111,0.2886085753199967,0.52,0.28845645001253495
episode_resid_abs_mean_subject_z,0.15751169878673682,1.005208445634552,0.26008037393500616,1.0029829388956308
episode_subject_row_pct,0.5,0.2951679881392184,0.5,0.3004760426418559
episode_support_mean,0.5042267305178489,0.03243347078304241,0.49726045441591843,0.0320029297079203
episode_support_mean_delta_next,-0.00020001329335170344,0.03771714049727106,0.00014733647118748855,0.042174900774822666
