target,direction,cells,mean_gain,positive_gain_rate,toxic_tail_rate,mean_abs_action_move
Q1,down,450,-0.0095290708992178,0.5044444444444445,0.3844444444444444,0.07005151609962487
Q1,up,450,-0.021700034382641082,0.4955555555555556,0.41555555555555557,0.07564596277135725
Q2,down,450,-0.02854056955621584,0.43777777777777777,0.49333333333333335,0.09568795759093067
Q2,up,450,-0.01846674402117446,0.5622222222222222,0.3711111111111111,0.08412038048032905
Q3,down,450,-0.017749102564690523,0.4,0.47333333333333333,0.06822472127487575
Q3,up,450,-0.023267898449898777,0.6,0.32,0.07461282249733475
S1,down,450,-0.017767744878135174,0.31777777777777777,0.5066666666666667,0.08118729148832932
S1,up,450,-0.03527533037270556,0.6822222222222222,0.28444444444444444,0.08250590427340247
S2,down,450,-0.023009760201643817,0.3488888888888889,0.5266666666666666,0.10300044203197953
S2,up,450,-0.03332241896976199,0.6511111111111111,0.30666666666666664,0.08803952153018958
S3,down,450,-0.019289528895195425,0.3377777777777778,0.5044444444444445,0.08627397468587877
S3,up,450,-0.03825650974305753,0.6622222222222223,0.31555555555555553,0.07441713467821538
S4,down,450,-0.015436545175945221,0.44,0.39555555555555555,0.07407887681032718
S4,up,450,-0.012699402335069577,0.56,0.3488888888888889,0.06509060583841692
