q_source,row_prior,subset_size,label_mode,particles
h012,uniform,45,sample,10
h012,uniform,45,temperature_sample,7
h012,uniform,45,map,3
h012,uniform,59,sample,10
h012,uniform,59,temperature_sample,7
h012,uniform,59,map,3
h012,uniform,75,sample,10
h012,uniform,75,temperature_sample,7
h012,uniform,75,map,3
h012,uniform,95,sample,10
h012,uniform,95,temperature_sample,7
h012,uniform,95,map,3
h012,uniform,125,sample,10
h012,uniform,125,temperature_sample,7
h012,uniform,125,map,3
h012,uniform,155,sample,10
h012,uniform,155,temperature_sample,7
h012,uniform,155,map,3
h012,uniform,190,sample,10
h012,uniform,190,temperature_sample,7
h012,uniform,190,map,3
h012,h041_public_route,45,sample,10
h012,h041_public_route,45,temperature_sample,7
h012,h041_public_route,45,map,3
h012,h041_public_route,59,sample,10
h012,h041_public_route,59,temperature_sample,7
h012,h041_public_route,59,map,3
h012,h041_public_route,75,sample,10
h012,h041_public_route,75,temperature_sample,7
h012,h041_public_route,75,map,3
h012,h041_public_route,95,sample,10
h012,h041_public_route,95,temperature_sample,7
h012,h041_public_route,95,map,3
h012,h041_public_route,125,sample,10
h012,h041_public_route,125,temperature_sample,7
h012,h041_public_route,125,map,3
h012,h041_public_route,155,sample,10
h012,h041_public_route,155,temperature_sample,7
h012,h041_public_route,155,map,3
h012,h041_public_route,190,sample,10
h012,h041_public_route,190,temperature_sample,7
h012,h041_public_route,190,map,3
h012,h041_public_not_private,45,sample,10
h012,h041_public_not_private,45,temperature_sample,7
h012,h041_public_not_private,45,map,3
h012,h041_public_not_private,59,sample,10
h012,h041_public_not_private,59,temperature_sample,7
h012,h041_public_not_private,59,map,3
h012,h041_public_not_private,75,sample,10
h012,h041_public_not_private,75,temperature_sample,7
h012,h041_public_not_private,75,map,3
h012,h041_public_not_private,95,sample,10
h012,h041_public_not_private,95,temperature_sample,7
h012,h041_public_not_private,95,map,3
h012,h041_public_not_private,125,sample,10
h012,h041_public_not_private,125,temperature_sample,7
h012,h041_public_not_private,125,map,3
h012,h041_public_not_private,155,sample,10
h012,h041_public_not_private,155,temperature_sample,7
h012,h041_public_not_private,155,map,3
h012,h041_public_not_private,190,sample,10
h012,h041_public_not_private,190,temperature_sample,7
h012,h041_public_not_private,190,map,3
h012,h041_memory_disagree_public,45,sample,10
h012,h041_memory_disagree_public,45,temperature_sample,7
h012,h041_memory_disagree_public,45,map,3
h012,h041_memory_disagree_public,59,sample,10
h012,h041_memory_disagree_public,59,temperature_sample,7
h012,h041_memory_disagree_public,59,map,3
h012,h041_memory_disagree_public,75,sample,10
h012,h041_memory_disagree_public,75,temperature_sample,7
h012,h041_memory_disagree_public,75,map,3
h012,h041_memory_disagree_public,95,sample,10
h012,h041_memory_disagree_public,95,temperature_sample,7
