row,subject_id,target,target_idx,outlier_score,law_shift,core_support_rank,core_teacher_disagreement,row_outlier_rank,logit_move
4,id01,Q1,0,dist_to_subject_normal,0.04424778761061948,0.812,0.00967411060093662,0.656,0.016528802012448104
8,id01,Q1,0,dist_to_subject_normal,0.04424778761061948,0.908,0.03220892690691368,0.896,0.045083647865150525
17,id01,Q1,0,dist_to_subject_normal,0.04424778761061948,0.936,0.04675609281706844,0.644,0.036670365172780585
19,id01,Q1,0,dist_to_subject_normal,0.04424778761061948,0.892,0.011417286721555647,0.756,0.03554960933988461
22,id01,Q1,0,dist_to_subject_normal,0.04424778761061948,0.84,0.06021493182397415,1.0,0.031187557572213254
56,id02,Q1,0,dist_to_subject_normal,0.04424778761061948,0.896,0.022214690011716443,0.848,0.04035743969721555
75,id03,Q1,0,dist_to_subject_normal,0.04424778761061948,0.928,0.07148392628999592,0.64,0.0341825386427754
89,id04,Q1,0,dist_to_subject_normal,0.04424778761061948,0.804,0.020179113908771834,0.852,0.019392649661442784
93,id04,Q1,0,dist_to_subject_normal,0.04424778761061948,0.956,0.007562583312935911,0.86,0.05570384349856377
94,id04,Q1,0,dist_to_subject_normal,0.04424778761061948,1.0,0.001621101390189006,0.216,0.016698549720111006
98,id04,Q1,0,dist_to_subject_normal,0.04424778761061948,0.808,0.0065976025318631865,0.88,0.021274635414804375
99,id04,Q1,0,dist_to_subject_normal,0.04424778761061948,0.82,0.009066172232853331,0.908,0.02488296226804672
109,id05,Q1,0,dist_to_subject_normal,0.04424778761061948,0.868,0.0335679030866356,0.968,0.03828952652992154
112,id05,Q1,0,dist_to_subject_normal,0.04424778761061948,0.976,0.006597080078359352,0.572,0.04022842266868522
129,id06,Q1,0,dist_to_subject_normal,0.04424778761061948,0.904,0.0015764361079662892,0.856,0.043488856473244186
133,id06,Q1,0,dist_to_subject_normal,0.04424778761061948,0.888,0.24607462268940192,0.456,0.015972542949394448
150,id06,Q1,0,dist_to_subject_normal,0.04424778761061948,0.964,0.046613609573936954,0.84,0.05403929053698174
151,id06,Q1,0,dist_to_subject_normal,0.04424778761061948,0.864,0.29654960583528894,0.928,0.025996538460458716
161,id07,Q1,0,dist_to_subject_normal,0.04424778761061948,0.916,0.05613327822046363,0.4,0.02046436697663598
162,id07,Q1,0,dist_to_subject_normal,0.04424778761061948,0.848,0.2730112682950389,0.776,0.01996967277178938
182,id08,Q1,0,dist_to_subject_normal,0.04424778761061948,0.92,0.02738941880079948,0.44,0.023669726533608878
184,id08,Q1,0,dist_to_subject_normal,0.04424778761061948,0.972,0.05757612801466122,0.392,0.02574568577715701
185,id08,Q1,0,dist_to_subject_normal,0.04424778761061948,0.944,0.01515362943605214,0.76,0.046366218507966406
189,id08,Q1,0,dist_to_subject_normal,0.04424778761061948,0.992,0.035744170218581506,0.8,0.058026014535519026
193,id08,Q1,0,dist_to_subject_normal,0.04424778761061948,0.996,0.011910061431333718,0.372,0.02805563334422626
194,id08,Q1,0,dist_to_subject_normal,0.04424778761061948,0.8,0.0808930854734542,0.884,0.017975453815076713
200,id08,Q1,0,dist_to_subject_normal,0.04424778761061948,0.94,0.047010572750730395,0.312,0.018089932048227286
212,id09,Q1,0,dist_to_subject_normal,0.04424778761061948,0.988,0.030006456418199823,0.452,0.03249478370999032
217,id09,Q1,0,dist_to_subject_normal,0.04424778761061948,0.844,0.2563641476449867,0.976,0.024888768085014702
218,id09,Q1,0,dist_to_subject_normal,0.04424778761061948,0.86,0.017288804986448414,0.668,0.02541569440200979
234,id10,Q1,0,dist_to_subject_normal,0.04424778761061948,0.948,0.05957558545694075,0.404,0.023955855550992895
237,id10,Q1,0,dist_to_subject_normal,0.04424778761061948,0.852,0.07727052345299396,0.588,0.019806020755440388
4,id01,Q2,1,cohort_outlier_score,0.07964601769911506,0.812,0.00967411060093662,0.476,0.024826462193453296
8,id01,Q2,1,cohort_outlier_score,0.07964601769911506,0.908,0.03220892690691368,0.732,0.07624168146338244
17,id01,Q2,1,cohort_outlier_score,0.07964601769911506,0.936,0.04675609281706844,0.452,0.05327680197245406
19,id01,Q2,1,cohort_outlier_score,0.07964601769911506,0.892,0.011417286721555647,0.576,0.05606681244461798
22,id01,Q2,1,cohort_outlier_score,0.07964601769911506,0.84,0.06021493182397415,0.9,0.05810241975703327
56,id02,Q2,1,cohort_outlier_score,0.07964601769911506,0.896,0.022214690011716443,0.652,0.06423114966149762
75,id03,Q2,1,cohort_outlier_score,0.07964601769911506,0.928,0.07148392628999592,0.48,0.05306839124290879
87,id04,Q2,1,cohort_outlier_score,0.07964601769911506,0.768,0.021083882741714743,0.696,0.01872138090871272
89,id04,Q2,1,cohort_outlier_score,0.07964601769911506,0.804,0.020179113908771834,0.844,0.03976585724238667
93,id04,Q2,1,cohort_outlier_score,0.07964601769911506,0.956,0.007562583312935911,0.816,0.10940753038406278
94,id04,Q2,1,cohort_outlier_score,0.07964601769911506,1.0,0.001621101390189006,0.232,0.037126442211046794
95,id04,Q2,1,cohort_outlier_score,0.07964601769911506,0.876,0.03685057722774657,0.276,0.023739374558087955
98,id04,Q2,1,cohort_outlier_score,0.07964601769911506,0.808,0.0065976025318631865,0.836,0.04183657054321279
99,id04,Q2,1,cohort_outlier_score,0.07964601769911506,0.82,0.009066172232853331,0.828,0.04696960573671954
100,id04,Q2,1,cohort_outlier_score,0.07964601769911506,0.932,4.557399596533118e-05,0.128,0.015533451338322506
109,id05,Q2,1,cohort_outlier_score,0.07964601769911506,0.868,0.0335679030866356,0.856,0.07008882009183735
