fold,block_mode,family,k,context_variant,target,true_rate,pred_rate,oracle_rate
geom_r00,submission_like,label_rate,10,past_label,Q1,0.2857142984867096,0.28118696808815,0.25833335518836975
geom_r00,submission_like,label_rate,10,past_label,Q2,0.7857142686843872,0.2478998899459839,0.8292708396911621
geom_r00,submission_like,label_rate,10,past_label,Q3,0.5714285969734192,0.5180907249450684,0.9360416531562805
geom_r00,submission_like,label_rate,10,past_label,S1,0.5714285969734192,0.616704523563385,0.942187488079071
geom_r00,submission_like,label_rate,10,past_label,S2,0.7142857313156128,0.6820516586303711,0.9441666603088379
geom_r00,submission_like,label_rate,10,past_label,S3,0.9285714030265808,0.5197056531906128,0.8651041984558105
geom_r00,submission_like,label_rate,10,past_label,S4,0.5714285969734192,0.4252973794937134,0.8005207777023315
geom_r00,submission_like,label_rate,10,past_label,Q1,0.5625,0.2934112846851349,0.25833335518836975
geom_r00,submission_like,label_rate,10,past_label,Q2,0.8125,0.4957064688205719,0.8292708396911621
geom_r00,submission_like,label_rate,10,past_label,Q3,0.75,0.6577258110046387,0.9360416531562805
geom_r00,submission_like,label_rate,10,past_label,S1,0.9375,0.714339017868042,0.942187488079071
geom_r00,submission_like,label_rate,10,past_label,S2,0.9375,0.7600194215774536,0.9441666603088379
geom_r00,submission_like,label_rate,10,past_label,S3,1.0,0.634117066860199,0.8651041984558105
geom_r00,submission_like,label_rate,10,past_label,S4,0.6875,0.5634356141090393,0.8005207777023315
geom_r00,submission_like,label_rate,10,past_label,Q1,1.0,0.6353136897087097,0.8495368361473083
geom_r00,submission_like,label_rate,10,past_label,Q2,0.800000011920929,0.6643626689910889,0.792021632194519
geom_r00,submission_like,label_rate,10,past_label,Q3,0.800000011920929,0.7165458798408508,0.7976233959197998
geom_r00,submission_like,label_rate,10,past_label,S1,0.800000011920929,0.6658509969711304,0.7838701009750366
geom_r00,submission_like,label_rate,10,past_label,S2,0.5,0.44446706771850586,0.3977532684803009
geom_r00,submission_like,label_rate,10,past_label,S3,0.5,0.4076189398765564,0.28223809599876404
geom_r00,submission_like,label_rate,10,past_label,S4,0.10000000149011612,0.3755827844142914,0.406337708234787
geom_r00,submission_like,label_rate,10,past_label,Q1,0.6666666865348816,0.9749568104743958,0.98108971118927
geom_r00,submission_like,label_rate,10,past_label,Q2,0.3333333432674408,0.07390814274549484,0.06826923787593842
geom_r00,submission_like,label_rate,10,past_label,Q3,0.6666666865348816,0.7993928790092468,0.8003206253051758
geom_r00,submission_like,label_rate,10,past_label,S1,1.0,0.9061415195465088,0.9112179279327393
geom_r00,submission_like,label_rate,10,past_label,S2,1.0,0.9106583595275879,0.9160255789756775
geom_r00,submission_like,label_rate,10,past_label,S3,0.6666666865348816,0.7548458576202393,0.754807710647583
geom_r00,submission_like,label_rate,10,past_label,S4,1.0,0.7453252673149109,0.7500001192092896
geom_r00,submission_like,label_rate,10,past_label,Q1,0.0,0.47738850116729736,0.8495368361473083
geom_r00,submission_like,label_rate,10,past_label,Q2,1.0,0.47752058506011963,0.792021632194519
geom_r00,submission_like,label_rate,10,past_label,Q3,1.0,0.6545594334602356,0.7976233959197998
geom_r00,submission_like,label_rate,10,past_label,S1,1.0,0.6911437511444092,0.7838701009750366
geom_r00,submission_like,label_rate,10,past_label,S2,0.0,0.593391478061676,0.3977532684803009
