fold,family,k,context_variant,length,len_bucket,true_proto,pred_proto,proto_correct,sample_logloss,rate_sqerr
geom_r00,label_rate_only,4,strict_surround,14,long_5p,1,0,0.0,3.627304792404175,0.06696108728647232
geom_r00,label_rate_only,4,strict_surround,16,long_5p,0,0,1.0,0.020249338820576668,0.006974290125072002
geom_r00,label_rate_only,4,strict_surround,10,long_5p,1,1,1.0,0.07707042992115021,0.1348050981760025
geom_r00,label_rate_only,4,strict_surround,3,mid_3_4,3,3,1.0,0.1660165786743164,0.15565606951713562
geom_r00,label_rate_only,4,strict_surround,1,short_1_2,0,2,0.0,1.6529831886291504,0.14058418571949005
geom_r00,label_rate_only,4,strict_surround,8,long_5p,0,0,1.0,0.7532690167427063,0.02609887346625328
geom_r00,label_rate_only,4,strict_surround,3,mid_3_4,1,0,0.0,3.7149293422698975,0.17661355435848236
geom_r00,label_rate_only,4,strict_surround,2,short_1_2,1,1,1.0,0.00980808399617672,0.1395857036113739
geom_r00,label_rate_only,4,strict_surround,5,long_5p,1,1,1.0,0.0045293471775949,0.05300715193152428
geom_r00,label_rate_only,4,strict_surround,2,short_1_2,1,1,1.0,0.4936313033103943,0.17771349847316742
geom_r00,label_rate_only,4,strict_surround,5,long_5p,1,1,1.0,0.0016679360996931791,0.07520092278718948
geom_r00,label_rate_only,4,strict_surround,1,short_1_2,2,2,1.0,0.004593834746629,0.024054178968071938
geom_r00,label_rate_only,4,strict_surround,8,long_5p,0,0,1.0,0.6938666105270386,0.03199205547571182
geom_r00,label_rate_only,4,strict_surround,5,long_5p,0,2,0.0,2.1924448013305664,0.12478087842464447
geom_r00,label_rate_only,4,strict_surround,15,long_5p,1,0,0.0,13.815510749816895,0.1169661208987236
geom_r00,label_rate_only,4,strict_surround,2,short_1_2,1,0,0.0,13.815510749816895,0.22575409710407257
geom_r00,label_rate_only,4,strict_surround,2,short_1_2,1,3,0.0,2.9558773040771484,0.11974835395812988
geom_r00,label_rate_only,4,strict_surround,2,short_1_2,2,1,0.0,7.56038761138916,0.17438140511512756
geom_r00,label_rate_only,4,strict_surround,4,mid_3_4,1,3,0.0,3.9605720043182373,0.12975864112377167
geom_r00,label_rate_only,4,strict_surround,1,short_1_2,2,1,0.0,13.815510749816895,0.3244149386882782
geom_r00,label_rate_only,4,strict_surround,2,short_1_2,1,1,1.0,0.24062544107437134,0.19396722316741943
geom_r00,label_rate_only,4,strict_surround,13,long_5p,2,2,1.0,0.1822647899389267,0.03270906209945679
geom_r00,label_rate_only,4,strict_surround,11,long_5p,1,0,0.0,0.7376849055290222,0.07815144956111908
geom_r00,label_rate_only,4,strict_labelonly,14,long_5p,1,0,0.0,6.865711212158203,0.07390979677438736
geom_r00,label_rate_only,4,strict_labelonly,16,long_5p,0,0,1.0,0.42890745401382446,0.020653773099184036
geom_r00,label_rate_only,4,strict_labelonly,10,long_5p,1,1,1.0,3.1292929634219036e-05,0.1419212520122528
geom_r00,label_rate_only,4,strict_labelonly,3,mid_3_4,3,0,0.0,1.7888283729553223,0.14453966915607452
geom_r00,label_rate_only,4,strict_labelonly,1,short_1_2,0,1,0.0,1.2852455377578735,0.15498583018779755
geom_r00,label_rate_only,4,strict_labelonly,8,long_5p,0,1,0.0,1.963821291923523,0.08012689650058746
geom_r00,label_rate_only,4,strict_labelonly,3,mid_3_4,1,0,0.0,3.028270959854126,0.16402673721313477
geom_r00,label_rate_only,4,strict_labelonly,2,short_1_2,1,1,1.0,0.1637321412563324,0.1415638029575348
geom_r00,label_rate_only,4,strict_labelonly,5,long_5p,1,1,1.0,0.0650797188282013,0.050354186445474625
geom_r00,label_rate_only,4,strict_labelonly,2,short_1_2,1,1,1.0,0.28213825821876526,0.1748591661453247
geom_r00,label_rate_only,4,strict_labelonly,5,long_5p,1,1,1.0,0.4083380103111267,0.07463742792606354
geom_r00,label_rate_only,4,strict_labelonly,1,short_1_2,2,2,1.0,0.19526927173137665,0.03251488134264946
geom_r00,label_rate_only,4,strict_labelonly,8,long_5p,0,2,0.0,1.725799322128296,0.12965451180934906
geom_r00,label_rate_only,4,strict_labelonly,5,long_5p,0,2,0.0,1.1286401748657227,0.07805605232715607
geom_r00,label_rate_only,4,strict_labelonly,15,long_5p,1,3,0.0,5.459664821624756,0.08941488713026047
geom_r00,label_rate_only,4,strict_labelonly,2,short_1_2,1,0,0.0,3.8377363681793213,0.20069043338298798
geom_r00,label_rate_only,4,strict_labelonly,2,short_1_2,1,1,1.0,0.7942243218421936,0.07511245459318161
geom_r00,label_rate_only,4,strict_labelonly,2,short_1_2,2,1,0.0,3.7281064987182617,0.14615510404109955
geom_r00,label_rate_only,4,strict_labelonly,4,mid_3_4,1,1,1.0,0.5726293325424194,0.0893915668129921
geom_r00,label_rate_only,4,strict_labelonly,1,short_1_2,2,3,0.0,10.069048881530762,0.2923615872859955
geom_r00,label_rate_only,4,strict_labelonly,2,short_1_2,1,1,1.0,0.7301520109176636,0.18787077069282532
geom_r00,label_rate_only,4,strict_labelonly,13,long_5p,2,3,0.0,4.899660587310791,0.05436035245656967
geom_r00,label_rate_only,4,strict_labelonly,11,long_5p,1,3,0.0,1.03246009349823,0.04372404143214226
geom_r00,label_rate_only,4,strict_prior,14,long_5p,1,1,1.0,0.4082900285720825,0.029392946511507034
geom_r00,label_rate_only,4,strict_prior,16,long_5p,0,0,1.0,0.05665715038776398,0.007021500263363123
geom_r00,label_rate_only,4,strict_prior,10,long_5p,1,1,1.0,5.8533474657451734e-05,0.14191828668117523
geom_r00,label_rate_only,4,strict_prior,3,mid_3_4,3,0,0.0,2.1791906356811523,0.14137978851795197
geom_r00,label_rate_only,4,strict_prior,1,short_1_2,0,0,1.0,0.7368355393409729,0.1052219495177269
geom_r00,label_rate_only,4,strict_prior,8,long_5p,0,1,0.0,1.1708132028579712,0.04149457439780235
geom_r00,label_rate_only,4,strict_prior,3,mid_3_4,1,1,1.0,0.5491393208503723,0.052593331784009933
geom_r00,label_rate_only,4,strict_prior,2,short_1_2,1,1,1.0,0.3693440556526184,0.14999568462371826
geom_r00,label_rate_only,4,strict_prior,5,long_5p,1,1,1.0,0.4687659442424774,0.04828496649861336
geom_r00,label_rate_only,4,strict_prior,2,short_1_2,1,1,1.0,0.2219168096780777,0.16245503723621368
geom_r00,label_rate_only,4,strict_prior,5,long_5p,1,1,1.0,0.34439724683761597,0.07354618608951569
geom_r00,label_rate_only,4,strict_prior,1,short_1_2,2,2,1.0,0.25349342823028564,0.035194121301174164
geom_r00,label_rate_only,4,strict_prior,8,long_5p,0,2,0.0,1.8357750177383423,0.13797464966773987
geom_r00,label_rate_only,4,strict_prior,5,long_5p,0,2,0.0,0.8438032865524292,0.061404891312122345
geom_r00,label_rate_only,4,strict_prior,15,long_5p,1,0,0.0,0.9333276748657227,0.03275035321712494
geom_r00,label_rate_only,4,strict_prior,2,short_1_2,1,3,0.0,1.9127693176269531,0.1894972324371338
