priority,alias,family,tier,oof,public_estimate,risk_note,rationale,source
1,submission_bigshot_01_public_minimax_r05.csv,public_constraint_minimax,primary_public,0.554348,six-posterior score 0.5749169 / mean 0.5746342,public feedback 3개를 제약식으로 쓴 후보라 private/hidden-subset overfit 리스크 있음,현재 public-constraint 계열에서 six-posterior robust score가 가장 좋은 축.,analysis_outputs/submission_public_minimaxens_r05_a10_h506746.csv
2,submission_bigshot_02_public_minimax_r01.csv,public_constraint_minimax,primary_public,0.554332,selected score 0.5749250 / mean 0.5746342,r05와 거의 같은 예측이지만 더 sparse한 6-weight ensemble,가장 단순한 rank-1 sparse minimax ensemble. 첫 제출 후보로 해석이 쉽다.,analysis_outputs/submission_public_minimaxens_r01_a6_h422045.csv
3,submission_bigshot_03_public_universe_u80.csv,public_universe_minimax,primary_public_alt,0.554343,weighted expected 0.5746461 / score 0.5752114,u80 trusted scenario에서 좋지만 mask-plausibility 평균순위는 u65보다 낮음,expanded uncertainty universe에서 trusted profile을 가장 잘 버틴 후보.,analysis_outputs/submission_public_universeens_u80_r01_07c571e6.csv
4,submission_bigshot_04_public_universe_u65_maskrank.csv,public_universe_mask_plausibility,primary_public_alt,0.554759,weighted expected 0.5746552 / mask mean-rank 17.54,u80보다 더 보수적인 subject/random-like public-row 가정,public row mask가 subject/random-like라면 minimax보다 더 plausible한 후보.,analysis_outputs/submission_public_universeens_u65_r04_dc6f3303.csv
5,submission_bigshot_05_public_targetmask_noq2_g075.csv,public_entropy_targetmask,single_public_probe,0.554185,public-posterior expected 0.575887 / robust mean 0.574649,single projection이라 ensemble보다 분산 큼,Q2를 빼고 public inverse signal이 강한 Q1/Q3/S/S만 움직인 단일 후보.,analysis_outputs/submission_public_entropytm_public2d0_q1_q3_s1_s2_s3_s4_g075.csv
6,submission_bigshot_06_public_entropy_exact_g100.csv,public_entropy_projection,aggressive_public_probe,0.553679,public self expected 0.575734 / exact fit to three public scores,known public scores에 가장 강하게 맞춘 exact-fit이라 overfit risk 최고,가장 공격적인 public inverse probe. 맞으면 크지만 틀리면 흔들릴 수 있다.,analysis_outputs/submission_public_entropyproj_public2d0_g100.csv
7,submission_bigshot_07_public_maskaware_t80_noq2.csv,public_maskaware_entropy,public_subset_fallback,0.553156,posterior mean 0.5755017 / conservative 0.5758453,"row-subset uncertainty fallback, minimax보다 expected는 약간 높음",public rows가 전체 250 row와 다르게 뽑혔을 때를 가정한 보완 후보.,analysis_outputs/submission_public_maskaware_t80_r11_544844af.csv
8,submission_bigshot_08_public_consfront_t80.csv,public_conservative_frontier,conservative_public,0.557498,posterior mean 0.5747919 / conservative mean 0.5746464,OOF는 약하지만 public inverse overfit을 stage2/anchor 쪽으로 완충,public 제약이 일부 overfit일 때 가장 안전한 bridge 후보.,analysis_outputs/submission_public_consfront_t80_r10_b06ca82f.csv
9,submission_bigshot_09_hiddenblock_paretomix_w03.csv,hiddenblock_rawaxis,structural_control,,posterior-fit 0.576825 / raw-axis expected 0.577526,public-constraint 후보보다 약하지만 JEPA/raw hidden-block 구조 후보 중 안전,hidden block pseudo-rate를 raw-axis 중립으로 섞은 구조적 control.,analysis_outputs/submission_hiddenblock_paretomix_w0.3_b7621063.csv
10,submission_bigshot_10_jepa_neural_episode_rawstack_balanced.csv,jepa_neural_episode_rawstack,jepa_big_oof_probe,0.556972,no direct public estimate / bad-axis -0.0984 / raw-good 1.1224,public 미제출 JEPA high-upside probe. raw-good 과증폭 가능성 있음,"JEPA 비중을 가장 키운 후보 중 bad JEPA axis는 음수, raw-good은 강한 balanced 후보.",jepa/submission_jepa_neural_episode_rawstack_raw075_nb_top10_er_top10_rw0p75_nw1p0_ew1p0.csv
11,submission_bigshot_11_jepa_multifeature_rawstack.csv,jepa_block_canvas_multifeature,jepa_big_oof_probe,0.554194,no direct public estimate / bad-axis 0.0220 / raw-good 0.5617,OOF는 강하지만 failed-JEPA axis가 약하게 양수,Block-Canvas multi-feature JEPA를 raw public-positive anchor와 결합한 고OOF 후보.,jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p75_mw1p0.csv
12,submission_bigshot_12_jepa_blockcanvas_aggressive_noq2.csv,jepa_block_canvas_multifeature,jepa_aggressive_oof_probe,0.550698,no direct public estimate / bad-axis 0.1493 / raw-good -0.0027,public axis 안전장치가 거의 없어 공격적 probe로만 사용,JEPA canvas 자체의 큰 OOF 개선이 public에도 살아있는지 확인하는 강한 probe.,jepa/submission_block_canvas_multifeature_k8_c0p05_noq2_scale1p0.csv
