variant,target,n_features,c_value,best_weight,delta_vs_base,win_rate,features
loose_s23,Q3,5,0.2,0.6,-0.025877545842564964,1.0,segj_bidir_label_semprob_08:subject_rank|segj_prior_label_raw_S1:subject_rank|segj_bidir_label_semprob_08:subject_z|segj_prior_all_ridge_Q3:subject_rank|segj_past_label_raw_Q3:subject_z
loose_s23,S1,8,0.2,0.6,-0.016477703129402,0.9846153846153847,segj_prior_raw_blend_Q1:subject_rank|segj_prior_raw_blend_Q1:subject_z|segj_prior_raw_sem_Q3:subject_rank|segj_prior_raw_sem_Q1:subject_z|segj_past_label_sem_S1:subject_rank|segj_prior_all_blend_Q1:subject_z|segj_prior_raw_blend_Q1:subject_center|segj_past_label_blend_S1:subject_rank
loose_s23,S3,16,0.1,0.45,-0.00665201275111077,0.85,segj_prior_all_ridge_S3:subject_rank|segj_prior_raw_ridge_S3:subject_rank|segj_prior_all_ridge_S3:subject_z|segj_prior_raw_ridge_S3:subject_z|segj_prior_all_s3_minus_s2:subject_center|segj_prior_raw_blend_S3:subject_z|segj_prior_raw_blend_S3:subject_rank|segj_prior_all_blend_S3:subject_rank|segj_prior_all_blend_S3:subject_z|segj_prior_raw_s3_minus_s2:subject_center|segj_prior_all_ridge_S3:subject_center|segj_prior_raw_ridge_S3:subject_center|segj_prior_all_s3_minus_s2:subject_z|segj_prior_all_s3_minus_s2:subject_rank|segj_prior_all_raw_S3:subject_rank|segj_prior_raw_raw_S3:subject_rank
loose_s23,S4,5,0.2,0.3,-0.008527857647766646,0.7961538461538461,segj_prior_raw_sem_S3:subject_z|segj_full_strict_raw_entropy:subject_z|segj_full_strict_raw_maxprob:subject_z|segj_bidir_label_semprob_05:subject_rank|segj_prior_all_sem_S3:subject_z
top_negative,Q2,24,0.05,0.6,-0.04025270646197798,1.0,segj_prior_all_blend_minus_blockbase_Q2:subject_rank|segj_bidir_label_semprob_00:subject_rank|segj_prior_label_semprob_00:subject_rank|segj_prior_all_blend_Q2:subject_z|segj_prior_all_blend_Q2:subject_rank|segj_prior_all_blend_minus_blockbase_Q2:subject_z|segj_prior_raw_blend_minus_blockbase_Q2:subject_rank|segj_prior_label_raw_Q2:subject_center|segj_prior_label_raw_S4:subject_rank|segj_prior_label_raw_Q2:subject_rank|segj_prior_label_semprob_00:subject_z|segj_prior_label_raw_Q2:subject_z|segj_prior_raw_blend_Q2:subject_rank|segj_prior_label_semprob_00:subject_center|segj_prior_raw_blend_Q2:subject_z|segj_bidir_label_raw_S4:subject_rank|segj_bidir_label_semprob_00:subject_z|segj_prior_label_raw_S4:subject_z|segj_prior_raw_blend_minus_blockbase_Q2:subject_z|segj_prior_label_raw_S3:subject_rank|segj_prior_label_semprob_00:global_z|segj_prior_label_rawprob_02:subject_rank|segj_past_label_raw_Q2:subject_rank|segj_prior_raw_blend_minus_blockbase_S4:subject_z
top_negative,Q1,16,0.1,0.6,-0.03647126024587033,1.0,segj_prior_raw_blend_Q1:subject_rank|segj_prior_all_ridge_Q1:subject_rank|segj_prior_raw_ridge_Q1:subject_rank|segj_prior_raw_blend_Q1:subject_z|segj_prior_all_blend_Q1:subject_z|segj_prior_all_ridge_Q1:subject_z|segj_prior_raw_ridge_Q1:subject_z|segj_prior_raw_sem_Q1:subject_rank|segj_prior_all_blend_Q1:subject_rank|segj_prior_raw_sem_Q1:subject_z|segj_prior_raw_blend_Q1:subject_center|segj_prior_all_sem_Q1:subject_z|segj_prior_all_blend_Q1:subject_center|segj_prior_raw_sem_Q1:subject_center|segj_prior_raw_blend_minus_blockbase_S2:subject_rank|segj_prior_all_sem_Q1:subject_rank
top_negative,S2,8,0.2,0.6,-0.02614070866600582,0.9769230769230769,segj_prior_raw_sem_Q3:subject_rank|segj_prior_label_blend_minus_blockbase_S4:subject_center|segj_prior_all_semprob_03:subject_center|segj_bidir_label_ridge_Q2:subject_rank|segj_prior_raw_semprob_03:subject_center|segj_bidir_label_rawprob_02:subject_rank|segj_past_label_ridge_Q2:subject_center|segj_prior_raw_sem_Q3:subject_z
top_negative,Q3,5,0.2,0.6,-0.025877545842564964,1.0,segj_bidir_label_semprob_08:subject_rank|segj_prior_label_raw_S1:subject_rank|segj_bidir_label_semprob_08:subject_z|segj_prior_all_ridge_Q3:subject_rank|segj_past_label_raw_Q3:subject_z
top_negative,S1,8,0.2,0.6,-0.016477703129402,0.9846153846153847,segj_prior_raw_blend_Q1:subject_rank|segj_prior_raw_blend_Q1:subject_z|segj_prior_raw_sem_Q3:subject_rank|segj_prior_raw_sem_Q1:subject_z|segj_past_label_sem_S1:subject_rank|segj_prior_all_blend_Q1:subject_z|segj_prior_raw_blend_Q1:subject_center|segj_past_label_blend_S1:subject_rank
top_negative,S3,16,0.1,0.45,-0.00665201275111077,0.85,segj_prior_all_ridge_S3:subject_rank|segj_prior_raw_ridge_S3:subject_rank|segj_prior_all_ridge_S3:subject_z|segj_prior_raw_ridge_S3:subject_z|segj_prior_all_s3_minus_s2:subject_center|segj_prior_raw_blend_S3:subject_z|segj_prior_raw_blend_S3:subject_rank|segj_prior_all_blend_S3:subject_rank|segj_prior_all_blend_S3:subject_z|segj_prior_raw_s3_minus_s2:subject_center|segj_prior_all_ridge_S3:subject_center|segj_prior_raw_ridge_S3:subject_center|segj_prior_all_s3_minus_s2:subject_z|segj_prior_all_s3_minus_s2:subject_rank|segj_prior_all_raw_S3:subject_rank|segj_prior_raw_raw_S3:subject_rank
top_negative,S4,5,0.2,0.3,-0.008527857647766646,0.7961538461538461,segj_prior_raw_sem_S3:subject_z|segj_full_strict_raw_entropy:subject_z|segj_full_strict_raw_maxprob:subject_z|segj_bidir_label_semprob_05:subject_rank|segj_prior_all_sem_S3:subject_z
