feature_set,subject_id_accuracy,chance_accuracy,leakage_lift_vs_chance
raw_lifelog_pca,0.9577777777777777,0.12666666666666668,0.831111111111111
existing_cohort_human_state,0.9133333333333333,0.12666666666666668,0.7866666666666666
routine_break_predicted,0.09777777777777778,0.12666666666666668,-0.028888888888888895
sleep_pressure_predicted,0.09333333333333334,0.12666666666666668,-0.03333333333333334
cohort_relative_predicted,0.35333333333333333,0.12666666666666668,0.22666666666666666
multi_target_predicted,0.2577777777777778,0.12666666666666668,0.1311111111111111
multi_target_energy,0.4,0.12666666666666668,0.2733333333333333
multi_target_predicted_energy,0.36,0.12666666666666668,0.2333333333333333
multi_target_predicted_latent,0.2511111111111111,0.12666666666666668,0.12444444444444444
multi_target_core_latent,0.3488888888888889,0.12666666666666668,0.22222222222222224
multi_target_safe_core,0.38666666666666666,0.12666666666666668,0.26
