subject_id,n_train,train_start,train_end,prev_Q1,entropy_Q1,flip_rate_Q1,stickiness_Q1,prev_Q2,entropy_Q2,flip_rate_Q2,stickiness_Q2,prev_Q3,entropy_Q3,flip_rate_Q3,stickiness_Q3,prev_S1,entropy_S1,flip_rate_S1,stickiness_S1,prev_S2,entropy_S2,flip_rate_S2,stickiness_S2,prev_S3,entropy_S3,flip_rate_S3,stickiness_S3,prev_S4,entropy_S4,flip_rate_S4,stickiness_S4,coverage_mean_active_hours,coverage_mean_longest_missing,s4_context_token_days,s4_context_token_rate
id01,41,2024-06-26,2024-08-31,0.439,0.9892,0.375,0.625,0.561,0.9892,0.475,0.525,0.5854,0.9789,0.475,0.525,0.6341,0.9474,0.425,0.575,0.5854,0.9789,0.625,0.375,0.8537,0.6006,0.25,0.75,0.4878,0.9996,0.525,0.475,19.659,2.721,0,0.0
id02,48,2024-07-17,2024-09-27,0.5417,0.995,0.4894,0.5106,0.6667,0.9183,0.2979,0.7021,0.7292,0.8427,0.2553,0.7447,0.875,0.5436,0.234,0.766,0.9167,0.4138,0.1489,0.8511,0.8958,0.4821,0.1702,0.8298,0.75,0.8113,0.383,0.617,19.475,3.562,0,0.0
id03,33,2024-07-17,2024-09-12,0.8485,0.6136,0.1875,0.8125,0.8182,0.684,0.2812,0.7188,0.7273,0.8454,0.3438,0.6562,0.8182,0.684,0.2812,0.7188,0.5152,0.9993,0.5625,0.4375,0.4848,0.9993,0.625,0.375,0.1515,0.6136,0.2812,0.7188,19.367,2.519,0,0.0
id04,57,2024-07-31,2024-10-26,0.5614,0.9891,0.3393,0.6607,0.4912,0.9998,0.3571,0.6429,0.7719,0.7746,0.3214,0.6786,0.7544,0.8043,0.2679,0.7321,0.7018,0.8791,0.4464,0.5536,0.5439,0.9944,0.4107,0.5893,0.5088,0.9998,0.4107,0.5893,18.495,4.137,0,0.0
id05,44,2024-08-28,2024-11-14,0.6136,0.9624,0.3953,0.6047,0.4318,0.9865,0.3721,0.6279,0.6818,0.9024,0.3721,0.6279,0.4773,0.9985,0.4884,0.5116,0.25,0.8113,0.3721,0.6279,0.1364,0.5746,0.2791,0.7209,0.4091,0.976,0.4419,0.5581,17.514,4.7,0,0.0
id06,48,2024-06-03,2024-08-18,0.1458,0.5993,0.2128,0.7872,0.3958,0.9685,0.234,0.766,0.5,1.0,0.1915,0.8085,0.9375,0.3373,0.1277,0.8723,0.9167,0.4138,0.1064,0.8936,0.9583,0.2499,0.0638,0.9362,0.8542,0.5993,0.2553,0.7447,18.614,3.5,40,0.5556
id07,49,2024-06-09,2024-08-13,0.5102,0.9997,0.4167,0.5833,0.5102,0.9997,0.5208,0.4792,0.5102,0.9997,0.4583,0.5417,0.7959,0.73,0.3333,0.6667,0.7143,0.8631,0.2708,0.7292,0.7959,0.73,0.3125,0.6875,0.4694,0.9973,0.4583,0.5417,18.752,2.956,0,0.0
id08,56,2024-06-25,2024-09-16,0.4107,0.9769,0.4545,0.5455,0.7857,0.7496,0.2727,0.7273,0.4464,0.9917,0.3273,0.6727,0.4464,0.9917,0.4182,0.5818,0.6071,0.9666,0.5091,0.4909,0.6607,0.9241,0.4545,0.5455,0.6071,0.9666,0.3455,0.6545,10.213,5.4,27,0.36
id09,41,2024-07-01,2024-09-03,0.5122,0.9996,0.375,0.625,0.439,0.9892,0.175,0.825,0.439,0.9892,0.425,0.575,0.561,0.9892,0.475,0.525,0.7805,0.7593,0.25,0.75,0.7073,0.8722,0.45,0.55,0.5854,0.9789,0.55,0.45,19.591,2.14,36,0.5294
id10,33,2024-07-06,2024-09-14,0.4848,0.9993,0.5625,0.4375,0.5455,0.994,0.4688,0.5312,0.6364,0.9457,0.3438,0.6562,0.4848,0.9993,0.5,0.5,0.3636,0.9457,0.5625,0.4375,0.4848,0.9993,0.5312,0.4688,0.6667,0.9183,0.4688,0.5312,20.084,2.373,30,0.5455
