target,prev_next_code,n,p_y1,mean_prev_gap,mean_next_gap
Q1,00,119,0.29411764705882354,1.8067226890756303,1.4369747899159664
Q1,01,103,0.49514563106796117,1.6213592233009708,1.766990291262136
Q1,10,92,0.5,1.358695652173913,1.9673913043478262
Q1,11,116,0.7155172413793104,1.646551724137931,1.4913793103448276
Q2,00,107,0.2336448598130841,1.897196261682243,1.5327102803738317
Q2,01,82,0.5853658536585366,1.2439024390243902,1.8658536585365855
Q2,10,80,0.6,1.8125,1.5625
Q2,11,161,0.7391304347826086,1.5403726708074534,1.6459627329192548
Q3,00,78,0.24358974358974358,1.4871794871794872,1.5512820512820513
Q3,01,95,0.5894736842105263,1.5789473684210527,1.6421052631578947
Q3,10,91,0.5824175824175825,1.8241758241758241,1.934065934065934
Q3,11,166,0.7771084337349398,1.6024096385542168,1.5301204819277108
S1,00,48,0.4375,2.0833333333333335,1.7916666666666667
S1,01,92,0.6086956521739131,1.7173913043478262,1.891304347826087
S1,10,84,0.6190476190476191,1.6666666666666667,1.5357142857142858
S1,11,206,0.8009708737864077,1.4563106796116505,1.5436893203883495
S2,00,73,0.5068493150684932,1.8767123287671232,1.7671232876712328
S2,01,76,0.5921052631578947,1.4342105263157894,1.5526315789473684
S2,10,71,0.5915492957746479,1.7464788732394365,2.056338028169014
S2,11,210,0.7619047619047619,1.561904761904762,1.4952380952380953
S3,00,69,0.42028985507246375,1.8840579710144927,1.463768115942029
S3,01,74,0.581081081081081,1.2297297297297298,1.9324324324324325
S3,10,75,0.5866666666666667,2.0,1.6533333333333333
S3,11,212,0.7971698113207547,1.5424528301886793,1.599056603773585
S4,00,92,0.33695652173913043,1.423913043478261,1.4021739130434783
S4,01,97,0.5979381443298969,1.3917525773195876,1.4329896907216495
S4,10,93,0.5806451612903226,1.924731182795699,2.4731182795698925
S4,11,148,0.668918918918919,1.7094594594594594,1.412162162162162
