row_id,subject_id,lifelog_date,regime,target,action,direction,strength,base_subject_prior,candidate_hint_p,candidate_delta,nearest_label_days,coverage_anomaly_score,s4_context_token_count,reason
0,id01,2024-07-30,hole,Q1,TINY_MOVE,DOWN,0.15,0.439,0.3951,-0.0439,2,0.1827,0,very close Q1 neighbors agree; tiny only
0,id01,2024-07-30,hole,Q2,MOVE,UP,0.7,0.561,0.7146,0.1537,2,0.1827,0,hole row with close labeled neighbor; prev/next Q2 agree
0,id01,2024-07-30,hole,Q3,MOVE,UP,0.55,0.5854,0.772,0.1866,2,0.1827,0,close prev/next Q3 agree; temporal completion looks credible
0,id01,2024-07-30,hole,S1,TINY_MOVE,UP,0.12,0.6341,0.6634,0.0293,2,0.1827,0,very close S1 neighbors agree; tiny only
0,id01,2024-07-30,hole,S2,FREEZE,HOLD,0.0,0.5854,0.5854,0.0,2,0.1827,0,S2 is subject/static dominated; day-level features are brittle
0,id01,2024-07-30,hole,S3,FREEZE,HOLD,0.0,0.8537,0.8537,0.0,2,0.1827,0,S3 is subject/static dominated; day-level features are brittle
0,id01,2024-07-30,hole,S4,FREEZE,HOLD,0.0,0.4878,0.4878,0.0,2,0.1827,0,no strong S4 context event
1,id01,2024-07-31,hole,Q1,TINY_MOVE,DOWN,0.15,0.439,0.3951,-0.0439,3,0.6314,0,very close Q1 neighbors agree; tiny only
1,id01,2024-07-31,hole,Q2,MOVE,UP,0.7,0.561,0.7146,0.1537,3,0.6314,0,hole row with close labeled neighbor; prev/next Q2 agree
1,id01,2024-07-31,hole,Q3,MOVE,UP,0.55,0.5854,0.772,0.1866,3,0.6314,0,close prev/next Q3 agree; temporal completion looks credible
1,id01,2024-07-31,hole,S1,TINY_MOVE,UP,0.12,0.6341,0.6634,0.0293,3,0.6314,0,very close S1 neighbors agree; tiny only
1,id01,2024-07-31,hole,S2,FREEZE,HOLD,0.0,0.5854,0.5854,0.0,3,0.6314,0,S2 is subject/static dominated; day-level features are brittle
1,id01,2024-07-31,hole,S3,FREEZE,HOLD,0.0,0.8537,0.8537,0.0,3,0.6314,0,S3 is subject/static dominated; day-level features are brittle
1,id01,2024-07-31,hole,S4,FREEZE,HOLD,0.0,0.4878,0.4878,0.0,3,0.6314,0,no strong S4 context event
2,id01,2024-08-01,hole,Q1,FREEZE,HOLD,0.0,0.439,0.439,0.0,4,0.7208,0,Q1 signal unreliable; avoid coverage-driven movement
2,id01,2024-08-01,hole,Q2,MOVE,UP,0.9,0.561,0.7499,0.1889,4,0.7208,0,hole row with close labeled neighbor; prev/next Q2 agree; coverage/deviation anomaly present
2,id01,2024-08-01,hole,Q3,MOVE,UP,0.55,0.5854,0.772,0.1866,4,0.7208,0,close prev/next Q3 agree; temporal completion looks credible
2,id01,2024-08-01,hole,S1,FREEZE,HOLD,0.0,0.6341,0.6341,0.0,4,0.7208,0,S1 mostly subject/static; keep stable
2,id01,2024-08-01,hole,S2,FREEZE,HOLD,0.0,0.5854,0.5854,0.0,4,0.7208,0,S2 is subject/static dominated; day-level features are brittle
2,id01,2024-08-01,hole,S3,FREEZE,HOLD,0.0,0.8537,0.8537,0.0,4,0.7208,0,S3 is subject/static dominated; day-level features are brittle
2,id01,2024-08-01,hole,S4,FREEZE,HOLD,0.0,0.4878,0.4878,0.0,4,0.7208,0,no strong S4 context event
3,id01,2024-08-02,hole,Q1,FREEZE,HOLD,0.0,0.439,0.439,0.0,5,0.6414,0,Q1 signal unreliable; avoid coverage-driven movement
3,id01,2024-08-02,hole,Q2,MOVE,UP,0.7,0.561,0.7146,0.1537,5,0.6414,0,hole row with close labeled neighbor; prev/next Q2 agree
3,id01,2024-08-02,hole,Q3,MOVE,UP,0.55,0.5854,0.772,0.1866,5,0.6414,0,close prev/next Q3 agree; temporal completion looks credible
3,id01,2024-08-02,hole,S1,FREEZE,HOLD,0.0,0.6341,0.6341,0.0,5,0.6414,0,S1 mostly subject/static; keep stable
3,id01,2024-08-02,hole,S2,FREEZE,HOLD,0.0,0.5854,0.5854,0.0,5,0.6414,0,S2 is subject/static dominated; day-level features are brittle
3,id01,2024-08-02,hole,S3,FREEZE,HOLD,0.0,0.8537,0.8537,0.0,5,0.6414,0,S3 is subject/static dominated; day-level features are brittle
3,id01,2024-08-02,hole,S4,FREEZE,HOLD,0.0,0.4878,0.4878,0.0,5,0.6414,0,no strong S4 context event
4,id01,2024-08-03,hole,Q1,FREEZE,HOLD,0.0,0.439,0.439,0.0,6,0.4195,0,Q1 signal unreliable; avoid coverage-driven movement
4,id01,2024-08-03,hole,Q2,MOVE,UP,0.7,0.561,0.7146,0.1537,6,0.4195,0,hole row with close labeled neighbor; prev/next Q2 agree
4,id01,2024-08-03,hole,Q3,MOVE,UP,0.55,0.5854,0.772,0.1866,6,0.4195,0,close prev/next Q3 agree; temporal completion looks credible
4,id01,2024-08-03,hole,S1,FREEZE,HOLD,0.0,0.6341,0.6341,0.0,6,0.4195,0,S1 mostly subject/static; keep stable
4,id01,2024-08-03,hole,S2,FREEZE,HOLD,0.0,0.5854,0.5854,0.0,6,0.4195,0,S2 is subject/static dominated; day-level features are brittle
4,id01,2024-08-03,hole,S3,FREEZE,HOLD,0.0,0.8537,0.8537,0.0,6,0.4195,0,S3 is subject/static dominated; day-level features are brittle
4,id01,2024-08-03,hole,S4,FREEZE,HOLD,0.0,0.4878,0.4878,0.0,6,0.4195,0,no strong S4 context event
5,id01,2024-08-05,hole,Q1,FREEZE,HOLD,0.0,0.439,0.439,0.0,8,0.3502,0,Q1 signal unreliable; avoid coverage-driven movement
5,id01,2024-08-05,hole,Q2,FREEZE,UP,0.25,0.561,0.7146,0.1537,8,0.3502,0,prev/next Q2 agree
5,id01,2024-08-05,hole,Q3,FREEZE,HOLD,0.0,0.5854,0.5854,0.0,8,0.3502,0,no clean Q3 neighbor grammar
5,id01,2024-08-05,hole,S1,FREEZE,HOLD,0.0,0.6341,0.6341,0.0,8,0.3502,0,S1 mostly subject/static; keep stable
5,id01,2024-08-05,hole,S2,FREEZE,HOLD,0.0,0.5854,0.5854,0.0,8,0.3502,0,S2 is subject/static dominated; day-level features are brittle
5,id01,2024-08-05,hole,S3,FREEZE,HOLD,0.0,0.8537,0.8537,0.0,8,0.3502,0,S3 is subject/static dominated; day-level features are brittle
