target,mask,mean_delta,worst_delta,mean_weight,mean_move,families
S1,gap_le3,-0.04917367786781076,-0.03344665848860473,0.8166666666666668,0.11566231882895867,3
S1,has_future,-0.03450094949565491,-0.030415094404829923,0.7250000000000001,0.09219047496965425,2
S1,inside,-0.03450094949565491,-0.030415094404829923,0.7250000000000001,0.09219047496965425,2
S1,all,-0.02588268530424202,-0.02320848593327096,0.5666666666666668,0.08024888472571091,3
Q1,tail_after,-0.024622117378035158,-0.0135953168498677,0.5,0.08922973693108341,2
Q3,has_future,-0.022870868593818316,-0.01802565761697339,0.525,0.08428041656210963,2
Q3,inside,-0.022870868593818316,-0.01802565761697339,0.525,0.08428041656210963,2
S2,gap_le3,-0.016413516537947277,-0.007653464307324498,0.4000000000000001,0.0674751752823508,3
S1,tail_after,-0.01555514697826843,-0.0079018080232659,0.375,0.061065951675579815,2
Q3,all,-0.015382642431022794,-0.013370985423653892,0.38333333333333336,0.06035766967594592,3
Q3,tail_after,-0.01387204285823701,-0.013370985423653892,0.17500000000000002,0.03787428813468612,2
S2,tail_after,-0.012317840191254537,-0.004087981490219161,0.2,0.04364775703843386,2
Q3,gap_le3,-0.01229237701402878,-0.0023775834422343767,0.3166666666666667,0.05038913689182129,3
S3,gap_le3,-0.009902365422075085,-0.0018714031812139265,0.3333333333333333,0.05038169651267154,3
S2,has_future,-0.008714343001679059,-0.005402876009247715,0.30000000000000004,0.05007531624994045,2
S2,inside,-0.008714343001679059,-0.005402876009247715,0.30000000000000004,0.05007531624994045,2
Q1,gap_le3,-0.0077325268598729124,-0.0010629798019022862,0.23333333333333336,0.04197991563965797,3
Q1,all,-0.007503359224640183,-0.003114851995470347,0.21666666666666667,0.03614493683649702,3
S2,all,-0.00734796232264016,-0.004087981490219161,0.21666666666666667,0.0429460634266647,3
Q2,tail_after,-0.006180028054199371,-0.004227084833981043,0.175,0.03168576245797721,2
S3,has_future,-0.00586664617852356,-0.002262899420206632,0.22500000000000003,0.0376181164097463,2
S3,inside,-0.00586664617852356,-0.002262899420206632,0.22500000000000003,0.0376181164097463,2
Q1,has_future,-0.005666489477795356,-0.0055330701270082105,0.1,0.022636123074256394,2
Q1,inside,-0.005666489477795356,-0.0055330701270082105,0.1,0.022636123074256394,2
Q2,has_future,-0.005307064299876929,-0.0009586782822355033,0.1,0.022443991325000225,2
Q2,inside,-0.005307064299876929,-0.0009586782822355033,0.1,0.022443991325000225,2
Q2,all,-0.004733638652392846,-0.0009586782822355033,0.15,0.0287469466198317,3
S3,tail_after,-0.004359970079021835,-0.0006532686648504926,0.0,0.024369022585118846,2
S4,tail_after,-0.0028732432314043654,-0.0023997138954592323,0.17500000000000002,0.0292208052038744,2
Q2,gap_le3,-0.0026854019147533417,-0.0012543774612909786,0.03333333333333333,0.01774457713562223,3
S4,gap_le3,-0.0020772013230129227,0.0,0.13333333333333333,0.021413205490736886,3
S3,all,-0.0015443036511921064,-0.0006532686648504926,0.10000000000000002,0.01931250148631341,3
S4,all,-0.0015015567469014817,-0.0009471086685965968,0.15000000000000002,0.023203948889372845,3
S4,has_future,-0.0007462334799260284,-0.00033461928320344114,0.1,0.01479428073657961,2
S4,inside,-0.0007462334799260284,-0.00033461928320344114,0.1,0.01479428073657961,2
