a,b,raw_mi_bits,cmi_given_latent_state_bits,fraction_remaining_after_state,cmi_given_S2_bits,fraction_remaining_after_S2
S2,S4,0.17043255636111931,0.0011985958560789644,0.007032669588897861,,
S2,S3,0.1105959393616125,0.0011142223144552836,0.010074712696386995,,
S1,S2,0.10314929623762326,5.937205161050279e-05,0.0005755933755837598,,
Q1,S1,0.09815432280694703,0.041631632165665795,0.4241446629665836,0.10375232521407475,1.057032662923446
Q2,Q3,0.08445255226726678,0.07510213888309955,0.8892820508896404,0.08448030131302478,1.0003285755730649
Q1,Q2,0.010777613132254338,0.01828472231210531,1.6965465440009462,0.011097150462484617,1.02964824644466
Q1,S3,0.010266506201914716,0.017732160726474544,1.7271855076820073,0.019149205143951145,1.865211471881232
S1,S3,0.009889971946328346,0.0017483936243072216,0.17678448774127342,0.0041687363609688045,0.42151144448053246
S1,S4,0.008157367400352111,0.004310176935549811,0.5283784245593454,0.006696548753350753,0.8209203318538403
Q1,Q3,0.007464877321354368,0.010081795060148627,1.350564065039379,0.00832728139301398,1.1155282310122605
S3,S4,0.005360190033416146,0.05908541735058428,11.023007949762572,0.0497523138743584,9.281819033317062
Q1,S2,0.0038244299065663956,0.00028699020484450365,0.07504130337223668,,
Q3,S1,0.003147621138363643,0.00458435023375845,1.4564491824901522,0.007295415510835722,2.3177552793499148
Q2,S3,0.0019948640060527545,0.0008183576514226489,0.4102323010188231,0.0033287186194930116,1.668644383473318
Q2,S1,0.00193994707328482,0.016514315601595424,8.512766058938155,0.006941844776726616,3.5783681278336736
Q3,S3,0.0005216360030781964,0.00966378514189015,18.525916702190305,0.005770435900488751,11.062188703304914
Q2,S4,0.00042213046453021263,0.003166013857515983,7.5000837976463695,0.0008246692374272311,1.9535885389011245
Q1,S4,0.00025994667957496276,0.011587957545607574,44.5782095180249,0.0006371211057915137,2.4509684325772754
Q3,S4,3.854320765084296e-05,0.0034393227017503825,89.23291317387702,0.0007113701594141119,18.456433773190486
Q2,S2,4.605786069866724e-06,0.001374311681058839,298.3880840776017,,
Q3,S2,2.6130944710267556e-06,0.001170223901857207,447.83069071260724,,
