subject_id,sleep_date,lifelog_date,row_id,s4_anchor_p,s4_cola_p,cola_shift,cola_abs_shift,cola_direction,cola_says_move,regime,nearest_label_days,neighbor_agree_S4,neighbor_mean_S4,coverage_anomaly_score,s4_context_token_count,action,direction,strength,base_subject_prior,candidate_hint_p,candidate_delta,reason,action_allows_move,context_token_evidence,direction_agree,three_way_intersection,candidate_safe_intersection,s4_cola_context_score
id09,2024-09-14,2024-09-13,222,0.44054012753587246,0.8450301094412348,0.40448998190536234,0.40448998190536234,UP,True,tail,10,False,1.0,2.1457,5,TINY_MOVE,UP,0.35,0.5854,0.6445,0.0591,multiple S4 context tokens present; capped only,True,True,True,True,True,3.496
id09,2024-09-20,2024-09-19,225,0.5197175910372536,0.6742319962795666,0.15451440524231308,0.15451440524231308,UP,True,tail,16,False,1.0,1.1295,5,TINY_MOVE,UP,0.35,0.5854,0.6445,0.0591,multiple S4 context tokens present; capped only,True,True,True,True,True,3.448
id10,2024-09-26,2024-09-25,248,0.4977410164664913,0.6442289004589239,0.14648788399243257,0.14648788399243257,UP,True,tail,11,False,1.0,1.3458,5,TINY_MOVE,UP,0.35,0.6667,0.7197,0.0531,multiple S4 context tokens present; capped only,True,True,True,True,True,3.44
id09,2024-09-13,2024-09-12,221,0.5261791001464673,0.6413555901912621,0.1151764900447948,0.1151764900447948,UP,True,tail,9,False,1.0,1.7522,6,TINY_MOVE,UP,0.35,0.5854,0.6445,0.0591,multiple S4 context tokens present; capped only,True,True,True,True,True,3.388
id10,2024-09-25,2024-09-24,247,0.5023214476843856,0.40068978049884346,-0.10163166718554212,0.10163166718554212,DOWN,True,tail,10,False,1.0,0.9613,4,TINY_MOVE,UP,0.35,0.6667,0.7197,0.0531,multiple S4 context tokens present; capped only,True,True,False,True,False,2.856
id09,2024-09-07,2024-09-06,216,0.45013659109907284,0.5208328962739105,0.07069630517483766,0.07069630517483766,UP,False,tail,3,False,1.0,1.2856,4,TINY_MOVE,UP,0.35,0.5854,0.6445,0.0591,multiple S4 context tokens present; capped only,True,True,True,False,False,3.2359999999999998
id10,2024-09-27,2024-09-26,249,0.5751612764806092,0.645385744618836,0.0702244681382268,0.0702244681382268,UP,False,tail,12,False,1.0,0.6715,4,TINY_MOVE,UP,0.35,0.6667,0.7197,0.0531,multiple S4 context tokens present; capped only,True,True,True,False,False,3.232
id06,2024-08-14,2024-08-13,144,0.689680134734332,0.7566579979856645,0.06697786325133248,0.06697786325133248,UP,False,hole,2,True,1.0,0.369,6,TINY_MOVE,UP,0.35,0.8542,0.8826,0.0285,multiple S4 context tokens present; capped only,True,True,True,False,False,3.2199999999999998
id10,2024-08-14,2024-08-13,233,0.5520823246751302,0.6134336411244053,0.06135131644927516,0.06135131644927516,UP,False,hole,11,False,0.5,0.6243,3,TINY_MOVE,UP,0.35,0.6667,0.7197,0.0531,multiple S4 context tokens present; capped only,True,True,True,False,False,3.1879999999999997
id10,2024-08-23,2024-08-22,238,0.617456558864739,0.6745537506779193,0.05709719181318029,0.05709719181318029,UP,False,hole,5,False,0.5,1.0543,5,TINY_MOVE,UP,0.35,0.6667,0.7197,0.0531,multiple S4 context tokens present; capped only,True,True,True,False,False,3.148
