rule,n_rows,subject_coverage,inside_ratio,after_ratio,has_future_ratio,mean_prev_dist,mean_next_dist,date_min,date_max,plausibility_score,public_failure_risk_score
per_subject_first_half,128,10,1.0,0.0,1.0,6.859375,7.5859375,2024-07-06,2024-10-16,0.6228,0.5640000000000001
inside_only,156,10,1.0,0.0,1.0,6.147435897435898,6.634615384615385,2024-07-06,2024-11-13,0.6116,0.5640000000000001
date_first_50pct,125,8,0.816,0.184,0.816,6.976,8.156862745098039,2024-07-06,2024-09-02,0.778,0.2879999999999999
sample_order_first_50pct,125,5,0.648,0.352,0.648,7.152,6.345679012345679,2024-07-30,2024-11-16,0.901,0.03600000000000003
alternating_even_rows,125,10,0.632,0.368,0.632,6.848,6.6835443037974684,2024-07-06,2024-11-18,0.992,0.01200000000000001
full_test,250,10,0.624,0.376,0.624,6.916,6.634615384615385,2024-07-06,2024-11-19,0.95,0.0
sample_order_first_40pct,100,4,0.61,0.39,0.61,8.12,7.049180327868853,2024-07-30,2024-10-19,0.886,-0.02100000000000002
date_last_50pct,125,8,0.432,0.568,0.432,6.856,3.759259259259259,2024-09-03,2024-11-19,0.778,-0.28800000000000003
per_subject_second_half,122,10,0.22950819672131148,0.7704918032786885,0.22950819672131148,6.975409836065574,2.2857142857142856,2024-07-20,2024-11-19,0.6043081967213115,-0.5917377049180328
tail_after_only,94,10,0.0,1.0,0.0,8.191489361702128,,2024-08-14,2024-11-19,0.3636,-0.9359999999999999
