subject_id,lifelog_date,Q1,Q3,pred_Q1,pred_Q3
id01,2024-08-23,1,0,0.47815136786663803,0.540334297516904
id01,2024-08-24,1,1,0.45488847572854996,0.6073576157096726
id01,2024-08-25,1,1,0.46703624801034693,0.6235171146244508
id01,2024-08-26,1,1,0.47322179493500305,0.46219035278666026
id01,2024-08-27,1,0,0.4683089589570843,0.5060387791963247
id01,2024-08-28,0,0,0.4983892938613443,0.4814319124112508
id01,2024-08-29,1,1,0.4828831946192104,0.4477774782268524
id01,2024-08-31,1,1,0.4763766453237626,0.7511772503766543
id02,2024-09-18,1,1,0.5162611021493511,0.5811999166875512
id02,2024-09-19,1,1,0.5309359763108131,0.6078014666564614
id02,2024-09-20,1,1,0.5157767265962887,0.6112385846586255
id02,2024-09-21,1,1,0.5258258697516697,0.6165315948608036
id02,2024-09-22,0,1,0.5090876119247408,0.5997767631189923
id02,2024-09-23,0,1,0.49962601140557705,0.5540366745865447
id02,2024-09-24,0,0,0.5469941216363481,0.5876413920770333
id02,2024-09-25,0,0,0.5312378114174433,0.6059587654788919
id02,2024-09-26,1,0,0.5554761666207966,0.5856944226644201
id02,2024-09-27,1,1,0.44944515721126177,0.6289214828434485
id03,2024-09-04,1,0,0.5071509223969999,0.6390535242388129
id03,2024-09-05,1,0,0.5258291225427889,0.5999059995867007
id03,2024-09-06,1,0,0.5113489824963569,0.5912004279326544
id03,2024-09-07,1,1,0.5315791044126197,0.6256797038169417
id03,2024-09-09,1,1,0.5142975761953471,0.5785023795688513
id03,2024-09-11,1,1,0.5238753002159009,0.5967314550695949
id03,2024-09-12,0,1,0.5120486423556606,0.640843748968414
id04,2024-10-06,1,1,0.5412581824760567,0.630459474525984
id04,2024-10-07,0,1,0.48956257976829737,0.5710471586351934
id04,2024-10-08,0,1,0.4691358116645127,0.6037807429608336
id04,2024-10-09,1,1,0.5263069797132995,0.5653768190306813
id04,2024-10-10,1,1,0.49890511072830956,0.5733862815648709
id04,2024-10-11,1,0,0.5165084747576513,0.5387898486998043
id04,2024-10-12,0,1,0.47137339916643467,0.689862444767427
id04,2024-10-13,1,1,0.46033391109524413,0.6504496548390332
id04,2024-10-20,1,1,0.4681984433241866,0.65173601426707
id04,2024-10-22,1,0,0.491584803048663,0.5306495802839901
id04,2024-10-26,1,1,0.46738589811369147,0.6096743366114133
id05,2024-10-29,0,0,0.45755791177204397,0.4773493623609393
id05,2024-10-30,1,0,0.42752932003784677,0.3150531442948309
id05,2024-11-02,0,0,0.4829323376027256,0.5776601841933033
id05,2024-11-04,1,1,0.5054362109110462,0.5613597998579951
id05,2024-11-05,0,1,0.5274079191935818,0.4117440734608114
id05,2024-11-09,0,1,0.46667478758828757,0.19804672026765874
id05,2024-11-10,0,0,0.4058344718576631,0.579434588008991
id05,2024-11-11,1,1,0.4239465676664083,0.32227303217696
id05,2024-11-14,1,1,0.5006009109044439,0.5750519773085938
id06,2024-07-30,0,1,0.4998652508587716,0.5607743054558036
id06,2024-07-31,0,1,0.5182670435571077,0.5628447548317328
id06,2024-08-01,0,1,0.4889450505659845,0.6703415642204488
id06,2024-08-02,0,1,0.5050511546914624,0.4669894188722568
id06,2024-08-03,0,0,0.4959299200113241,0.5743476506374072
id06,2024-08-04,0,1,0.41759402883196384,0.3032978270229444
id06,2024-08-05,0,1,0.5165063774384233,0.5970514883010221
id06,2024-08-10,0,1,0.48847433187957895,0.569567881525502
id06,2024-08-15,0,1,0.49109991614875304,0.5886102066631159
id06,2024-08-18,0,1,0.46890705351303985,0.6833197203708822
id07,2024-08-04,1,1,0.5290464235644584,0.6640435513294229
id07,2024-08-05,1,0,0.5073424782968946,0.6090506232133006
id07,2024-08-06,1,0,0.4857881085751466,0.5224362192298313
id07,2024-08-07,0,1,0.49399824518463437,0.5177401720998542
id07,2024-08-08,0,0,0.49108083261938923,0.4612476493823012
id07,2024-08-09,0,1,0.5152933253158182,0.5293208711331925
id07,2024-08-10,0,1,0.5221881226265992,0.5864484241320109
id07,2024-08-11,1,1,0.542729455395771,0.794481131916738
id07,2024-08-12,1,0,0.48208145070854513,0.42417922467072994
id07,2024-08-13,0,1,0.5249826169537826,0.6084533229799834
id08,2024-08-27,1,0,0.5144994618833038,0.5403231105090927
id08,2024-08-28,1,1,0.4546011187151729,0.4733423364462768
