row_id,subject_id,lifelog_date,regime,within_subject_frac,nearest_train_gap_d,has_future_train,publiclike_score,row_calibration_pressure,w02_minus_w01_mean_abs,anchor_minus_w02_mean_abs,w03_minus_anchor_mean_abs,block_minus_anchor_mean_abs,bad_minus_base_mean_abs
117,id05,2024-10-16,inside,0.5,2.0,1,0.9796157276714141,1.344152667587234,0.01470648780197571,0.0018687178658364698,0.007758720394360299,0.11759930408974441,0.02782829847121086
141,id06,2024-08-09,inside,0.5652173913043478,1.0,1,0.9067741453511267,1.3357257011640635,0.011571013071819116,0.008489874328676816,0.005551474682631229,0.12670403742946348,0.0012640098694022747
119,id05,2024-11-06,inside,0.6,1.0,1,0.8890427175012836,1.3088186413746972,0.015845637307399355,0.0007695171757003642,0.006450726265285732,0.15658873300521375,0.05843968293014147
113,id05,2024-10-06,inside,0.3,3.0,1,0.9288946742322749,1.25690649140333,0.017411223460335128,0.005900815764749735,0.0075043967106298015,0.10148905320355525,0.025601101476252636
139,id06,2024-07-18,inside,0.4782608695652174,3.0,1,0.969323340069454,1.244484247490914,0.01711327055581821,0.007045219813056066,0.011633259511771002,0.08932121984524247,0.03952117115851753
42,id02,2024-09-09,inside,0.4838709677419355,1.0,1,0.9578666588295159,1.236440305145312,0.013960411762652492,2.7978548711013066e-06,0.003917507007036382,0.09559119686262338,0.030916850290570435
211,id09,2024-08-15,inside,0.38461538461538464,6.0,1,0.9181723076939188,1.2307303747855796,0.017099866897167477,0.005785790973171826,0.010391818745470746,0.08629893589441721,0.014406898759752802
110,id05,2024-10-01,inside,0.15,4.0,1,0.8753195504966325,1.2230476836359334,0.009910879505310851,0.0007836347437278425,0.007392891423798893,0.11044083322354446,0.0177528396593308
116,id05,2024-10-15,inside,0.45,3.0,1,0.9623359345545577,1.2134324262902103,0.019928747720131295,0.004013383483837888,0.016977435425871348,0.07729981942128698,0.04576075798310825
112,id05,2024-10-05,inside,0.25,4.0,1,0.9036662727749973,1.2069707828583052,0.013664310769980672,0.004177926555914535,0.009208791380599438,0.09504588204337446,0.025226221249277956
213,id09,2024-08-18,inside,0.46153846153846156,3.0,1,0.9699095360059741,1.1981722899204004,0.021517026938226824,0.008089216774093102,0.011329199290609318,0.056038804312968114,0.019196168855493207
