fold,subject_id,target,y,p_subj,ll_subj,ll_marg,ll_lift_vs_marg
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,1,0.4696028609072087,0.7558679182653243,0.7212051333551027,-0.03466278491022157
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,1,0.4696028609072087,0.7558679182653243,0.7212051333551027,-0.03466278491022157
mirror_v1_seed0,id01,Q1,1,0.4696028609072087,0.7558679182653243,0.7212051333551027,-0.03466278491022157
mirror_v1_seed0,id01,Q1,1,0.4696028609072087,0.7558679182653243,0.7212051333551027,-0.03466278491022157
mirror_v1_seed0,id01,Q1,1,0.4696028609072087,0.7558679182653243,0.7212051333551027,-0.03466278491022157
mirror_v1_seed0,id01,Q1,1,0.4696028609072087,0.7558679182653243,0.7212051333551027,-0.03466278491022157
mirror_v1_seed0,id01,Q1,0,0.4696028609072087,0.6341292339923177,0.6658550382719379,0.03172580427962024
mirror_v1_seed0,id01,Q1,1,0.4696028609072087,0.7558679182653243,0.7212051333551027,-0.03466278491022157
mirror_v1_seed0,id01,Q1,1,0.4696028609072087,0.7558679182653243,0.7212051333551027,-0.03466278491022157
mirror_v1_seed0,id02,Q1,0,0.4722460903935384,0.6391251842158475,0.6658550382719379,0.026729854056090407
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,0,0.4722460903935384,0.6391251842158475,0.6658550382719379,0.026729854056090407
mirror_v1_seed0,id02,Q1,0,0.4722460903935384,0.6391251842158475,0.6658550382719379,0.026729854056090407
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,0,0.4722460903935384,0.6391251842158475,0.6658550382719379,0.026729854056090407
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,0,0.4722460903935384,0.6391251842158475,0.6658550382719379,0.026729854056090407
mirror_v1_seed0,id02,Q1,0,0.4722460903935384,0.6391251842158475,0.6658550382719379,0.026729854056090407
mirror_v1_seed0,id02,Q1,0,0.4722460903935384,0.6391251842158475,0.6658550382719379,0.026729854056090407
mirror_v1_seed0,id02,Q1,0,0.4722460903935384,0.6391251842158475,0.6658550382719379,0.026729854056090407
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id02,Q1,1,0.4722460903935384,0.75025505131443,0.7212051333551027,-0.02904991795932732
mirror_v1_seed0,id03,Q1,0,0.6506136883711254,1.0515770588416131,0.6658550382719379,-0.3857220205696752
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,1,0.6506136883711254,0.4298392255528945,0.7212051333551027,0.2913659078022082
mirror_v1_seed0,id03,Q1,0,0.6506136883711254,1.0515770588416131,0.6658550382719379,-0.3857220205696752
mirror_v1_seed0,id04,Q1,0,0.6024180423157405,0.9223541832870307,0.6658550382719379,-0.25649914501509274
mirror_v1_seed0,id04,Q1,1,0.6024180423157405,0.5068036522216264,0.7212051333551027,0.21440148113347635
mirror_v1_seed0,id04,Q1,1,0.6024180423157405,0.5068036522216264,0.7212051333551027,0.21440148113347635
mirror_v1_seed0,id04,Q1,0,0.6024180423157405,0.9223541832870307,0.6658550382719379,-0.25649914501509274
