target,direction,gap_bucket,other_t,n,p_y1,mean_prev_gap,mean_next_gap
Q2,falling_10,next_much_closer,0,2,0.0,7.5,2.5
Q2,falling_10,next_much_closer,1,1,1.0,20.0,1.0
Q2,falling_10,next_closer,0,2,1.0,8.0,5.0
Q2,falling_10,next_closer,1,6,0.5,3.5,1.5
Q2,falling_10,balanced,0,25,0.28,1.12,1.28
Q2,falling_10,balanced,1,39,0.8205128205128205,1.0256410256410255,1.1538461538461537
Q2,falling_10,prev_closer,0,2,0.0,1.0,4.0
Q2,falling_10,prev_closer,1,2,1.0,1.0,3.0
Q2,falling_10,prev_much_closer,1,1,1.0,1.0,9.0
Q2,rising_01,next_much_closer,1,1,1.0,7.0,3.0
Q2,rising_01,next_closer,0,4,0.25,2.75,1.25
Q2,rising_01,next_closer,1,5,0.4,2.4,1.0
Q2,rising_01,balanced,0,25,0.48,1.0,1.08
Q2,rising_01,balanced,1,38,0.6842105263157895,1.0,1.2105263157894737
Q2,rising_01,prev_closer,0,1,0.0,1.0,3.0
Q2,rising_01,prev_closer,1,4,0.75,1.0,3.75
Q2,rising_01,prev_much_closer,1,4,0.75,1.0,12.25
Q3,falling_10,next_much_closer,0,1,0.0,16.0,1.0
Q3,falling_10,next_much_closer,1,2,1.0,13.5,1.5
Q3,falling_10,next_closer,0,3,0.6666666666666666,3.0,1.0
Q3,falling_10,next_closer,1,6,0.5,5.166666666666667,2.8333333333333335
Q3,falling_10,balanced,0,34,0.4117647058823529,1.0588235294117647,1.1764705882352942
Q3,falling_10,balanced,1,40,0.7,1.025,1.15
Q3,falling_10,prev_closer,1,1,1.0,2.0,6.0
Q3,falling_10,prev_much_closer,0,1,0.0,1.0,17.0
Q3,falling_10,prev_much_closer,1,3,1.0,1.0,14.333333333333334
Q3,rising_01,next_much_closer,0,1,0.0,9.0,4.0
Q3,rising_01,next_much_closer,1,1,1.0,25.0,2.0
Q3,rising_01,next_closer,0,7,0.42857142857142855,2.7142857142857144,1.1428571428571428
Q3,rising_01,next_closer,1,6,0.6666666666666666,2.1666666666666665,1.0
Q3,rising_01,balanced,0,33,0.48484848484848486,1.121212121212121,1.2121212121212122
Q3,rising_01,balanced,1,41,0.6585365853658537,1.0,1.2195121951219512
Q3,rising_01,prev_closer,0,1,0.0,1.0,3.0
Q3,rising_01,prev_closer,1,2,1.0,1.0,3.0
Q3,rising_01,prev_much_closer,0,1,1.0,1.0,10.0
Q3,rising_01,prev_much_closer,1,2,1.0,1.0,13.5
