subject_id,state,run_len
id01,0,1
id01,1,1
id01,2,1
id01,0,1
id01,1,2
id01,0,3
id01,2,1
id01,0,2
id01,2,2
id01,1,1
id01,2,1
id01,0,1
id01,1,1
id01,0,1
id01,2,3
id01,0,1
id01,1,1
id01,0,1
id01,1,1
id01,2,1
id01,1,1
id01,0,1
id01,1,2
id01,0,1
id01,1,1
id01,0,1
id01,2,2
id01,0,1
id01,2,1
id01,0,1
id01,2,2
id02,0,1
id02,1,1
id02,2,1
id02,0,1
id02,1,1
id02,2,2
id02,1,2
id02,2,4
id02,1,1
id02,2,3
id02,0,1
id02,1,3
id02,2,3
id02,1,1
id02,0,1
id02,2,3
id02,1,1
id02,2,2
id02,1,1
id02,2,1
id02,1,1
id02,2,1
id02,1,1
id02,2,5
id02,1,4
id02,2,2
id03,1,1
id03,0,2
id03,2,2
id03,0,1
id03,2,1
id03,0,1
id03,1,1
id03,0,1
id03,1,1
id03,0,1
id03,2,1
id03,0,3
id03,2,1
id03,0,1
id03,2,3
id03,0,2
id03,2,3
id03,0,4
id03,2,2
id03,1,1
id04,1,1
id04,0,1
id04,2,3
id04,1,1
id04,2,2
id04,0,1
id04,2,5
id04,0,1
id04,2,1
id04,0,1
id04,2,1
id04,1,1
id04,2,1
id04,1,2
id04,0,1
id04,1,1
id04,2,1
id04,1,1
id04,2,1
id04,0,4
id04,1,1
id04,0,1
id04,1,1
id04,2,3
id04,0,1
id04,2,1
id04,1,1
id04,2,1
id04,0,1
id04,2,1
id04,0,1
id04,2,3
id04,1,1
id04,0,1
id04,2,2
id04,0,2
id04,2,3
id04,0,1
id05,0,3
id05,1,1
id05,0,8
id05,2,1
id05,0,6
id05,2,1
id05,0,4
id05,2,1
id05,0,4
id05,2,4
id05,0,1
id05,1,1
id05,0,1
id05,2,1
id05,0,5
id05,2,1
id05,0,1
id06,0,2
id06,1,3
id06,0,1
id06,1,13
id06,2,1
id06,1,2
id06,2,2
id06,1,3
id06,2,1
id06,1,2
id06,2,2
id06,0,1
id06,1,4
id06,2,1
id06,1,10
id07,2,1
id07,1,1
id07,2,1
id07,1,1
id07,2,5
id07,1,2
id07,0,1
id07,1,1
id07,2,12
id07,0,2
id07,1,2
id07,2,2
id07,0,1
id07,1,2
id07,0,3
id07,2,1
id07,0,1
id07,2,2
id07,0,5
id07,2,2
id07,0,1
id08,0,2
id08,1,1
id08,0,1
id08,1,3
id08,2,1
id08,1,2
id08,2,2
id08,1,1
id08,0,1
id08,2,1
id08,1,1
id08,0,1
id08,2,3
id08,1,1
id08,2,1
id08,0,1
id08,1,1
id08,0,1
id08,1,1
id08,0,2
id08,2,1
id08,1,1
id08,0,2
id08,2,1
id08,1,2
id08,0,3
id08,1,2
id08,0,1
id08,1,1
id08,2,2
id08,0,1
id08,2,1
id08,0,1
id08,2,1
id08,0,1
id08,2,1
id08,0,2
id08,1,2
id08,0,2
id09,1,1
id09,0,1
id09,2,1
id09,0,1
id09,2,1
id09,1,3
id09,2,2
id09,0,3
id09,2,4
id09,1,3
id09,2,4
id09,1,7
id09,2,1
id09,1,1
id09,2,2
id09,0,2
id09,2,1
id09,0,2
id09,2,1
id10,0,2
id10,2,1
id10,0,1
id10,2,1
id10,0,1
id10,1,1
id10,0,1
id10,2,1
id10,0,1
id10,1,1
id10,2,1
id10,1,1
id10,0,3
id10,1,1
id10,0,1
id10,1,1
id10,0,6
id10,2,1
id10,0,3
id10,2,2
id10,0,2
