given,target,p_target,p_target_given_given1,lift
Q1,Q2,0.5622222222222222,0.6233183856502242,1.1086690653857745
Q1,Q3,0.6,0.6502242152466368,1.0837070254110612
Q1,S1,0.6822222222222222,0.852017937219731,1.2488862271950454
Q1,S2,0.6511111111111111,0.6860986547085202,1.0537351352178637
Q1,S3,0.6622222222222223,0.6053811659192825,0.9141661901465674
Q1,S4,0.56,0.5695067264573991,1.0169762972453553
Q2,Q1,0.4955555555555556,0.549407114624506,1.1086690653857743
Q2,Q3,0.6,0.7470355731225297,1.2450592885375495
Q2,S1,0.6822222222222222,0.7035573122529645,1.0312729332698176
Q2,S2,0.6511111111111111,0.6521739130434783,1.0016322896572192
Q2,S3,0.6622222222222223,0.6403162055335968,0.9669204445977132
Q2,S4,0.56,0.549407114624506,0.9810841332580463
Q3,Q1,0.4955555555555556,0.5370370370370371,1.0837070254110612
Q3,Q2,0.5622222222222222,0.7,1.2450592885375493
Q3,S1,0.6822222222222222,0.7074074074074074,1.0369163952225842
Q3,S2,0.6511111111111111,0.6518518518518519,1.001137656427759
Q3,S3,0.6622222222222223,0.6518518518518519,0.9843400447427293
Q3,S4,0.56,0.562962962962963,1.0052910052910053
S1,Q1,0.4955555555555556,0.6188925081433225,1.2488862271950454
S1,Q2,0.5622222222222222,0.5798045602605864,1.0312729332698176
S1,Q3,0.6,0.6221498371335505,1.0369163952225844
S1,S2,0.6511111111111111,0.7752442996742671,1.1906482418205468
S1,S3,0.6622222222222223,0.7003257328990228,1.0575388584045646
S1,S4,0.56,0.5960912052117264,1.0644485807352257
S2,Q1,0.4955555555555556,0.5221843003412969,1.0537351352178637
S2,Q2,0.5622222222222222,0.5631399317406144,1.0016322896572194
S2,Q3,0.6,0.6006825938566553,1.001137656427759
S2,S1,0.6822222222222222,0.8122866894197952,1.1906482418205468
S2,S3,0.6622222222222223,0.7986348122866894,1.2059921662047324
S2,S4,0.56,0.7337883959044369,1.310336421257923
S3,Q1,0.4955555555555556,0.45302013422818793,0.9141661901465675
S3,Q2,0.5622222222222222,0.5436241610738255,0.9669204445977134
S3,Q3,0.6,0.5906040268456376,0.9843400447427294
S3,S1,0.6822222222222222,0.7214765100671141,1.0575388584045646
S3,S2,0.6511111111111111,0.785234899328859,1.2059921662047324
S3,S4,0.56,0.5906040268456376,1.0546500479386385
S4,Q1,0.4955555555555556,0.503968253968254,1.0169762972453555
S4,Q2,0.5622222222222222,0.5515873015873016,0.9810841332580464
S4,Q3,0.6,0.6031746031746031,1.0052910052910053
S4,S1,0.6822222222222222,0.7261904761904762,1.0644485807352257
S4,S2,0.6511111111111111,0.8531746031746031,1.310336421257923
S4,S3,0.6622222222222223,0.6984126984126984,1.0546500479386385
