subject_id,lifelog_date,target,prev,cur,next
id01,2024-07-07,Q1,1,0,1
id01,2024-07-10,Q1,1,0,1
id01,2024-07-12,Q1,0,1,0
id01,2024-07-27,Q1,0,1,0
id01,2024-08-28,Q1,1,0,1
id01,2024-07-08,Q2,1,0,1
id01,2024-07-09,Q2,0,1,0
id01,2024-08-18,Q2,1,0,1
id01,2024-08-19,Q2,0,1,0
id01,2024-08-20,Q2,1,0,1
id01,2024-08-21,Q2,0,1,0
id01,2024-08-23,Q2,1,0,1
id01,2024-08-26,Q2,1,0,1
id01,2024-08-27,Q2,0,1,0
id01,2024-07-03,Q3,1,0,1
id01,2024-07-08,Q3,1,0,1
id01,2024-07-09,Q3,0,1,0
id01,2024-07-13,Q3,0,1,0
id01,2024-07-14,Q3,1,0,1
id01,2024-07-27,Q3,1,0,1
id01,2024-08-18,Q3,1,0,1
id01,2024-07-01,S1,1,0,1
id01,2024-07-04,S1,1,0,1
id01,2024-07-05,S1,0,1,0
id01,2024-07-06,S1,1,0,1
id01,2024-07-14,S1,1,0,1
id01,2024-08-26,S1,1,0,1
id01,2024-08-27,S1,0,1,0
id01,2024-08-28,S1,1,0,1
id01,2024-06-29,S2,1,0,1
id01,2024-07-05,S2,0,1,0
id01,2024-07-13,S2,1,0,1
id01,2024-07-14,S2,0,1,0
id01,2024-07-15,S2,1,0,1
id01,2024-07-21,S2,1,0,1
id01,2024-07-22,S2,0,1,0
id01,2024-07-23,S2,1,0,1
id01,2024-08-17,S2,1,0,1
id01,2024-08-20,S2,1,0,1
id01,2024-08-21,S2,0,1,0
id01,2024-08-23,S2,1,0,1
id01,2024-08-24,S2,0,1,0
id01,2024-08-27,S2,0,1,0
id01,2024-08-28,S2,1,0,1
id01,2024-06-29,S3,1,0,1
id01,2024-07-07,S3,1,0,1
id01,2024-07-21,S3,1,0,1
id01,2024-08-28,S3,0,1,0
id01,2024-08-29,S3,1,0,1
id01,2024-06-29,S4,1,0,1
id01,2024-06-30,S4,0,1,0
id01,2024-07-05,S4,0,1,0
id01,2024-07-08,S4,0,1,0
