pattern,n,share,dominant_state,state_purity,subjects
1111111,37,0.08222222222222222,2,1.0,9
0111111,24,0.05333333333333334,1,1.0,6
0001111,20,0.044444444444444446,1,1.0,4
1001111,17,0.03777777777777778,2,1.0,7
1011111,15,0.03333333333333333,2,1.0,7
1111101,14,0.03111111111111111,2,1.0,7
0110010,11,0.024444444444444446,0,1.0,6
1101111,11,0.024444444444444446,2,1.0,6
1111110,11,0.024444444444444446,2,1.0,6
0000111,11,0.024444444444444446,1,1.0,5
0011111,10,0.022222222222222223,1,1.0,5
0110111,10,0.022222222222222223,1,1.0,5
1111000,9,0.02,0,1.0,3
0001110,8,0.017777777777777778,1,1.0,6
0010010,8,0.017777777777777778,0,1.0,5
0100111,8,0.017777777777777778,1,1.0,2
0000000,7,0.015555555555555555,0,1.0,4
0000001,7,0.015555555555555555,0,1.0,2
1111100,7,0.015555555555555555,2,1.0,1
0011110,6,0.013333333333333334,1,1.0,5
1001110,6,0.013333333333333334,2,1.0,5
1111001,6,0.013333333333333334,0,1.0,5
0110000,6,0.013333333333333334,0,1.0,4
0111010,6,0.013333333333333334,0,1.0,4
0111110,6,0.013333333333333334,2,1.0,4
0000010,6,0.013333333333333334,0,1.0,3
0110001,6,0.013333333333333334,0,1.0,3
1101110,6,0.013333333333333334,2,1.0,3
0001010,5,0.011111111111111112,0,1.0,4
0010111,5,0.011111111111111112,1,1.0,4
0111000,5,0.011111111111111112,0,1.0,4
1011101,5,0.011111111111111112,2,1.0,4
1101000,5,0.011111111111111112,0,1.0,4
1111010,5,0.011111111111111112,0,1.0,4
1110010,5,0.011111111111111112,0,1.0,3
0110110,4,0.008888888888888889,1,1.0,3
1001010,4,0.008888888888888889,0,1.0,3
1011000,4,0.008888888888888889,0,1.0,3
1101101,4,0.008888888888888889,2,1.0,3
1110000,4,0.008888888888888889,0,1.0,3
1011110,4,0.008888888888888889,2,1.0,2
1011100,4,0.008888888888888889,2,1.0,1
0001101,3,0.006666666666666667,1,1.0,3
0010000,3,0.006666666666666667,0,1.0,3
0100000,3,0.006666666666666667,0,1.0,3
0111101,3,0.006666666666666667,2,1.0,3
1000000,3,0.006666666666666667,0,1.0,3
1001000,3,0.006666666666666667,0,1.0,3
0100110,3,0.006666666666666667,1,1.0,2
0101110,3,0.006666666666666667,1,1.0,2
1101010,3,0.006666666666666667,0,1.0,1
0010001,2,0.0044444444444444444,0,1.0,2
0011010,2,0.0044444444444444444,0,1.0,2
0101010,2,0.0044444444444444444,0,1.0,2
0101111,2,0.0044444444444444444,1,1.0,2
0110101,2,0.0044444444444444444,1,1.0,2
0111100,2,0.0044444444444444444,2,1.0,2
1000001,2,0.0044444444444444444,0,1.0,2
1000111,2,0.0044444444444444444,1,1.0,2
1001101,2,0.0044444444444444444,2,1.0,2
1010001,2,0.0044444444444444444,0,1.0,2
1010010,2,0.0044444444444444444,0,1.0,2
0011101,2,0.0044444444444444444,2,1.0,1
0100101,2,0.0044444444444444444,1,1.0,1
1001100,2,0.0044444444444444444,2,1.0,1
1010000,2,0.0044444444444444444,0,1.0,1
1100000,2,0.0044444444444444444,0,1.0,1
1110001,2,0.0044444444444444444,0,1.0,1
0000011,1,0.0022222222222222222,0,1.0,1
0000101,1,0.0022222222222222222,1,1.0,1
0000110,1,0.0022222222222222222,1,1.0,1
0001000,1,0.0022222222222222222,0,1.0,1
0001001,1,0.0022222222222222222,0,1.0,1
0001100,1,0.0022222222222222222,1,1.0,1
0010101,1,0.0022222222222222222,1,1.0,1
0011001,1,0.0022222222222222222,0,1.0,1
0100001,1,0.0022222222222222222,0,1.0,1
0100010,1,0.0022222222222222222,0,1.0,1
0101000,1,0.0022222222222222222,0,1.0,1
0101001,1,0.0022222222222222222,0,1.0,1
0101100,1,0.0022222222222222222,2,1.0,1
0101101,1,0.0022222222222222222,1,1.0,1
1000110,1,0.0022222222222222222,1,1.0,1
1001001,1,0.0022222222222222222,0,1.0,1
1010111,1,0.0022222222222222222,1,1.0,1
1011001,1,0.0022222222222222222,0,1.0,1
1011010,1,0.0022222222222222222,0,1.0,1
1100001,1,0.0022222222222222222,0,1.0,1
1100010,1,0.0022222222222222222,0,1.0,1
1101001,1,0.0022222222222222222,0,1.0,1
1101100,1,0.0022222222222222222,2,1.0,1
1110101,1,0.0022222222222222222,2,1.0,1
1110110,1,0.0022222222222222222,2,1.0,1
1110111,1,0.0022222222222222222,2,1.0,1
1111011,1,0.0022222222222222222,2,1.0,1
