subject_id,metric,target,value,n
id01,prevalence,Q1,0.43902439024390244,41
id01,lag1_agreement,Q1,0.625,40
id01,lag1_auc,Q1,0.6186868686868687,40
id01,prevalence,Q2,0.5609756097560976,41
id01,lag1_agreement,Q2,0.525,40
id01,lag1_auc,Q2,0.5179028132992327,40
id01,prevalence,Q3,0.5853658536585366,41
id01,lag1_agreement,Q3,0.525,40
id01,lag1_auc,Q3,0.5104166666666667,40
id01,prevalence,S1,0.6341463414634146,41
id01,lag1_agreement,S1,0.575,40
id01,lag1_auc,S1,0.5412087912087913,40
id01,prevalence,S2,0.5853658536585366,41
id01,lag1_agreement,S2,0.375,40
id01,lag1_auc,S2,0.35416666666666663,40
id01,prevalence,S3,0.8536585365853658,41
id01,lag1_agreement,S3,0.75,40
id01,lag1_auc,S3,0.5098039215686274,40
id01,prevalence,S4,0.4878048780487805,41
id01,lag1_agreement,S4,0.475,40
id01,lag1_auc,S4,0.475,40
id01,pair_corr,Q1-Q2,-0.009661835748792284,41
id01,pair_corr,Q1-Q3,-0.05352940656009679,41
id01,pair_corr,Q1-S1,0.4678701898547164,41
id01,pair_corr,Q1-S2,0.2457486392077173,41
id01,pair_corr,Q1-S3,-0.18992328309651188,41
id01,pair_corr,Q1-S4,0.41487884212887105,41
id01,pair_corr,Q2-Q3,0.35280745232791105,41
id01,pair_corr,Q2-S1,0.042307410784735024,41
id01,pair_corr,Q2-S2,0.15328875514936818,41
id01,pair_corr,Q2-S3,0.05087230797228004,41
id01,pair_corr,Q2-S4,-0.11990717980603213,41
id01,pair_corr,Q3-S1,0.0802209116794916,41
id01,pair_corr,Q3-S2,-0.20588235294117643,41
id01,pair_corr,Q3-S3,-0.06832667180756571,41
id01,pair_corr,Q3-S4,-0.1690998853986308,41
id01,pair_corr,S1-S2,0.18300395476884024,41
id01,pair_corr,S1-S3,-0.027954262312584507,41
id01,pair_corr,S1-S4,0.3360330235530326,41
id01,pair_corr,S2-S3,0.21181268260345354,41
id01,pair_corr,S2-S4,0.6232538633263819,41
id01,pair_corr,S3-S4,-0.010101525445521994,41
id01,contradiction_rate,S2_0_S3orS4_1,0.34146341463414637,41
id01,contradiction_rate,Q2_Q3_conflict,0.3170731707317073,41
id01,contradiction_rate,S1_1_S2_0_S3_1,0.17073170731707318,41
id02,prevalence,Q1,0.5416666666666666,48
id02,lag1_agreement,Q1,0.5106382978723404,47
id02,lag1_auc,Q1,0.5073260073260073,47
id02,prevalence,Q2,0.6666666666666666,48
id02,lag1_agreement,Q2,0.7021276595744681,47
id02,lag1_auc,Q2,0.6683467741935484,47
id02,prevalence,Q3,0.7291666666666666,48
id02,lag1_agreement,Q3,0.7446808510638298,47
id02,lag1_auc,Q3,0.6809954751131222,47
id02,prevalence,S1,0.875,48
id02,lag1_agreement,S1,0.7659574468085106,47
id02,lag1_auc,S1,0.42857142857142855,47
id02,prevalence,S2,0.9166666666666666,48
id02,lag1_agreement,S2,0.851063829787234,47
id02,lag1_auc,S2,0.45454545454545453,47
id02,prevalence,S3,0.8958333333333334,48
id02,lag1_agreement,S3,0.8297872340425532,47
id02,lag1_auc,S3,0.5523809523809524,47
id02,prevalence,S4,0.75,48
id02,lag1_agreement,S4,0.6170212765957447,47
id02,lag1_auc,S4,0.4659090909090909,47
id02,pair_corr,Q1-Q2,0.4139186771923579,48
id02,pair_corr,Q1-Q3,0.3802752120726898,48
id02,pair_corr,Q1-S1,0.41089070180665904,48
id02,pair_corr,Q1-S2,0.32777738867854445,48
id02,pair_corr,Q1-S3,0.096953093932882,48
id02,pair_corr,Q1-S4,0.1448413648755804,48
id02,pair_corr,Q2-Q3,0.662993544131796,48
id02,pair_corr,Q2-S1,0.1336306209562122,48
id02,pair_corr,Q2-S2,-0.05330017908890263,48
id02,pair_corr,Q2-S3,-0.09644856443408242,48
id02,pair_corr,Q2-S4,5.099024833164445e-17,48
id02,pair_corr,Q3-S1,0.05315774339537512,48
