target,edge,coef,auc,ll_improve_vs_base,ll_improve_vs_subject_only,ll_improve_vs_own_lag,n
Q1,ALL_LAGS,,0.6535767418794942,0.03842672420536397,0.002802155214162827,-0.005366297944058185,440
Q1,Q1_lag_to_Q1,0.36780920189758853,,,,,440
Q1,Q2_lag_to_Q1,-0.15236906675840795,,,,,440
Q1,Q3_lag_to_Q1,-0.0315732897866595,,,,,440
Q1,S1_lag_to_Q1,-0.0081057303988502,,,,,440
Q1,S2_lag_to_Q1,0.07215129524525347,,,,,440
Q1,S3_lag_to_Q1,-0.15012858483731734,,,,,440
Q1,S4_lag_to_Q1,-0.10531072279996623,,,,,440
Q2,ALL_LAGS,,0.6829833651486228,0.04191875703028791,0.027901692084892682,-0.00023241397539897068,440
Q2,Q1_lag_to_Q2,0.3136651110271829,,,,,440
Q2,Q2_lag_to_Q2,0.4667589691291235,,,,,440
Q2,Q3_lag_to_Q2,0.0929687795982305,,,,,440
Q2,S1_lag_to_Q2,0.20099522685547003,,,,,440
Q2,S2_lag_to_Q2,-0.060107492108440894,,,,,440
Q2,S3_lag_to_Q2,0.029854138719979918,,,,,440
Q2,S4_lag_to_Q2,0.02125912206720768,,,,,440
Q3,ALL_LAGS,,0.6910943396226414,0.03517166001633387,0.040901178080444134,0.013002576675810618,440
Q3,Q1_lag_to_Q3,0.4537831706312212,,,,,440
Q3,Q2_lag_to_Q3,0.0030471024670605863,,,,,440
Q3,Q3_lag_to_Q3,0.48488706695266987,,,,,440
Q3,S1_lag_to_Q3,0.08401349068864612,,,,,440
Q3,S2_lag_to_Q3,-0.08920678279109866,,,,,440
Q3,S3_lag_to_Q3,-0.037306122311696874,,,,,440
Q3,S4_lag_to_Q3,-0.17237160026206527,,,,,440
S1,ALL_LAGS,,0.6578606392168154,-0.02746213222364413,-0.013012293559165777,-0.013299330124542763,440
S1,Q1_lag_to_S1,0.13722083037234142,,,,,440
S1,Q2_lag_to_S1,-0.17104893764162105,,,,,440
S1,Q3_lag_to_S1,0.036421586370843285,,,,,440
S1,S1_lag_to_S1,0.16152458320469798,,,,,440
S1,S2_lag_to_S1,0.042162353405469866,,,,,440
S1,S3_lag_to_S1,-0.03828365329456314,,,,,440
S1,S4_lag_to_S1,-0.002816343261579578,,,,,440
S2,ALL_LAGS,,0.6961662732876556,0.016241125650101385,-0.011780330020147778,-0.008337116751888196,440
S2,Q1_lag_to_S2,-0.041606374743859836,,,,,440
S2,Q2_lag_to_S2,-0.07084206359818626,,,,,440
S2,Q3_lag_to_S2,0.086652600395669,,,,,440
S2,S1_lag_to_S2,0.24400645052186992,,,,,440
S2,S2_lag_to_S2,-0.013163006081440368,,,,,440
S2,S3_lag_to_S2,0.04412686427677552,,,,,440
S2,S4_lag_to_S2,0.07620997884073893,,,,,440
S3,ALL_LAGS,,0.7519437245464643,0.05441081431534622,-0.006524531480952334,-0.0018860421501752933,440
S3,Q1_lag_to_S3,-0.20976057261556186,,,,,440
S3,Q2_lag_to_S3,-0.09914427139994592,,,,,440
S3,Q3_lag_to_S3,0.0392692094823263,,,,,440
S3,S1_lag_to_S3,0.1784835938667553,,,,,440
S3,S2_lag_to_S3,-0.16242964435119833,,,,,440
S3,S3_lag_to_S3,0.17994642013225093,,,,,440
S3,S4_lag_to_S3,0.06815659273378846,,,,,440
S4,ALL_LAGS,,0.6138272849462365,0.016439271628671093,-0.0161783916813113,-0.014713886407012433,440
S4,Q1_lag_to_S4,0.01325977941917118,,,,,440
S4,Q2_lag_to_S4,0.04235996062054335,,,,,440
S4,Q3_lag_to_S4,0.08462983067013616,,,,,440
S4,S1_lag_to_S4,0.0352731609218152,,,,,440
S4,S2_lag_to_S4,-0.03417158479091767,,,,,440
S4,S3_lag_to_S4,0.01856505791679515,,,,,440
S4,S4_lag_to_S4,0.18711409495583622,,,,,440
