family,fold,target,feature
chrono_tail,chrono_tail_last_20,Q1,anchor_logit
chrono_tail,chrono_tail_last_20,Q1,anchor_p
chrono_tail,chrono_tail_last_20,Q1,near_Q1_mean
chrono_tail,chrono_tail_last_20,Q1,past_Q1_mean
chrono_tail,chrono_tail_last_20,Q1,future_Q1_mean
chrono_tail,chrono_tail_last_20,Q1,future_Q2_mean
chrono_tail,chrono_tail_last_20,Q1,near_Q3_mean
chrono_tail,chrono_tail_last_20,Q1,future_Q3_mean
chrono_tail,chrono_tail_last_20,Q1,near_S1_mean
chrono_tail,chrono_tail_last_20,Q1,future_S3_mean
chrono_tail,chrono_tail_last_20,Q1,ble_deviceclass_1044_count__subj_delta
chrono_tail,chrono_tail_last_20,Q1,cn_h32_screen__subj_delta
chrono_tail,chrono_tail_last_20,Q1,cn_h32_screen__subj_z
chrono_tail,chrono_tail_last_20,Q1,gps_count__weekday_vs_subject_mean
chrono_tail,chrono_tail_last_20,Q1,gps_count__weekday_vs_subject_mean__subj_delta
chrono_tail,chrono_tail_last_20,Q1,late_activity_last_hour__dev_weekday_mean
chrono_tail,chrono_tail_last_20,Q1,late_activity_last_hour__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_20,Q1,late_activity_last_hour__dev_weekday_mean__subj_z
chrono_tail,chrono_tail_last_20,Q1,late_activity_last_hour__subj_z
chrono_tail,chrono_tail_last_20,Q1,q1x_morning_screen_active_hours__subj_delta
chrono_tail,chrono_tail_last_20,Q1,q1x_morning_screen_active_hours__subj_z
chrono_tail,chrono_tail_last_20,Q1,q3x_day_app_media_sum__subj_delta
chrono_tail,chrono_tail_last_20,Q1,s4x_cross_screenoff_longest_h
chrono_tail,chrono_tail_last_20,Q1,s4x_cross_screenoff_longest_h__subj_delta
chrono_tail,chrono_tail_last_20,Q1,s4x_cross_screenoff_longest_h__subj_z
chrono_tail,chrono_tail_last_20,Q1,state_2_ratio__dev_weekday_mean
chrono_tail,chrono_tail_last_20,Q1,state_2_ratio__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_20,Q1,state_2_ratio__dev_weekday_mean__subj_z
chrono_tail,chrono_tail_last_20,Q1,topapp_00_06_anyauth_time__subj_delta
chrono_tail,chrono_tail_last_20,Q1,topapp_00_06_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,Q1,topapp_00_06_teams_time__subj_delta
chrono_tail,chrono_tail_last_20,Q1,topapp_00_06_시프티_time__subj_delta
chrono_tail,chrono_tail_last_20,Q1,topapp_21_03_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,Q1,topapp_all_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,Q1,topapp_evening_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,Q2,anchor_logit
chrono_tail,chrono_tail_last_20,Q2,anchor_p
chrono_tail,chrono_tail_last_20,Q2,past_Q1_mean
chrono_tail,chrono_tail_last_20,Q2,near_Q2_mean
chrono_tail,chrono_tail_last_20,Q2,past_Q2_mean
chrono_tail,chrono_tail_last_20,Q2,future_Q2_mean
chrono_tail,chrono_tail_last_20,Q2,near_Q3_mean
chrono_tail,chrono_tail_last_20,Q2,app_hourly_unique_max__subj_delta
chrono_tail,chrono_tail_last_20,Q2,app_top_time__prev_abs_delta
chrono_tail,chrono_tail_last_20,Q2,ble_deviceclass_1796_count__subj_delta
chrono_tail,chrono_tail_last_20,Q2,bright_interrupt_hours__dev_weekday_mean
chrono_tail,chrono_tail_last_20,Q2,bright_interrupt_hours__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_20,Q2,h20_activity_mean_h__subj_z
chrono_tail,chrono_tail_last_20,Q2,longest_quiet_run_h__prev_abs_delta__subj_delta
chrono_tail,chrono_tail_last_20,Q2,q3x_late21_24_app_media_sum__subj_delta
chrono_tail,chrono_tail_last_20,Q2,q3x_late21_24_app_media_sum__subj_z
chrono_tail,chrono_tail_last_20,Q2,qpatch_late_app_time_slope__subj_delta
chrono_tail,chrono_tail_last_20,Q2,qpatch_late_app_time_slope__subj_z
chrono_tail,chrono_tail_last_20,Q2,s4x_dark_fragmentation__subj_z
chrono_tail,chrono_tail_last_20,Q2,sleepwin_wlight_mean__dev_roll7__subj_z
chrono_tail,chrono_tail_last_20,Q2,state_4_ratio__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_20,Q2,topapp_00_06_anyauth_time__subj_delta
chrono_tail,chrono_tail_last_20,Q2,topapp_00_06_teams_time__subj_delta
chrono_tail,chrono_tail_last_20,Q2,topapp_00_06_시프티_time__subj_delta
chrono_tail,chrono_tail_last_20,Q2,topapp_21_03_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,Q2,topapp_all_google_time__subj_delta
chrono_tail,chrono_tail_last_20,Q2,topapp_all_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,Q2,topapp_all_배달의민족_time__subj_delta
chrono_tail,chrono_tail_last_20,Q2,topapp_all_배달의민족_time__subj_z
chrono_tail,chrono_tail_last_20,Q2,topapp_evening_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,Q2,wifi_rssi_max__dev_roll7__subj_z
chrono_tail,chrono_tail_last_20,Q2,wifi_rssi_max__dev_weekday_mean
chrono_tail,chrono_tail_last_20,Q2,wifi_rssi_max__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_20,Q2,wifi_rssi_max__subj_delta
chrono_tail,chrono_tail_last_20,Q2,wlight_mean_21_03__dev_roll7__subj_z
chrono_tail,chrono_tail_last_20,Q3,anchor_logit
chrono_tail,chrono_tail_last_20,Q3,anchor_p
chrono_tail,chrono_tail_last_20,Q3,near_Q1_mean
chrono_tail,chrono_tail_last_20,Q3,past_Q1_mean
chrono_tail,chrono_tail_last_20,Q3,near_Q2_mean
chrono_tail,chrono_tail_last_20,Q3,near_Q3_mean
chrono_tail,chrono_tail_last_20,Q3,past_Q3_mean
chrono_tail,chrono_tail_last_20,Q3,future_Q3_mean
chrono_tail,chrono_tail_last_20,Q3,activity_n__prev_abs_delta
chrono_tail,chrono_tail_last_20,Q3,activity_n__prev_abs_delta__subj_delta
chrono_tail,chrono_tail_last_20,Q3,activity_sum_21_03__prev_abs_delta
chrono_tail,chrono_tail_last_20,Q3,activity_sum_21_03__prev_abs_delta__subj_delta
chrono_tail,chrono_tail_last_20,Q3,activity_sum_21_03__prev_abs_delta__subj_z
chrono_tail,chrono_tail_last_20,Q3,activity_sum_21_03__weekday_vs_subject_mean
chrono_tail,chrono_tail_last_20,Q3,activity_sum_21_03__weekday_vs_subject_mean__subj_delta
chrono_tail,chrono_tail_last_20,Q3,ble_deviceclass_1048_count__subj_delta
chrono_tail,chrono_tail_last_20,Q3,cn_h20_activity__subj_delta
chrono_tail,chrono_tail_last_20,Q3,cn_h20_activity__subj_z
chrono_tail,chrono_tail_last_20,Q3,cn_h21_activity__subj_delta
chrono_tail,chrono_tail_last_20,Q3,day_h20_activity__subj_delta
chrono_tail,chrono_tail_last_20,Q3,day_h20_activity__subj_z
chrono_tail,chrono_tail_last_20,Q3,day_h21_activity__subj_delta
chrono_tail,chrono_tail_last_20,Q3,h08_screen_n_h__subj_delta
chrono_tail,chrono_tail_last_20,Q3,h08_screen_n_h__subj_z
chrono_tail,chrono_tail_last_20,Q3,longest_quiet_run_h__prev_abs_delta
chrono_tail,chrono_tail_last_20,Q3,q3x_day_app_media_sum__subj_delta
chrono_tail,chrono_tail_last_20,Q3,screen_n__prev_abs_delta
chrono_tail,chrono_tail_last_20,Q3,screen_n__prev_abs_delta__subj_delta
chrono_tail,chrono_tail_last_20,Q3,state_4_ratio__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_20,Q3,topapp_00_06_discord_time__subj_delta
chrono_tail,chrono_tail_last_20,Q3,topapp_21_03_카메라_time__subj_z
chrono_tail,chrono_tail_last_20,Q3,topapp_all_youtube_music_time__subj_delta
chrono_tail,chrono_tail_last_20,Q3,topapp_all_youtube_time__subj_delta
chrono_tail,chrono_tail_last_20,Q3,topapp_evening_토스_time__subj_delta
chrono_tail,chrono_tail_last_20,Q3,wifi_records_21_03__prev_abs_delta
chrono_tail,chrono_tail_last_20,S4,anchor_logit
chrono_tail,chrono_tail_last_20,S4,anchor_p
chrono_tail,chrono_tail_last_20,S4,near_S2_mean
chrono_tail,chrono_tail_last_20,S4,near_S4_mean
chrono_tail,chrono_tail_last_20,S4,future_S4_mean
chrono_tail,chrono_tail_last_20,S4,amb_outside_prob_21_03__dev_roll7__subj_z
chrono_tail,chrono_tail_last_20,S4,app_media_time__dev_roll3
chrono_tail,chrono_tail_last_20,S4,app_media_time__dev_roll3__subj_delta
chrono_tail,chrono_tail_last_20,S4,ble_deviceclass_1044_count__subj_delta
chrono_tail,chrono_tail_last_20,S4,ble_rssi_mean__prev_abs_delta
chrono_tail,chrono_tail_last_20,S4,bright_interrupt_hours__dev_roll7__subj_z
chrono_tail,chrono_tail_last_20,S4,cn_h35_screen__subj_z
chrono_tail,chrono_tail_last_20,S4,h07_screen_n_h__subj_z
chrono_tail,chrono_tail_last_20,S4,h13_pedo_n_h__subj_z
chrono_tail,chrono_tail_last_20,S4,pre_sleep_screen_sum_21_03__weekday_vs_subject_mean
chrono_tail,chrono_tail_last_20,S4,pre_sleep_screen_sum_21_03__weekday_vs_subject_mean__subj_delta
chrono_tail,chrono_tail_last_20,S4,screen_use_21_03__weekday_vs_subject_mean
chrono_tail,chrono_tail_last_20,S4,screen_use_21_03__weekday_vs_subject_mean__subj_delta
chrono_tail,chrono_tail_last_20,S4,screen_use_21_03__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_20,S4,state_entropy__dev_weekday_mean
chrono_tail,chrono_tail_last_20,S4,state_entropy__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_00_06_anyauth_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_00_06_google_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_00_06_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_00_06_teams_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_00_06_시프티_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_00_06_카카오뱅크_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_21_03_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_21_03_카카오뱅크_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_all_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_evening_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_evening_시계_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,topapp_evening_시계_time__subj_z
chrono_tail,chrono_tail_last_20,S4,topapp_evening_카카오뱅크_time__subj_delta
chrono_tail,chrono_tail_last_20,S4,wifi_records__prev_abs_delta
chrono_tail,chrono_tail_last_25,Q1,anchor_logit
chrono_tail,chrono_tail_last_25,Q1,anchor_p
chrono_tail,chrono_tail_last_25,Q1,near_Q1_mean
chrono_tail,chrono_tail_last_25,Q1,past_Q1_mean
chrono_tail,chrono_tail_last_25,Q1,future_Q1_mean
chrono_tail,chrono_tail_last_25,Q1,future_Q2_mean
chrono_tail,chrono_tail_last_25,Q1,near_Q3_mean
chrono_tail,chrono_tail_last_25,Q1,future_Q3_mean
chrono_tail,chrono_tail_last_25,Q1,near_S1_mean
chrono_tail,chrono_tail_last_25,Q1,future_S3_mean
chrono_tail,chrono_tail_last_25,Q1,ble_deviceclass_1044_count__subj_delta
chrono_tail,chrono_tail_last_25,Q1,ble_deviceclass_2324_count__subj_delta
chrono_tail,chrono_tail_last_25,Q1,cn_h29_distance__subj_delta
chrono_tail,chrono_tail_last_25,Q1,cn_h29_speed__subj_delta
chrono_tail,chrono_tail_last_25,Q1,cn_h29_speed__subj_z
chrono_tail,chrono_tail_last_25,Q1,cn_h29_steps__subj_delta
chrono_tail,chrono_tail_last_25,Q1,cn_h32_activity_max__subj_z
chrono_tail,chrono_tail_last_25,Q1,cn_h32_screen__subj_delta
chrono_tail,chrono_tail_last_25,Q1,gps_count__weekday_vs_subject_mean__subj_delta
chrono_tail,chrono_tail_last_25,Q1,late_activity_last_hour__dev_weekday_mean
chrono_tail,chrono_tail_last_25,Q1,late_activity_last_hour__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_25,Q1,late_activity_last_hour__dev_weekday_mean__subj_z
chrono_tail,chrono_tail_last_25,Q1,late_activity_last_hour__subj_delta
chrono_tail,chrono_tail_last_25,Q1,late_activity_last_hour__subj_z
chrono_tail,chrono_tail_last_25,Q1,q1x_morning_screen_active_hours__subj_z
chrono_tail,chrono_tail_last_25,Q1,s4x_cross_screenoff_longest_h
chrono_tail,chrono_tail_last_25,Q1,s4x_cross_screenoff_longest_h__subj_delta
chrono_tail,chrono_tail_last_25,Q1,s4x_cross_screenoff_longest_h__subj_z
chrono_tail,chrono_tail_last_25,Q1,topapp_00_06_anyauth_time__subj_delta
chrono_tail,chrono_tail_last_25,Q1,topapp_00_06_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_25,Q1,topapp_00_06_teams_time__subj_delta
chrono_tail,chrono_tail_last_25,Q1,topapp_00_06_시프티_time__subj_delta
chrono_tail,chrono_tail_last_25,Q1,topapp_21_03_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_25,Q1,topapp_all_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_25,Q1,topapp_evening_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_25,Q2,anchor_logit
chrono_tail,chrono_tail_last_25,Q2,anchor_p
chrono_tail,chrono_tail_last_25,Q2,past_Q1_mean
chrono_tail,chrono_tail_last_25,Q2,near_Q2_mean
chrono_tail,chrono_tail_last_25,Q2,past_Q2_mean
chrono_tail,chrono_tail_last_25,Q2,future_Q2_mean
chrono_tail,chrono_tail_last_25,Q2,near_Q3_mean
chrono_tail,chrono_tail_last_25,Q2,app_hourly_unique_max__subj_delta
chrono_tail,chrono_tail_last_25,Q2,ble_deviceclass_1796_count__subj_delta
chrono_tail,chrono_tail_last_25,Q2,bright_interrupt_hours__dev_roll7
chrono_tail,chrono_tail_last_25,Q2,bright_interrupt_hours__dev_roll7__subj_delta
chrono_tail,chrono_tail_last_25,Q2,bright_interrupt_hours__dev_weekday_mean
chrono_tail,chrono_tail_last_25,Q2,bright_interrupt_hours__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_25,Q2,distance_sum__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_25,Q2,h20_activity_mean_h__subj_z
chrono_tail,chrono_tail_last_25,Q2,longest_quiet_run_h__prev_abs_delta__subj_delta
chrono_tail,chrono_tail_last_25,Q2,q3x_late21_24_app_media_sum__subj_z
chrono_tail,chrono_tail_last_25,Q2,qpatch_late_app_time_slope__subj_z
chrono_tail,chrono_tail_last_25,Q2,s4x_dark_fragmentation__subj_z
chrono_tail,chrono_tail_last_25,Q2,sleepwin_wlight_mean__dev_roll3__subj_z
chrono_tail,chrono_tail_last_25,Q2,sleepwin_wlight_mean__dev_roll7__subj_z
chrono_tail,chrono_tail_last_25,Q2,state_4_ratio__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_25,Q2,steps_sum__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_25,Q2,topapp_all_google_time__subj_delta
chrono_tail,chrono_tail_last_25,Q2,topapp_all_배달의민족_time__subj_delta
chrono_tail,chrono_tail_last_25,Q2,topapp_all_배달의민족_time__subj_z
chrono_tail,chrono_tail_last_25,Q2,topapp_all_카카오버스_time__subj_delta
chrono_tail,chrono_tail_last_25,Q2,wifi_rssi_max__dev_roll3__subj_z
chrono_tail,chrono_tail_last_25,Q2,wifi_rssi_max__dev_roll7__subj_delta
chrono_tail,chrono_tail_last_25,Q2,wifi_rssi_max__dev_roll7__subj_z
chrono_tail,chrono_tail_last_25,Q2,wifi_rssi_max__dev_weekday_mean
chrono_tail,chrono_tail_last_25,Q2,wifi_rssi_max__dev_weekday_mean__subj_delta
chrono_tail,chrono_tail_last_25,Q2,wifi_rssi_max__subj_delta
chrono_tail,chrono_tail_last_25,Q2,wifi_rssi_max__subj_z
chrono_tail,chrono_tail_last_25,Q2,wifi_unique_bssid__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_25,Q3,anchor_logit
chrono_tail,chrono_tail_last_25,Q3,anchor_p
chrono_tail,chrono_tail_last_25,Q3,near_Q1_mean
chrono_tail,chrono_tail_last_25,Q3,past_Q1_mean
chrono_tail,chrono_tail_last_25,Q3,near_Q2_mean
chrono_tail,chrono_tail_last_25,Q3,near_Q3_mean
chrono_tail,chrono_tail_last_25,Q3,past_Q3_mean
chrono_tail,chrono_tail_last_25,Q3,future_Q3_mean
chrono_tail,chrono_tail_last_25,Q3,activity_n__prev_abs_delta
chrono_tail,chrono_tail_last_25,Q3,activity_n__prev_abs_delta__subj_delta
chrono_tail,chrono_tail_last_25,Q3,activity_sum_21_03__prev_abs_delta
chrono_tail,chrono_tail_last_25,Q3,activity_sum_21_03__prev_abs_delta__subj_delta
chrono_tail,chrono_tail_last_25,Q3,activity_sum_21_03__prev_abs_delta__subj_z
chrono_tail,chrono_tail_last_25,Q3,ble_deviceclass_1048_count__subj_delta
chrono_tail,chrono_tail_last_25,Q3,cn_h20_activity__subj_delta
chrono_tail,chrono_tail_last_25,Q3,cn_h20_activity__subj_z
chrono_tail,chrono_tail_last_25,Q3,cn_h20_activity_max__subj_delta
chrono_tail,chrono_tail_last_25,Q3,cn_h20_activity_max__subj_z
chrono_tail,chrono_tail_last_25,Q3,day_h20_activity__subj_delta
chrono_tail,chrono_tail_last_25,Q3,day_h20_activity__subj_z
chrono_tail,chrono_tail_last_25,Q3,h08_screen_n_h__subj_delta
chrono_tail,chrono_tail_last_25,Q3,h20_activity_mean_h__subj_z
chrono_tail,chrono_tail_last_25,Q3,last_screen_hour_any__dev_weekday_mean__subj_z
chrono_tail,chrono_tail_last_25,Q3,longest_quiet_run_h__prev_abs_delta
chrono_tail,chrono_tail_last_25,Q3,q2x_late_screen_sum_maxh__subj_z
chrono_tail,chrono_tail_last_25,Q3,q3x_day_app_media_sum__subj_delta
chrono_tail,chrono_tail_last_25,Q3,qpatch_late_screen_zmax__subj_z
chrono_tail,chrono_tail_last_25,Q3,screen_n__prev_abs_delta
chrono_tail,chrono_tail_last_25,Q3,screen_n__prev_abs_delta__subj_delta
chrono_tail,chrono_tail_last_25,Q3,state_4_ratio__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_25,Q3,topapp_00_06_discord_time__subj_delta
chrono_tail,chrono_tail_last_25,Q3,topapp_21_03_카메라_time__subj_z
chrono_tail,chrono_tail_last_25,Q3,topapp_all_youtube_music_time__subj_delta
chrono_tail,chrono_tail_last_25,Q3,topapp_all_youtube_time__subj_delta
chrono_tail,chrono_tail_last_25,Q3,wifi_records_21_03__prev_abs_delta
chrono_tail,chrono_tail_last_25,S4,anchor_logit
chrono_tail,chrono_tail_last_25,S4,anchor_p
chrono_tail,chrono_tail_last_25,S4,near_S2_mean
chrono_tail,chrono_tail_last_25,S4,near_S3_mean
chrono_tail,chrono_tail_last_25,S4,future_S3_mean
chrono_tail,chrono_tail_last_25,S4,near_S4_mean
chrono_tail,chrono_tail_last_25,S4,amb_outside_prob_21_03__dev_roll7__subj_z
chrono_tail,chrono_tail_last_25,S4,app_media_time__dev_roll3
chrono_tail,chrono_tail_last_25,S4,app_media_time__dev_roll3__subj_delta
chrono_tail,chrono_tail_last_25,S4,app_top_share__dev_roll3
chrono_tail,chrono_tail_last_25,S4,app_top_share__dev_roll3__subj_delta
chrono_tail,chrono_tail_last_25,S4,app_unique_count__weekday_vs_subject_mean
chrono_tail,chrono_tail_last_25,S4,app_unique_count__weekday_vs_subject_mean__subj_delta
chrono_tail,chrono_tail_last_25,S4,ble_deviceclass_1044_count__subj_delta
chrono_tail,chrono_tail_last_25,S4,ble_rssi_mean__prev_abs_delta
chrono_tail,chrono_tail_last_25,S4,cn_h35_screen__subj_z
chrono_tail,chrono_tail_last_25,S4,h06_activity_n_h__subj_z
chrono_tail,chrono_tail_last_25,S4,h07_screen_n_h__subj_z
chrono_tail,chrono_tail_last_25,S4,h13_pedo_n_h__subj_z
chrono_tail,chrono_tail_last_25,S4,topapp_00_06_android_auto_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_00_06_anyauth_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_00_06_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_00_06_teams_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_00_06_trip_com_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_00_06_시프티_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_00_06_카카오뱅크_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_21_03_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_21_03_trip_com_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_21_03_카카오뱅크_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_all_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_evening_live스코어_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_evening_시계_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,topapp_evening_시계_time__subj_z
chrono_tail,chrono_tail_last_25,S4,topapp_evening_카카오뱅크_time__subj_delta
chrono_tail,chrono_tail_last_25,S4,wifi_records__prev_abs_delta
chrono_tail,chrono_tail_last_30,Q1,anchor_logit
chrono_tail,chrono_tail_last_30,Q1,anchor_p
chrono_tail,chrono_tail_last_30,Q1,near_Q1_mean
chrono_tail,chrono_tail_last_30,Q1,past_Q1_mean
chrono_tail,chrono_tail_last_30,Q1,future_Q1_mean
chrono_tail,chrono_tail_last_30,Q1,future_Q2_mean
chrono_tail,chrono_tail_last_30,Q1,near_Q3_mean
chrono_tail,chrono_tail_last_30,Q1,future_Q3_mean
chrono_tail,chrono_tail_last_30,Q1,near_S1_mean
chrono_tail,chrono_tail_last_30,Q1,future_S3_mean
chrono_tail,chrono_tail_last_30,Q1,amb_inside_prob__weekday_vs_subject_mean__subj_z
chrono_tail,chrono_tail_last_30,Q1,app_active_hours__subj_delta
chrono_tail,chrono_tail_last_30,Q1,ble_deviceclass_1044_count__subj_delta
chrono_tail,chrono_tail_last_30,Q1,ble_deviceclass_2324_count__subj_delta
chrono_tail,chrono_tail_last_30,Q1,cn_h29_distance__subj_delta
chrono_tail,chrono_tail_last_30,Q1,cn_h29_steps__subj_delta
