subject_id,variable,same_next_rate
id01,latent_state,0.25
id01,Q1,0.625
id01,Q2,0.525
id01,Q3,0.525
id01,S1,0.575
id01,S2,0.375
id01,S3,0.75
id01,S4,0.475
id02,latent_state,0.46808510638297873
id02,Q1,0.5106382978723404
id02,Q2,0.7021276595744681
id02,Q3,0.7446808510638298
id02,S1,0.7659574468085106
id02,S2,0.851063829787234
id02,S3,0.8297872340425532
id02,S4,0.6170212765957447
id03,latent_state,0.40625
id03,Q1,0.8125
id03,Q2,0.71875
id03,Q3,0.65625
id03,S1,0.71875
id03,S2,0.4375
id03,S3,0.375
id03,S4,0.71875
id04,latent_state,0.3392857142857143
id04,Q1,0.6607142857142857
id04,Q2,0.6428571428571429
id04,Q3,0.6785714285714286
id04,S1,0.7321428571428571
id04,S2,0.5535714285714286
id04,S3,0.5892857142857143
id04,S4,0.5892857142857143
id05,latent_state,0.627906976744186
id05,Q1,0.6046511627906976
id05,Q2,0.627906976744186
id05,Q3,0.627906976744186
id05,S1,0.5116279069767442
id05,S2,0.627906976744186
id05,S3,0.7209302325581395
id05,S4,0.5581395348837209
id06,latent_state,0.7021276595744681
id06,Q1,0.7872340425531915
id06,Q2,0.7659574468085106
id06,Q3,0.8085106382978723
id06,S1,0.8723404255319149
id06,S2,0.8936170212765957
id06,S3,0.9361702127659575
id06,S4,0.7446808510638298
id07,latent_state,0.5833333333333334
id07,Q1,0.5833333333333334
id07,Q2,0.4791666666666667
id07,Q3,0.5416666666666666
id07,S1,0.6666666666666666
id07,S2,0.7291666666666666
id07,S3,0.6875
id07,S4,0.5416666666666666
id08,latent_state,0.3090909090909091
id08,Q1,0.5454545454545454
id08,Q2,0.7272727272727273
id08,Q3,0.6727272727272727
id08,S1,0.5818181818181818
id08,S2,0.4909090909090909
id08,S3,0.5454545454545454
id08,S4,0.6545454545454545
id09,latent_state,0.55
id09,Q1,0.625
id09,Q2,0.825
id09,Q3,0.575
id09,S1,0.525
id09,S2,0.75
id09,S3,0.55
id09,S4,0.45
id10,latent_state,0.375
id10,Q1,0.4375
id10,Q2,0.53125
id10,Q3,0.65625
id10,S1,0.5
id10,S2,0.4375
id10,S3,0.46875
id10,S4,0.53125
