source,model,k,C,feature
existing_no_flat,raw_selectk,32,0.001,app_unique_count__subj_mean
existing_no_flat,raw_selectk,32,0.001,app_total_time__subj_mean
existing_no_flat,raw_selectk,32,0.001,app_study_work_time__subj_mean
existing_no_flat,raw_selectk,32,0.001,wifi_rssi_max
existing_no_flat,raw_selectk,32,0.001,wifi_rssi_max__subj_mean
existing_no_flat,raw_selectk,32,0.001,wifi_records_21_03
existing_no_flat,raw_selectk,32,0.001,ble_rssi_max__subj_mean
existing_no_flat,raw_selectk,32,0.001,amb_records__subj_mean
existing_no_flat,raw_selectk,32,0.001,amb_music_prob__subj_z
existing_no_flat,raw_selectk,32,0.001,amb_outside_prob_21_03__subj_z
existing_no_flat,raw_selectk,32,0.001,screenoff_run_start_hour__subj_mean
existing_no_flat,raw_selectk,32,0.001,late_activity_last_hour__subj_mean
existing_no_flat,raw_selectk,32,0.001,month
existing_no_flat,raw_selectk,32,0.001,month__subj_mean
existing_no_flat,raw_selectk,32,0.001,gap_to_next_day__subj_mean
existing_no_flat,raw_selectk,32,0.001,app_hourly_time_max__subj_mean
existing_no_flat,raw_selectk,32,0.001,app_hourly_time_std__subj_mean
existing_no_flat,raw_selectk,32,0.001,app_hourly_unique_max__subj_mean
existing_no_flat,raw_selectk,32,0.001,ble_deviceclass_1044_count__subj_mean
existing_no_flat,raw_selectk,32,0.001,ble_deviceclass_1044_count__subj_delta
existing_no_flat,raw_selectk,32,0.001,ble_deviceclass_524_count
existing_no_flat,raw_selectk,32,0.001,ble_deviceclass_524_count__subj_mean
existing_no_flat,raw_selectk,32,0.003,screen_n__subj_mean
existing_no_flat,raw_selectk,32,0.003,screen_use_mean__subj_mean
existing_no_flat,raw_selectk,32,0.003,speed_max__subj_mean
existing_no_flat,raw_selectk,32,0.003,mlight_max__subj_mean
existing_no_flat,raw_selectk,32,0.003,mlight_mean_morning__subj_mean
existing_no_flat,raw_selectk,32,0.003,wlight_max__subj_mean
existing_no_flat,raw_selectk,32,0.003,ac_n__subj_mean
existing_no_flat,raw_selectk,32,0.003,morning_mlight_mean__subj_mean
existing_no_flat,raw_selectk,32,0.003,state_5_ratio__subj_mean
existing_no_flat,raw_selectk,32,0.003,app_records__subj_mean
existing_no_flat,raw_selectk,32,0.003,app_unique_count__subj_mean
existing_no_flat,raw_selectk,32,0.003,app_total_time__subj_mean
existing_no_flat,raw_selectk,32,0.003,app_study_work_time__subj_mean
existing_no_flat,raw_selectk,32,0.003,wifi_rssi_max
existing_no_flat,raw_selectk,32,0.003,wifi_rssi_max__subj_mean
existing_no_flat,raw_selectk,32,0.003,wifi_records_21_03
existing_no_flat,raw_selectk,32,0.003,ble_rssi_max__subj_mean
existing_no_flat,raw_selectk,32,0.003,amb_records__subj_mean
existing_no_flat,raw_selectk,32,0.003,amb_music_prob__subj_z
existing_no_flat,raw_selectk,32,0.003,amb_outside_prob_21_03__subj_z
existing_no_flat,raw_selectk,32,0.003,screenoff_run_start_hour__subj_mean
existing_no_flat,raw_selectk,32,0.003,late_activity_last_hour__subj_mean
existing_no_flat,raw_selectk,32,0.003,month
existing_no_flat,raw_selectk,32,0.003,month__subj_mean
existing_no_flat,raw_selectk,32,0.003,gap_to_next_day__subj_mean
existing_no_flat,raw_selectk,32,0.003,app_hourly_time_max__subj_mean
existing_no_flat,raw_selectk,32,0.003,app_hourly_time_std__subj_mean
existing_no_flat,raw_selectk,32,0.003,app_hourly_unique_max__subj_mean
existing_no_flat,raw_selectk,32,0.003,ble_deviceclass_1044_count__subj_mean
existing_no_flat,raw_selectk,32,0.003,ble_deviceclass_1044_count__subj_delta
existing_no_flat,raw_selectk,32,0.003,ble_deviceclass_524_count
existing_no_flat,raw_selectk,32,0.003,ble_deviceclass_524_count__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,speed_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,mlight_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,app_unique_count__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,app_total_time__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,app_study_work_time__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,wifi_rssi_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,wifi_records_21_03
combo_existing_dayflat,raw_selectk,20,0.001,ble_rssi_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,screenoff_run_start_hour__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,month
combo_existing_dayflat,raw_selectk,20,0.001,month__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,app_hourly_time_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,app_hourly_time_std__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,app_hourly_unique_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,day_h7_screen__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,day_h8_screen__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,day_h17_activity__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,day_h20_screen__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,day_h20_activity__subj_mean
combo_existing_dayflat,raw_selectk,20,0.001,day_h21_screen__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,speed_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,mlight_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,app_unique_count__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,app_total_time__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,app_study_work_time__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,wifi_rssi_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,wifi_records_21_03
combo_existing_dayflat,raw_selectk,20,0.003,ble_rssi_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,screenoff_run_start_hour__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,month
combo_existing_dayflat,raw_selectk,20,0.003,month__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,app_hourly_time_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,app_hourly_time_std__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,app_hourly_unique_max__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,day_h7_screen__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,day_h8_screen__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,day_h17_activity__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,day_h20_screen__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,day_h20_activity__subj_mean
combo_existing_dayflat,raw_selectk,20,0.003,day_h21_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,screen_n__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,speed_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,mlight_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,mlight_mean_morning__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,wlight_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,ac_n__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,morning_mlight_mean__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,app_records__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,app_unique_count__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,app_total_time__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,app_study_work_time__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,wifi_rssi_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,wifi_records_21_03
combo_existing_dayflat,raw_selectk,32,0.001,ble_rssi_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,screenoff_run_start_hour__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,late_activity_last_hour__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,month
combo_existing_dayflat,raw_selectk,32,0.001,month__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,app_hourly_time_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,app_hourly_time_std__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,app_hourly_unique_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,ble_deviceclass_1044_count__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,ble_deviceclass_1044_count__subj_delta
combo_existing_dayflat,raw_selectk,32,0.001,ble_deviceclass_524_count
combo_existing_dayflat,raw_selectk,32,0.001,ble_deviceclass_524_count__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,day_h7_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,day_h8_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,day_h17_activity__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,day_h19_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,day_h20_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,day_h20_activity__subj_mean
combo_existing_dayflat,raw_selectk,32,0.001,day_h21_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,screen_n__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,speed_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,mlight_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,mlight_mean_morning__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,wlight_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,ac_n__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,morning_mlight_mean__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,app_records__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,app_unique_count__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,app_total_time__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,app_study_work_time__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,wifi_rssi_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,wifi_records_21_03
combo_existing_dayflat,raw_selectk,32,0.003,ble_rssi_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,screenoff_run_start_hour__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,late_activity_last_hour__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,month
combo_existing_dayflat,raw_selectk,32,0.003,month__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,app_hourly_time_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,app_hourly_time_std__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,app_hourly_unique_max__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,ble_deviceclass_1044_count__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,ble_deviceclass_1044_count__subj_delta
combo_existing_dayflat,raw_selectk,32,0.003,ble_deviceclass_524_count
combo_existing_dayflat,raw_selectk,32,0.003,ble_deviceclass_524_count__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,day_h7_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,day_h8_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,day_h17_activity__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,day_h19_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,day_h20_screen__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,day_h20_activity__subj_mean
combo_existing_dayflat,raw_selectk,32,0.003,day_h21_screen__subj_mean
