token,phase,target,n,rate,global_rate,lift_vs_global
ble_device_class:0,appearance,Q1,14,0.21428571428571427,0.4955555555555556,-0.28126984126984134
ble_device_class:0,continuing,Q1,391,0.5140664961636828,0.4955555555555556,0.018510940608127247
ble_device_class:0,disappearance_edge,Q1,11,0.6363636363636364,0.4955555555555556,0.14080808080808077
ble_device_class:0,appearance,Q2,14,0.5714285714285714,0.5622222222222222,0.009206349206349218
ble_device_class:0,continuing,Q2,391,0.5498721227621484,0.5622222222222222,-0.012350099460073816
ble_device_class:0,disappearance_edge,Q2,11,0.7272727272727273,0.5622222222222222,0.16505050505050511
ble_device_class:0,appearance,Q3,14,0.5,0.6,-0.09999999999999998
ble_device_class:0,continuing,Q3,391,0.618925831202046,0.6,0.01892583120204605
ble_device_class:0,disappearance_edge,Q3,11,0.8181818181818182,0.6,0.21818181818181825
ble_device_class:0,appearance,S1,14,0.5,0.6822222222222222,-0.18222222222222217
ble_device_class:0,continuing,S1,391,0.7084398976982097,0.6822222222222222,0.026217675475987523
ble_device_class:0,disappearance_edge,S1,11,0.7272727272727273,0.6822222222222222,0.04505050505050512
ble_device_class:0,appearance,S2,14,0.42857142857142855,0.6511111111111111,-0.22253968253968254
ble_device_class:0,continuing,S2,391,0.6726342710997443,0.6511111111111111,0.02152315998863319
ble_device_class:0,disappearance_edge,S2,11,0.6363636363636364,0.6511111111111111,-0.014747474747474731
ble_device_class:0,appearance,S3,14,0.5714285714285714,0.6622222222222223,-0.09079365079365087
ble_device_class:0,continuing,S3,391,0.6572890025575447,0.6622222222222223,-0.004933219664677524
ble_device_class:0,disappearance_edge,S3,11,0.7272727272727273,0.6622222222222223,0.06505050505050503
ble_device_class:0,appearance,S4,14,0.5,0.56,-0.06000000000000005
ble_device_class:0,continuing,S4,391,0.5728900255754475,0.56,0.012890025575447495
ble_device_class:0,disappearance_edge,S4,11,0.7272727272727273,0.56,0.16727272727272724
ble_device_class:7936,appearance,Q1,16,0.25,0.4955555555555556,-0.24555555555555558
ble_device_class:7936,continuing,Q1,385,0.5194805194805194,0.4955555555555556,0.02392496392496385
ble_device_class:7936,disappearance_edge,Q1,13,0.5384615384615384,0.4955555555555556,0.042905982905982853
ble_device_class:7936,appearance,Q2,16,0.5,0.5622222222222222,-0.06222222222222218
ble_device_class:7936,continuing,Q2,385,0.5558441558441558,0.5622222222222222,-0.0063780663780663716
ble_device_class:7936,disappearance_edge,Q2,13,0.6153846153846154,0.5622222222222222,0.05316239316239324
ble_device_class:7936,appearance,Q3,16,0.5,0.6,-0.09999999999999998
ble_device_class:7936,continuing,Q3,385,0.6207792207792208,0.6,0.020779220779220786
