row,target,target_idx,cell_key,boundary_class,direction,opposed_weight,route_votes,fusion_votes,total_votes,route_weight,fusion_weight,total_weight,family_balance,vote_coverage,mean_abs_delta,weighted_delta,boundary_score,files
234,S2,4,234:S2,consensus_shadow,-1,0.0,1,1,2,1.1177646805596029,0.9859820227896264,2.103746703349229,0.9373581156133606,0.3333333333333333,0.09427243331575075,-0.09458946369146147,0.9654957593846228,"submission_hsjepa_s2_driver_safe_route_fusion_6adf5b73_uploadsafe.csv,submission_hsjepa_s2_route_frontier_1d31aae8_uploadsafe.csv"
112,S1,3,112:S1,consensus_shadow,1,0.0,1,1,2,1.0719712441483786,0.8783581824414558,1.9503294265898345,0.9007280210884903,0.3333333333333333,0.18038524388858757,0.1816211162365067,0.9618997465991564,"submission_hsjepa_seed_driver_safe_route_fusion_62429a06_uploadsafe.csv,submission_hsjepa_seed_route_frontier_1109c03f_uploadsafe.csv"
112,S3,5,112:S3,consensus_shadow,1,0.0,1,1,2,1.0719712441483786,0.8783581824414558,1.9503294265898345,0.9007280210884903,0.3333333333333333,0.06270495352657915,0.0631697149443245,0.8402333269923487,"submission_hsjepa_seed_driver_safe_route_fusion_62429a06_uploadsafe.csv,submission_hsjepa_seed_route_frontier_1109c03f_uploadsafe.csv"
129,S4,6,129:S4,consensus_shadow,-1,0.0,1,1,2,1.0719712441483786,0.8783581824414558,1.9503294265898345,0.9007280210884903,0.3333333333333333,0.05703244604970553,-0.05744616274867478,0.8343686773319765,"submission_hsjepa_seed_driver_safe_route_fusion_62429a06_uploadsafe.csv,submission_hsjepa_seed_route_frontier_1109c03f_uploadsafe.csv"
193,S2,4,193:S2,consensus_shadow,1,0.0,1,1,2,1.05448050759572,0.6123790379883204,1.6668595455840403,0.734769812622398,0.3333333333333333,0.16893906004866915,0.17165232844294,0.7183466411747146,"submission_hsjepa_open_driver_safe_route_fusion_e50f0669_uploadsafe.csv,submission_hsjepa_open_route_frontier_a1719e99_uploadsafe.csv"
193,S3,5,193:S3,consensus_shadow,1,0.0,1,1,2,1.05448050759572,0.6123790379883204,1.6668595455840403,0.734769812622398,0.3333333333333333,0.09527416698059005,0.09704191833947082,0.6607618340764654,"submission_hsjepa_open_driver_safe_route_fusion_e50f0669_uploadsafe.csv,submission_hsjepa_open_route_frontier_a1719e99_uploadsafe.csv"
212,S3,5,212:S3,consensus_shadow,1,0.0,1,1,2,1.05448050759572,0.6123790379883204,1.6668595455840403,0.734769812622398,0.3333333333333333,0.08282230028389403,0.08421850566408935,0.6510280475754833,"submission_hsjepa_open_driver_safe_route_fusion_e50f0669_uploadsafe.csv,submission_hsjepa_open_route_frontier_a1719e99_uploadsafe.csv"
23,S1,3,23:S1,consensus_shadow,1,0.0,1,1,2,1.05448050759572,0.6123790379883204,1.6668595455840403,0.734769812622398,0.3333333333333333,0.06498355597115818,0.06623595461622943,0.6370832686266489,"submission_hsjepa_open_driver_safe_route_fusion_e50f0669_uploadsafe.csv,submission_hsjepa_open_route_frontier_a1719e99_uploadsafe.csv"
5,S3,5,5:S3,consensus_shadow,1,0.0,1,1,2,1.05448050759572,0.6123790379883204,1.6668595455840403,0.734769812622398,0.3333333333333333,0.06384041636609328,0.06487503078191663,0.6361896614970872,"submission_hsjepa_open_driver_safe_route_fusion_e50f0669_uploadsafe.csv,submission_hsjepa_open_route_frontier_a1719e99_uploadsafe.csv"
234,S3,5,234:S3,consensus_shadow,-1,0.0,1,1,2,1.05448050759572,0.6123790379883204,1.6668595455840403,0.734769812622398,0.3333333333333333,0.02650831007541629,-0.027020482521210903,0.6070066674033713,"submission_hsjepa_open_driver_safe_route_fusion_e50f0669_uploadsafe.csv,submission_hsjepa_open_route_frontier_a1719e99_uploadsafe.csv"
