row,subject_id,sleep_date,lifelog_date,row_strength_rank,semantic_latent_0,semantic_latent_1,semantic_latent_2,semantic_latent_3,semantic_latent_4,semantic_latent_5
0,id01,2024-07-31,2024-07-30,0.88,0.9198034036763616,0.09569176819581338,0.2082892755054739,0.0008680136095133606,-0.003459200169774323,0.0018065383826929855
3,id01,2024-08-03,2024-08-02,0.84,0.9210735359825336,-0.19857403348521555,0.11053997079403909,0.0008717960536377969,-0.0034271428666778144,0.00227830660335596
10,id01,2024-08-13,2024-08-12,0.98,0.8273607839047912,0.20472643662659332,-0.052049182667938974,0.0351179620168968,0.029884414132384494,-0.0092951932914223
27,id02,2024-08-26,2024-08-25,0.936,0.827360783904593,0.204739353999771,-0.05247553755211706,-0.032967646234542916,0.020399635803125538,-0.05019573373268037
35,id02,2024-09-03,2024-09-02,0.836,0.8182168145325103,0.11520352855339452,0.22801042702057372,0.07392416489727054,-0.06420688493725737,0.2445999349645447
44,id02,2024-09-30,2024-09-29,0.992,0.8273607839062956,0.20471720864619708,-0.052412369375237265,0.010776057929468286,0.011583894021990445,0.04590975567910343
48,id02,2024-10-05,2024-10-04,0.892,0.8190935171156413,-0.2138390638059626,0.09844381171131428,-0.12359915103308368,-0.14077413688135576,-0.054366966334686205
50,id02,2024-10-07,2024-10-06,0.912,0.8273607839051079,0.20469060139389933,-0.05203958460974322,-0.032189566761136816,-0.01092965169849059,-0.0007048932212757791
56,id02,2024-10-14,2024-10-13,0.896,0.8182168145318635,0.11523540647480726,0.22830420054901193,-0.08695262102695515,-0.08908503408983684,-0.021003674978543524
61,id03,2024-08-19,2024-08-18,0.832,0.8190935171132439,-0.21384150383475345,0.09879692696190831,-0.16786532157954387,-0.1033771794241215,0.11538853508098024
70,id03,2024-09-16,2024-09-15,0.86,0.8182168145300779,0.11523348061558171,0.2285894729327821,0.16298820857777946,0.08462823253281533,0.009989520388400092
78,id03,2024-10-06,2024-10-05,0.856,0.819093517115077,-0.21387188724881298,0.09815885884705909,0.20851890119074432,-0.09731333301854701,-0.13148842756000192
91,id04,2024-09-25,2024-09-24,0.984,0.8273607839051772,0.20468959278887117,-0.05301583895237419,-0.0045822278202243,-0.027729553291048835,-0.10352398238644707
93,id04,2024-09-27,2024-09-26,0.864,0.8190935171150627,-0.21385528268931028,0.0982291752284264,0.20877150661658603,-0.09647257932324552,0.036300203821912645
97,id04,2024-10-18,2024-10-17,0.824,0.8190935171147906,-0.2138457317575857,0.09828774504402085,0.04127361817965534,-0.10193119059462534,-0.19271733313642594
98,id04,2024-10-19,2024-10-18,0.996,0.8273607839052348,0.20469399284639908,-0.05287207920269485,-0.01318239146868923,0.006530067910551062,0.045930684624202044
101,id04,2024-10-24,2024-10-23,0.916,0.8273607839056258,0.20472486415737048,-0.053045409409532694,0.024767058144525216,0.011793762171432924,-0.12045387748037388
103,id04,2024-10-26,2024-10-25,0.852,0.8182168145318588,0.11521048393433014,0.22836800477440744,-0.09524144498238095,-0.08190972534911346,-0.0049148175719063904
110,id05,2024-10-02,2024-10-01,0.96,0.8273607839048325,0.2046851841594289,-0.05298180395384356,-0.031179019605538517,-0.031502426669902175,-0.0612440145014641
121,id05,2024-11-13,2024-11-12,0.928,0.8273607839057121,0.2047291214372999,-0.05265906904678295,0.010992666873198114,0.05620446505543616,-0.0021128802400156277
135,id06,2024-07-14,2024-07-13,0.988,0.8282287057532777,-0.11904612772406134,-0.180950271785241,0.055678553662639414,-0.0013840839499282772,0.04284606630847495
136,id06,2024-07-16,2024-07-15,0.924,0.8282287057518548,-0.11904628184091083,-0.18043455046916052,0.015884705677928223,-0.009025029773658353,0.08289795554945999
139,id06,2024-07-19,2024-07-18,0.876,0.8190935171143343,-0.21385003783429807,0.0980659810406801,-0.15576024827994203,-0.07476911118859764,0.16233332540659282
143,id06,2024-08-13,2024-08-12,0.884,0.8190935171139923,-0.2138724482552707,0.09874272922949877,-0.16598116356779147,0.12445287852065694,-0.17792502699449034
144,id06,2024-08-14,2024-08-13,0.9,0.8282287057525546,-0.11904599456581191,-0.18072726762098806,0.0209001738080918,-0.0005155750179293678,-0.017347634312008982
146,id06,2024-08-20,2024-08-19,0.844,0.818216814533636,0.11519686016116903,0.2277695592247239,-0.09643719831894886,0.16788667587021838,0.0049609839291023675
148,id06,2024-08-22,2024-08-21,1.0,0.8282287057520363,-0.11901929055441185,-0.18053909101185867,0.00897452139854379,-0.00513631326592231,0.046034587799213544
149,id06,2024-08-23,2024-08-22,0.868,0.819093517113406,-0.21384092135566432,0.09848431394309666,0.13162802224122314,0.11939302156525326,0.09357056549771939
150,id06,2024-08-24,2024-08-23,0.972,0.828228705751168,-0.11902356224133549,-0.18063447383129805,0.0003329648933952237,0.03622436221127117,-0.04378498176517649
