row,subject_id,sleep_date,lifelog_date,target,target_family,h012_prob,h042_base_prob,h050_route_prob,h056_objective_prob,h055_listener_posterior,hsjepa_decoded_prob,delta_vs_h042,soft_listener_gain,listener_aux_score,overlaps_h050_action,overlaps_h056_action
0,id01,2024-07-31,2024-07-30,Q1,subjective sleep satisfaction,0.1952401438424609,0.1952401438424609,0.1873904166399005,0.1952401438424609,0.1854371762717269,0.1839999885504578,-0.011240155292003118,0.000302928581836448,0.5490857142857143,True,False
0,id01,2024-07-31,2024-07-30,Q3,subjective sleep quality,0.5541805485467693,0.5541805485467693,0.5541805485467693,0.5541805485467693,0.5135619962451818,0.5074404548458739,-0.04674009370089549,0.0032479603645900745,0.5517142857142857,False,False
0,id01,2024-07-31,2024-07-30,S1,objective sleep-stage ratio,0.5454902757586634,0.5454902757586634,0.5454902757586634,0.5202725253271271,0.52357043643751,0.5202725253271271,-0.02521775043153629,0.000944909652560888,0.4231428571428571,False,True
0,id01,2024-07-31,2024-07-30,S2,objective sleep-stage ratio,0.4713998480827134,0.4713998480827134,0.4713998480827134,0.4579375217389834,0.4596904216883933,0.45793752173898344,-0.013462326343729958,0.00026920574324185154,0.5074285714285715,False,True
0,id01,2024-07-31,2024-07-30,S3,objective sleep-stage ratio,0.8468215168945182,0.8468215168945182,0.8468215168945182,0.8508786159626692,0.8503544989480489,0.8508786159626692,0.004057099068150993,4.73383282438844e-05,0.3922285714285714,False,True
0,id01,2024-07-31,2024-07-30,S4,objective sleep-stage ratio,0.5111230093690158,0.5111230093690158,0.5111230093690158,0.5084298008946088,0.5087811200493267,0.5084298008946088,-0.002693208474407016,1.0726677270200824e-05,0.3453714285714285,False,True
3,id01,2024-08-03,2024-08-02,Q1,subjective sleep satisfaction,0.6577389160188123,0.6577389160188123,0.6577389160188123,0.6577389160188123,0.6608201989248288,0.6612812262919237,0.00354231027311136,2.064356784370336e-05,0.2133428571428571,False,False
3,id01,2024-08-03,2024-08-02,Q3,subjective sleep quality,0.5574422325902662,0.5574422325902662,0.5574422325902662,0.5574422325902662,0.5792881428578803,0.5825405612758282,0.025098328685562055,0.0009491333026683257,0.4633428571428571,False,False
3,id01,2024-08-03,2024-08-02,S1,objective sleep-stage ratio,0.876117151296551,0.876117151296551,0.876117151296551,0.8856649411247233,0.8844569257457948,0.8856649411247233,0.009547789828172282,0.0003196207571665721,0.4051428571428571,False,True
3,id01,2024-08-03,2024-08-02,S2,objective sleep-stage ratio,0.5522444759551001,0.5522444759551001,0.5522444759551001,0.5721461430128739,0.5695620616481524,0.5721461430128739,0.019901667057773853,0.0005943947223236989,0.4362857142857143,False,True
3,id01,2024-08-03,2024-08-02,S3,objective sleep-stage ratio,0.8345777914923951,0.8345777914923951,0.8345777914923951,0.8471588175105197,0.8455634161020195,0.8471588175105197,0.012581026018124608,0.00043531591204098996,0.5615428571428571,False,True
3,id01,2024-08-03,2024-08-02,S4,objective sleep-stage ratio,0.5920179317962512,0.5920179317962512,0.5920179317962512,0.6214483717332009,0.6176549412028199,0.6214483717332009,0.029430439936949715,0.001339629033848544,0.3555142857142857,False,True
10,id01,2024-08-13,2024-08-12,Q1,subjective sleep satisfaction,0.0767046561552894,0.0767046561552893,0.0633856461271539,0.0767046561552893,0.0834645477651648,0.08452408058847014,0.00781942443318083,0.00030701190287651947,0.7207428571428571,True,False
10,id01,2024-08-13,2024-08-12,Q3,subjective sleep quality,0.6561743656712474,0.6561743656712474,0.6561743656712474,0.6561743656712474,0.654307593192862,0.6540271650616462,-0.002147200609601274,7.542746823130386e-06,0.2253428571428571,False,False
10,id01,2024-08-13,2024-08-12,S1,objective sleep-stage ratio,0.3104271131734202,0.3104271131734202,0.3104271131734202,0.294329746408273,0.2964016877780824,0.29432974640827303,-0.01609736676514717,0.0004530802364657305,0.3087714285714286,False,True
10,id01,2024-08-13,2024-08-12,S2,objective sleep-stage ratio,0.5615081354310529,0.5615081354310529,0.5615081354310529,0.5656371225347944,0.5650990626665242,0.5656371225347944,0.004128987103741433,2.5612576048272828e-05,0.3513428571428571,False,True
