row,subject_id,sleep_date,lifelog_date,h042_q2_support,q2_delta_h042_minus_h012,q2_logit_strength,row_strength_rank
0,id01,2024-07-31,2024-07-30,True,-0.01667464331131263,0.06681084108587332,0.88
3,id01,2024-08-03,2024-08-02,True,0.009905851038042424,0.04384380662654874,0.84
10,id01,2024-08-13,2024-08-12,True,-0.03056301094639735,0.12246576512872573,0.98
27,id02,2024-08-26,2024-08-25,True,-0.01995233596027146,0.0895069381872805,0.936
35,id02,2024-09-03,2024-09-02,True,-0.007054669172522843,0.03414825131145349,0.836
44,id02,2024-09-30,2024-09-29,True,-0.02950976914504344,0.12742455755076165,0.992
48,id02,2024-10-05,2024-10-04,True,0.013045927395006651,0.06917879767551516,0.892
50,id02,2024-10-07,2024-10-06,True,-0.01641014217465031,0.07697620421271845,0.912
56,id02,2024-10-14,2024-10-13,True,-0.01579878063925788,0.06938336726697514,0.896
61,id03,2024-08-19,2024-08-18,True,0.006527858074233395,0.03099946995012015,0.832
70,id03,2024-09-16,2024-09-15,True,-0.008934193734051687,0.05332509680755915,0.86
78,id03,2024-10-06,2024-10-05,True,0.0068263708237191745,0.04976582851032396,0.856
91,id04,2024-09-25,2024-09-24,True,-0.030773165525402324,0.12366697994073907,0.984
93,id04,2024-09-27,2024-09-26,True,0.013402448578171411,0.054001617924475054,0.864
97,id04,2024-10-18,2024-10-17,True,0.002879118091494548,0.011522414236711284,0.824
98,id04,2024-10-19,2024-10-18,True,-0.03361667821569175,0.13473446272219336,0.996
101,id04,2024-10-24,2024-10-23,True,-0.02015420707884752,0.08077810996955773,0.916
103,id04,2024-10-26,2024-10-25,True,-0.01186546047691378,0.04750989799221352,0.852
110,id05,2024-10-02,2024-10-01,True,-0.028077192456125832,0.11432196236322967,0.96
121,id05,2024-11-13,2024-11-12,True,-0.020805439670315895,0.08386137325176463,0.928
135,id06,2024-07-14,2024-07-13,True,0.028023265869962954,0.12406581093857028,0.988
136,id06,2024-07-16,2024-07-15,True,0.020397619025804392,0.0823976380885584,0.924
139,id06,2024-07-19,2024-07-18,True,0.014586112369480486,0.0604704767351989,0.876
143,id06,2024-08-13,2024-08-12,True,0.012933547228943687,0.06817565800523306,0.884
144,id06,2024-08-14,2024-08-13,True,0.014678946038522267,0.07136584823198622,0.9
146,id06,2024-08-20,2024-08-19,True,-0.008918066250423129,0.043975827269473466,0.844
148,id06,2024-08-22,2024-08-21,True,0.03750264228826794,0.22383985419833818,1.0
149,id06,2024-08-23,2024-08-22,True,0.010742027643902086,0.054349220526898945,0.868
150,id06,2024-08-24,2024-08-23,True,0.02077641929117735,0.11820610672497955,0.972
151,id06,2024-08-25,2024-08-24,True,0.018917057333575737,0.11004492216754125,0.952
152,id07,2024-07-14,2024-07-13,True,0.0257480479419418,0.10302639991880057,0.944
158,id07,2024-07-20,2024-07-19,True,-0.022807629265548912,0.09959068988238451,0.94
163,id07,2024-07-25,2024-07-24,True,-0.014788734508632495,0.06889888870498284,0.888
164,id07,2024-07-26,2024-07-25,True,-0.018273539748765666,0.08239370737649188,0.92
167,id07,2024-08-15,2024-08-14,True,0.002701590933917697,0.014140330331981144,0.828
168,id07,2024-08-16,2024-08-15,True,-0.026151476709187327,0.10611817034377449,0.948
174,id07,2024-08-25,2024-08-24,True,0.028435511379002798,0.11515867118610865,0.968
194,id08,2024-09-09,2024-09-08,True,-0.015294992545867858,0.07550756173371365,0.908
196,id08,2024-09-11,2024-09-10,True,0.011730126433392107,0.06008398542047477,0.872
203,id09,2024-08-08,2024-08-07,True,-0.02676361911966868,0.11426711862777933,0.956
216,id09,2024-09-07,2024-09-06,True,-0.016854830031068246,0.07277243098866204,0.904
225,id09,2024-09-20,2024-09-19,True,0.029615073125243807,0.11849511818811292,0.976
226,id09,2024-09-21,2024-09-20,True,0.026205146993922845,0.11488940254982083,0.964
235,id10,2024-08-18,2024-08-17,True,0.01117511630461071,0.04611960009675109,0.848
242,id10,2024-09-19,2024-09-18,True,0.01876344070385283,0.08826598245274919,0.932
