row,subject_id,sleep_date,lifelog_date,row_strength_rank,narrative
0,id01,2024-07-31,2024-07-30,0.88,"Row 0 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
3,id01,2024-08-03,2024-08-02,0.84,"Row 3 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
10,id01,2024-08-13,2024-08-12,0.98,"Row 10 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
27,id02,2024-08-26,2024-08-25,0.936,"Row 27 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
35,id02,2024-09-03,2024-09-02,0.836,"Row 35 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
44,id02,2024-09-30,2024-09-29,0.992,"Row 44 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
48,id02,2024-10-05,2024-10-04,0.892,"Row 48 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
50,id02,2024-10-07,2024-10-06,0.912,"Row 50 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
56,id02,2024-10-14,2024-10-13,0.896,"Row 56 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
61,id03,2024-08-19,2024-08-18,0.832,"Row 61 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
70,id03,2024-09-16,2024-09-15,0.86,"Row 70 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
78,id03,2024-10-06,2024-10-05,0.856,"Row 78 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
91,id04,2024-09-25,2024-09-24,0.984,"Row 91 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
93,id04,2024-09-27,2024-09-26,0.864,"Row 93 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
97,id04,2024-10-18,2024-10-17,0.824,"Row 97 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
98,id04,2024-10-19,2024-10-18,0.996,"Row 98 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
101,id04,2024-10-24,2024-10-23,0.916,"Row 101 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
103,id04,2024-10-26,2024-10-25,0.852,"Row 103 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
110,id05,2024-10-02,2024-10-01,0.96,"Row 110 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
121,id05,2024-11-13,2024-11-12,0.928,"Row 121 is a public-visible human-state candidate. H042 moved Q2 lower than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
135,id06,2024-07-14,2024-07-13,0.988,"Row 135 is a public-visible human-state candidate. H042 moved Q2 higher than H012 with very strong row strength. HS-JEPA interprets this as a whole-day state route: Q2 is frozen after discovery, while Q1, Q3, and S1-S4 are decoded as the non-Q2 consequences of the same hidden state."
