flat_idx,row,target,target_idx,candidate_sign,teacher_has_action,teacher_logit_move,teacher_sign,lrj_has_cell,lrj_sign,lrj_teacher_sign_match,responsibility_score,selection_score,source_consensus_rank,listener_benefit_rank,human_state_responsibility,h088_safe_rank,source_support,source_move_abs_mean,sign_margin,base_prob,toxic_same_weight,toxic_opp_weight,toxic_abs_weight,toxic_same_rank,toxic_opp_rank,toxic_safety_rank,amp,decoded_logit_move,action_source,q2_extra_score
37,5,Q3,2,1,True,1.4806648788912005,1,True,1,True,0.5728722892235816,0.8203939745075319,0.640258918296893,0.6799021864211738,0.3117995444191344,0.9234752589182968,5.0,0.0534261150178856,0.5728722892235816,0.5251374051887717,0.3279178377880721,0.3961710957752032,0.7240889335632756,0.6894553881807648,0.2004634994206257,0.3105446118192352,1.0698576366063204,1.5841006279365233,teacher_target_route_calibrated,
39,5,S2,4,1,True,1.156807505380315,1,True,1,True,0.5915682145295096,0.8235225955967554,0.6618699654775604,0.6695281933256618,0.3723576309794988,0.9234752589182968,9.0,0.0093697778968978,0.5915682145295096,0.5497473648760006,0.1837862584427485,0.76495063609524,0.9487368945379886,0.4947856315179606,0.2954808806488992,0.5052143684820394,1.12084257287515,1.2965991006517563,teacher_target_route_calibrated,
60,8,S2,4,1,True,0.6106241140096569,1,True,1,True,0.6258025999178398,0.853534183082271,0.6306214039125431,0.7047065592635213,0.5665375854214123,0.9234752589182968,8.0,0.0089468036017376,0.6258025999178398,0.571821952388274,0.395266437290771,0.0281400794103569,0.4234065167011279,0.7439165701042874,0.0370799536500579,0.2560834298957126,1.0635424570002947,0.6494246705174586,teacher_target_route_calibrated,
71,10,Q2,1,-1,True,-0.6198789591592779,-1,True,-1,True,0.7287750595144068,0.972885283893395,0.932422324510932,0.6728883774453395,0.4209111617312072,0.9234752589182968,9.0,0.1686031032126793,0.7287750595144068,0.5036388558656353,0.0,3.1440055925521295,3.1440055925521295,0.0220162224797219,0.6431054461181923,0.977983777520278,1.28,-0.7934450677238758,teacher_target_route_calibrated,
122,17,S1,3,1,True,0.9581431158859136,1,True,1,True,0.5495083996011182,0.7544611819235225,0.5658860759493671,0.6932681242807825,0.4822095671981777,0.7859608745684695,6.0,0.0258051975124208,0.5495083996011182,0.814314102085822,0.0633764900522988,1.7804687528441716,1.8438452428964704,0.149478563151796,0.4298957126303592,0.8505214368482039,1.07,1.0252131339979276,teacher_target_route_calibrated,
139,19,S4,6,1,True,0.984240299600878,1,True,1,True,0.6548780328588201,0.8772885283893395,0.6821001150747986,0.7942174913693902,0.6811389521640091,0.7261219792865363,9.0,0.0231615450922395,0.6548780328588201,0.6116864391533945,0.0330796555971845,2.954185817849047,2.987265473446232,0.06720741599073,0.6234067207415991,0.93279258400927,1.07,1.0531371205729396,teacher_target_route_calibrated,
164,23,S1,3,1,True,0.5260352035114938,1,True,1,True,0.5762715993522828,0.8176129779837775,0.6710817031070195,0.7502301495972383,0.2982346241457858,0.7710011507479861,8.0,0.0412662250442719,0.5762715993522828,0.5226845176938223,0.2013710702612723,0.5641952916665122,0.7655663619277846,0.5237543453070683,0.2491309385863267,0.4762456546929317,0.9825564073194508,0.5168592596858095,teacher_target_route_calibrated,
167,23,S4,6,1,True,1.259674189907575,1,True,1,True,0.5244979842443229,0.7013904982618773,0.6061449942462601,0.6375431530494822,0.3697380410022779,0.7560414269275029,8.0,0.0306349614740514,0.5244979842443229,0.4919517385756492,0.0279892995019865,1.8972333173950393,1.925222616897026,0.0602549246813441,0.4495944380069525,0.9397450753186558,1.07,1.3478513832011052,teacher_target_route_calibrated,
174,24,S4,6,-1,True,-0.5772205359072677,-1,True,-1,True,0.4979219404720825,0.6266280417149479,0.5562945914844649,0.6773820483314154,0.2183029612756264,0.8250863060989644,7.0,0.0177905375727399,0.4979219404720825,0.2857725149935417,0.1992721999591536,2.553365838511593,2.7526380384707463,0.5191193511008111,0.5573580533024334,0.4808806488991889,0.9875938166297087,-0.5700594320937044,teacher_target_route_calibrated,
177,25,Q3,2,-1,True,-0.1906763328726703,-1,True,-1,True,0.476821985283224,0.599837775202781,0.4920943613348676,0.5812025316455698,0.333006833712984,0.9234752589182968,2.0,0.0411756302112575,0.476821985283224,0.5568442417683024,0.1243650749728972,0.7647614755033213,0.8891265504762186,0.3371958285052143,0.2943221320973349,0.6628041714947857,1.1438321441381858,-0.2181017186661529,teacher_target_route_calibrated,
181,25,S4,6,1,True,1.4814788903706897,1,True,1,True,0.387989265848678,0.4187485515643105,0.3740678941311852,0.3863636363636363,0.4726993166287015,0.9234752589182968,4.0,0.0233887166316685,0.387989265848678,0.5094418267160243,0.1103442656967602,0.467363014259663,0.5777072799564233,0.3001158748551564,0.216685979142526,0.6998841251448435,1.0536119819133887,1.5609039098463102,teacher_target_route_calibrated,
190,27,Q2,1,-1,True,-0.9205827069099282,-1,True,-1,True,0.7528812206397997,0.9651216685979142,0.8740736478711161,0.7142002301495972,0.6184054669703872,0.9234752589182968,8.0,0.128957985151616,0.7528812206397997,0.6544527640464474,0.0367087853140454,2.925801553494568,2.962510338808613,0.0776361529548088,0.6152954808806489,0.9223638470451913,1.28,-1.178345864844708,teacher_target_route_calibrated,
210,30,Q1,0,-1,True,-0.4902386708218792,-1,True,-1,True,0.3465582213986325,0.3306836616454229,0.1907710011507479,0.4684177215189873,0.6632346241457859,0.7698504027617952,1.0,0.022347480529036,0.3465582213986325,0.3647736144742344,0.0723457552566977,1.1084976495669403,1.180843404823638,0.1726535341830822,0.3464658169177289,0.8273464658169177,1.1676322860148782,-0.5724184999046462,teacher_target_route_calibrated,
242,34,S2,4,-1,True,-1.7329295518000791,-1,True,-1,True,0.3799599095008474,0.3951100811123986,0.2731242807825086,0.4487744533947065,0.6547266514806378,0.8020713463751439,4.0,0.0270083937830915,0.3799599095008474,0.8984507302522194,0.0140569528760061,1.9666772826169887,1.9807342354929949,0.048667439165701,0.4634994206257242,0.951332560834299,1.214951483238149,-2.1054253293067267,teacher_target_route_calibrated,
252,36,Q1,0,-1,True,-0.7873006825955612,-1,True,-1,True,0.447092685163841,0.5090845886442642,0.3471231300345224,0.578325661680092,0.597642369020501,0.8400460299194477,1.0,0.0154370536349477,0.447092685163841,0.4739815525917726,0.0580618072137849,0.695094317933788,0.753156125147573,0.1413673232908459,0.2804171494785631,0.8586326767091541,1.1791160842032837,-0.9283188979526504,teacher_target_route_calibrated,
257,36,S3,5,1,True,0.552275039406187,1,True,1,True,0.5777401935518833,0.8201622247972189,0.6406329113924052,0.6601035673187572,0.5789066059225512,0.7203682393555811,8.0,0.040771163365367,0.5777401935518833,0.8929273399075288,0.1043725656312255,4.811563919168498,4.915936484799724,0.2815758980301274,0.7983777520278099,0.7184241019698725,1.0444002842867564,0.5767962081603013,teacher_target_route_calibrated,
266,38,Q1,0,-1,True,-0.9679659331752586,-1,True,-1,True,0.2910402286055135,0.2058864426419467,0.1538665132336018,0.3360701956271577,0.6350911161731208,0.8239355581127733,1.0,0.0174331990188438,0.2910402286055135,0.5321733181983741,0.0881682420325876,0.3739428996700912,0.4621111417026788,0.2190034762456547,0.1923522595596755,0.7809965237543453,1.1616847590563066,-1.1244712718554133,teacher_target_route_calibrated,
309,44,Q2,1,-1,True,-0.7869065731646545,-1,True,-1,True,0.7802247467652351,0.981228273464658,0.9426409666283084,0.6546375143843498,0.6892938496583144,0.9234752589182968,9.0,0.1831602225860742,0.7802247467652351,0.6205899898125083,0.0,3.964984353110123,3.964984353110123,0.0220162224797219,0.7265353418308227,0.977983777520278,1.28,-1.0072404136507578,teacher_target_route_calibrated,
