source,kind,rows,columns,column_sample
data/ch2025_data_items/ch2025_mACStatus.parquet,parquet,939896,3,"subject_id, timestamp, m_charging"
data/ch2025_data_items/ch2025_mActivity.parquet,parquet,961062,3,"subject_id, timestamp, m_activity"
data/ch2025_data_items/ch2025_mAmbience.parquet,parquet,476577,3,"subject_id, timestamp, m_ambience"
data/ch2025_data_items/ch2025_mBle.parquet,parquet,21830,3,"subject_id, timestamp, m_ble"
data/ch2025_data_items/ch2025_mGps.parquet,parquet,800611,3,"subject_id, timestamp, m_gps"
data/ch2025_data_items/ch2025_mLight.parquet,parquet,96258,3,"subject_id, timestamp, m_light"
data/ch2025_data_items/ch2025_mScreenStatus.parquet,parquet,939653,3,"subject_id, timestamp, m_screen_use"
data/ch2025_data_items/ch2025_mUsageStats.parquet,parquet,45197,3,"subject_id, timestamp, m_usage_stats"
data/ch2025_data_items/ch2025_mWifi.parquet,parquet,76336,3,"subject_id, timestamp, m_wifi"
data/ch2025_data_items/ch2025_wHr.parquet,parquet,382918,3,"subject_id, timestamp, heart_rate"
data/ch2025_data_items/ch2025_wLight.parquet,parquet,633741,3,"subject_id, timestamp, w_light"
data/ch2025_data_items/ch2025_wPedo.parquet,parquet,748100,9,"subject_id, timestamp, step, step_frequency, running_step, walking_step, distance, speed"
data/ch2026_metrics_train.csv,csv,450,10,"subject_id, sleep_date, lifelog_date, Q1, Q2, Q3, S1, S2"
data/ch2026_submission_sample.csv,csv,250,10,"subject_id, sleep_date, lifelog_date, Q1, Q2, Q3, S1, S2"
