file,public_lb,note,family,worldview,source,observed_stage,sequence,best_so_far,delta_vs_previous_best,improved_previous_best,score_rank,public_lb_display,delta_display
submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,Public anchor validated late fold-safe scale.,Pre-HS baseline / other,Public anchor validated late fold-safe scale.,analysis_outputs/public_probe_observations.csv,other,1,0.5784273528,0.0,True,23,0.5784273528,+0.0000000000
submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,0.5779449757,Stage2 broad residual OOF gain mostly did not transfer to public; still slightly better than 0.578 anchor.,Pre-HS baseline / other,Stage2 broad residual OOF gain mostly did not transfer to public; still slightly better than 0.578 anchor.,analysis_outputs/public_probe_observations.csv,other,2,0.5779449757,-0.00048237709999998657,True,20,0.5779449757,-0.0004823771
submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,Ordinal Q2/Q3 nearest feasible-count correction improved OOF but missed public-best; strong CV-public overfit signal for this count shift.,Pre-HS baseline / other,Ordinal Q2/Q3 nearest feasible-count correction improved OOF but missed public-best; strong CV-public overfit signal for this count shift.,analysis_outputs/public_probe_observations.csv,other,3,0.5779449757,0.00035838950000000036,False,22,0.5783033652,+0.0003583895
submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5775263072,Raw timeline JEPA rescue current public control/best anchor.,Direct JEPA/LeJEPA,Raw timeline JEPA rescue current public control/best anchor.,analysis_outputs/public_probe_observations.csv,other,4,0.5775263072,-0.0004186685000000523,True,19,0.5775263072,-0.0004186685
submission_jepa_latent_q2_w0p45.csv,0.5798012862,Direct JEPA latent Q2 movement failed public; bad-axis anchor.,Direct JEPA/LeJEPA,Direct JEPA latent Q2 movement failed public; bad-axis anchor.,analysis_outputs/public_probe_observations.csv,other,5,0.5775263072,0.002274979000000066,False,24,0.5798012862,+0.0022749790
submission_jepa_latent_residual_probe.csv,0.5812273278,Direct latent residual probe failed public strongly; collapse/risk anchor.,HS-JEPA toxicity stress,Direct latent residual probe failed public strongly; collapse/risk anchor.,analysis_outputs/public_probe_observations.csv,other,6,0.5775263072,0.0037010205999999934,False,26,0.5812273278,+0.0037010206
submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,LeJEPA target-wise strict scale0.5 improved OOF/geometry but failed public; new bad-axis anchor.,Direct JEPA/LeJEPA,LeJEPA target-wise strict scale0.5 improved OOF/geometry but failed public; new bad-axis anchor.,analysis_outputs/public_probe_observations.csv,other,7,0.5775263072,0.0027205120000000083,False,25,0.5802468192,+0.0027205120
submission_mixmin_0c916bb4.csv,0.5763066405,Previous public frontier; validates anchor-loss/binary-world mixmin sensor despite old selector veto.,Pre-HS baseline / other,anchor-loss/binary-world mixmin sensor despite old selector veto.,analysis_outputs/public_probe_observations.csv,other,8,0.5763066405,-0.001219666699999955,True,13,0.5763066405,-0.0012196667
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,E72/E73 sparse Q2/S3 gate sensor worsened versus mixmin; later audits show broad all-target contamination and sub-margin pure Q2/S3.,Pre-HS baseline / other,E72/E73 sparse Q2/S3 gate sensor worsened versus mixmin; later audits show broad all-target contamination and sub-margin pure Q2/S3.,analysis_outputs/public_probe_observations.csv,E72,9,0.5763066405,0.00010113670000000408,False,16,0.5764077772,+0.0001011367
submission_e95_hardtail_541e3973.csv,0.5762913298,Previous public frontier; validates E72-adverse hard-tail localization with E86-to-E85 fallback.,Pre-HS baseline / other,E72-adverse hard-tail localization with E86-to-E85 fallback.,analysis_outputs/public_probe_observations.csv,E95,10,0.5762913298,-1.5310700000048527e-05,True,11,0.5762913298,-0.0000153107
submission_e101_q2s3tail_177569bc.csv,0.576300366,Resolved E95-relative Q2/S3 rollback sensor; small_loss versus E95 (+0.0000090362) but still beats mixmin (-0.0000062745); closes E108 and same-line automatic followups.,Pre-HS baseline / other,Resolved E95-relative Q2/S3 rollback sensor; small_loss versus E95 (+0.0000090362) but still beats mixmin (-0.0000062745); closes E108 and s,analysis_outputs/public_probe_observations.csv,E101,11,0.5762913298,9.036200000034356e-06,False,12,0.5763003660,+0.0000090362
submission_e176_abl_q2_to0p75_91e49725.csv,0.576311831,Broad partial-reopen / Q2-damped sensor resolved as branch_loss versus E95; demotes same-family E176/E174/E172/E169 expected-score followups.,Pre-HS baseline / other,Broad partial-reopen / Q2-damped sensor resolved as branch_loss versus E95; demotes same-family E176/E174/E172/E169 expected-score followups,analysis_outputs/public_probe_observations.csv,E176,12,0.5762913298,2.0501200000078157e-05,False,14,0.5763118310,+0.0000205012
submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,0.5772865088,Masked-family JEPA S2-only translator severe miss; closes E216 siblings as public-safe submissions until S2 support-tail failure is rebuilt.,Direct JEPA/LeJEPA,Masked-family JEPA S2-only translator severe miss; closes E216 siblings as public-safe submissions until S2 support-tail failure is rebuilt.,analysis_outputs/public_probe_observations.csv,E216,13,0.5762913298,0.0009951790000000127,False,18,0.5772865088,+0.0009951790
submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,0.5761589494,New public frontier; validates E224-family feature-NN1 Q3 smoothing despite E248 OOF-adverse analogue and shifts the bottleneck toward test-side feature-neighbor public-tail geometry.,Feature NN smoothing,E224-family feature-NN1 Q3 smoothing despite E248 OOF-adverse analogue and shifts the bottleneck toward test-side feature-neighbor public-ta,analysis_outputs/public_probe_observations.csv,E247,14,0.5761589494,-0.0001323803999999651,True,8,0.5761589494,-0.0001323804
submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,0.5762805676,E247-family high-amplitude constrained Q3 smoothing follow-up; E259 decodes as same_family_loss versus E247 while still beating E95 and weakening amplitude-constrained smoothing as the next score route.,Feature NN smoothing,E247-family high-amplitude constrained Q3 smoothing follow-up; E259 decodes as same_family_loss versus E247 while still beating E95 and weak,analysis_outputs/public_probe_observations.csv,E256,15,0.5761589494,0.00012161820000000656,False,9,0.5762805676,+0.0001216182
submission_e267_humansocial_tail_balanced_2936100f.csv,0.5763294974,Human/social lifestyle-conditioned Q3/S4 E224/E154 rollback sensor; public loss versus E247/E95/mixmin rejects this materialization path but not the broader social-state hypothesis.,Human-social latent,s this materialization path but not the broader social-state hypothesis.,analysis_outputs/public_probe_observations.csv,E267,16,0.5761589494,0.00017054799999993708,False,15,0.5763294974,+0.0001705480
submission_e323_5508f966_uploadsafe.csv,0.5770355016,E323 upload-safe null-common residual priority file; severe public loss versus E247 rejects the E323/E324 local null-common residual branch and establishes an E323-negative movement anchor for future hidden-state gates.,Pre-HS baseline / other,s the E323/E324 local null-common residual branch and establishes an E323-negative movement anchor for future hidden-state gates.,analysis_outputs/public_probe_observations.csv,E323,17,0.5761589494,0.0008765521999999359,False,17,0.5770355016,+0.0008765522
submission_e368_q2s1rowmask_selected_e368_q2_damp_s1_recover_amp1_06_be814361_uploadsafe.csv,0.576290429,E368 Q2/S1 row-mask cell-action latent; near E95 but worse than E247; validates a weak hidden lifestyle-state signal while rejecting it as current frontier replacement.,Pre-HS baseline / other,a weak hidden lifestyle-state signal while rejecting it as current frontier replacement.,analysis_outputs/public_probe_observations.csv,E368,18,0.5761589494,0.00013147960000003955,False,10,0.5762904290,+0.0001314796
submission_h010_objective_s1s4_v2_uploadsafe.csv,0.5781718175,H010 objective mobility S1/S4 route jackpot; changed only S1/S4 and failed public strongly; the S1/S4 route action is now a public-bad anchor for future action-health gates.,Pre-HS baseline / other,H010 objective mobility S1/S4 route jackpot; changed only S1/S4 and failed public strongly; the S1/S4 route action is now a public-bad ancho,analysis_outputs/public_probe_observations.csv,H010,19,0.5761589494,0.0020128681000000093,False,21,0.5781718175,+0.0020128681
submission_h012_public_equation_top_all_k1200_a0.7_uploadsafe.csv,0.5681234831,H012 public-equation HS-JEPA jackpot; improves over E247 by 0.0080354663 and validates direct hidden public-state posterior materialization as the current frontier while creating a new private-overfit risk axis.,HS-JEPA public equation,direct hidden public-state posterior materialization as the current frontier while creating a new private-overfit risk axis.,analysis_outputs/public_probe_observations.csv,H012,20,0.5681234831,-0.00803546629999996,True,6,0.5681234831,-0.0080354663
submission_h042_target_Q2_phase_k45_s0.5_c45_50fc6607_uploadsafe.csv,0.5679048248,H042 Q2 phase route. README/lb log records H042 as the first post-H012 Q2-support improvement.,HS-JEPA public equation,Q2 changed rows are a public-visible state marker.,README.md and lb_observation_log.md,H042,21,0.5679048248,-0.00021865830000000752,True,2,0.5679048248,-0.0002186583
submission_h050_target_route_phase_b140216b_uploadsafe.csv,0.5679048248,H050 tied H042 despite adding Q1/Q3 route cells; the target route was plausible but row placement was not.,HS-JEPA target route stress,Subjective Q route alone is not enough unless row support is correct.,README.md and lb_observation_log.md,H050,22,0.5679048248,0.0,False,2,0.5679048248,+0.0000000000
submission_h057_q2row_fullvector_state_7cde1a77_uploadsafe.csv,0.5677475939,Current best. H057 freezes Q2 and moves Q1/Q3/S1-S4 on the 45 H042 Q2-support rows.,HS-JEPA row-state decoder,H042 Q2-support rows encode a complete hidden human-state vector.,"README.md, lb_observation_log.md, hs_jepa_end_to_end_report.md",H057,23,0.5677475939,-0.00015723090000008266,True,1,0.5677475939,-0.0001572309
submission_h088_dual_state_gate_c31cc15b_uploadsafe.csv,0.5684942019,Negative sensor. Dual-head Pareto gate looked coherent locally but public punished the broad action field.,HS-JEPA action toxicity stress,"H018/hard-world is a stress diagnostic, not an action-grade private head.",lb_observation_log.md and h088_report.md,H088,24,0.5677475939,0.0007466080000000375,False,7,0.5684942019,+0.0007466080
submission_h144_targetxor_def80b88_uploadsafe.csv,0.567929641,"H144 target-split XOR tie sensor. Public tied H145, so the branch distinction did not explain the loss.",HS-JEPA target assignment stress,The common H141/H144/H145 body is below H057; row135/row207 split is not the decisive axis.,lb_observation_log.md and h144_report.md,H144,25,0.5677475939,0.00018204710000002677,False,4,0.5679296410,+0.0001820471
submission_h145_q3repair_2d818e46_uploadsafe.csv,0.567929641,H145 Q3 repair-only veto tied H144 exactly at displayed precision.,HS-JEPA target assignment stress,Q3-only repair versus S2 relief is underidentified; the shared body is the public-loss source.,lb_observation_log.md and h145_report.md,H145,26,0.5677475939,0.00018204710000002677,False,4,0.5679296410,+0.0001820471
