row,flat_idx,target,q1_shadow_pressure,sign,shadow_step,old_route_energy,new_route_energy,route_energy_delta,coef,public_delta_estimate,public_utility,h088_same_direction,stage_action_count,source_solver_score,solver_score
112,784,Q1,0.4583288812020203,1,0.08,0.7144522099794953,0.7152155301771224,0.0007633201976270376,0.0,0.0,-0.0,0.0,2,0.0019767007469871736,0.004558629603753428
112,784,Q1,0.4583288812020203,1,0.13,0.7144522099794953,0.715808885108287,0.0013566751287916734,0.0,0.0,-0.0,0.0,2,0.0019767007469871736,0.004538692878066296
218,1526,Q1,0.41781312861215886,1,0.08,0.7183238699755362,0.7199009792969913,0.0015771093214550502,0.0,0.0,-0.0,0.0,2,0.0020921236592121163,0.0041261864747503055
193,1351,Q1,0.3992650047387992,1,0.42,0.732473316666398,0.7294959498956065,-0.002977366770791523,0.0,0.0,-0.0,0.0,2,0.002083639227961355,0.004118741271375217
193,1351,Q1,0.3992650047387992,1,0.3,0.732473316666398,0.7296724983289319,-0.002800818337466149,0.0,0.0,-0.0,0.0,2,0.002083639227961355,0.004111326237175552
193,1351,Q1,0.3992650047387992,1,0.2,0.732473316666398,0.7302352289035569,-0.002238087762841179,0.0,0.0,-0.0,0.0,2,0.002083639227961355,0.004087691553041303
193,1351,Q1,0.3992650047387992,1,0.13,0.732473316666398,0.7308514920993096,-0.0016218245670884812,0.0,0.0,-0.0,0.0,2,0.002083639227961355,0.00406180849881969
193,1351,Q1,0.3992650047387992,1,0.08,0.732473316666398,0.7314024466015125,-0.0010708700648854874,0.0,0.0,-0.0,0.0,2,0.002083639227961355,0.004038668409727164
159,1113,Q1,0.3707500954391134,1,0.42,0.6427097202838166,0.6355563689249715,-0.007153351358845095,0.0,0.0,-0.0,0.0,2,0.0008786847092900338,0.004008381053817274
159,1113,Q1,0.3707500954391134,1,0.3,0.6427097202838166,0.6368385373153397,-0.005871182968476885,0.0,0.0,-0.0,0.0,2,0.0008786847092900338,0.0039545299814218084
200,1400,Q1,0.392017817907658,1,0.08,0.7238798628143933,0.7246439206223675,0.0007640578079741722,0.0,0.0,-0.0,0.0,2,0.001370046636518263,0.0038951908600469067
159,1113,Q1,0.3707500954391134,1,0.2,0.6427097202838166,0.6383760587972084,-0.004333661486608187,0.0,0.0,-0.0,0.0,2,0.0008786847092900338,0.0038899540791833232
200,1400,Q1,0.392017817907658,1,0.13,0.7238798628143933,0.72524463853885,0.0013647757244567016,0.0,0.0,-0.0,0.0,2,0.001370046636518263,0.0038750067380530938
159,1113,Q1,0.3707500954391134,1,0.13,0.6427097202838166,0.639703811905327,-0.0030059083784895746,0.0,0.0,-0.0,0.0,2,0.0008786847092900338,0.0038341884486423413
159,1113,Q1,0.3707500954391134,1,0.08,0.6427097202838166,0.6407775561525872,-0.0019321641312293192,0.0,0.0,-0.0,0.0,2,0.0008786847092900338,0.0037890911902574106
130,910,Q1,0.035856862775553305,1,0.42,0.8621830014518469,0.8098795033629033,-0.052303498088943634,0.0,0.0,-0.0,0.0,2,0.0018603982918451876,0.002556245746637088
109,763,Q1,-0.20729816549959368,-1,-0.42,0.7076427553293484,0.6976109718785389,-0.010031783450809462,0.0,-0.0,0.0,0.0,2,0.0019512148317096028,0.002495292167345789
109,763,Q1,-0.20729816549959368,-1,-0.3,0.7076427553293484,0.6997958144819457,-0.007846940847402673,0.0,-0.0,0.0,0.0,2,0.0019512148317096028,0.0024035287780027038
109,763,Q1,-0.20729816549959368,-1,-0.2,0.7076427553293484,0.7020355480360697,-0.005607207293278682,0.0,-0.0,0.0,0.0,2,0.0019512148317096028,0.002309459968729496
182,1274,Q1,-0.19637334113301028,-1,-0.42,0.7463834828666612,0.7383865201849992,-0.007996962681662056,0.0,-0.0,0.0,0.0,2,0.006022042179743777,0.0023026168650497813
182,1274,Q1,-0.19637334113301028,-1,-0.3,0.7463834828666612,0.7399986923877645,-0.006384790478896729,0.0,-0.0,0.0,0.0,2,0.006022042179743777,0.002234905632533637
109,763,Q1,-0.20729816549959368,-1,-0.13,0.7076427553293484,0.7038283966738017,-0.00381435865554669,0.0,-0.0,0.0,0.0,2,0.0019512148317096028,0.0022341603259447523
109,763,Q1,-0.20729816549959368,-1,-0.08,0.7076427553293484,0.7052213994222224,-0.0024213559071259994,0.0,-0.0,0.0,0.0,2,0.0019512148317096028,0.0021756542105110833
182,1274,Q1,-0.19637334113301028,-1,-0.2,0.7463834828666612,0.741754006013052,-0.00462947685360926,0.0,-0.0,0.0,0.0,2,0.006022042179743777,0.0021611824602715637
182,1274,Q1,-0.19637334113301028,-1,-0.13,0.7463834828666612,0.7432052974313809,-0.0031781854352803673,0.0,-0.0,0.0,0.0,2,0.006022042179743777,0.0021002282207017503
182,1274,Q1,-0.19637334113301028,-1,-0.08,0.7463834828666612,0.7443536796766643,-0.002029803189996904,0.0,-0.0,0.0,0.0,2,0.006022042179743777,0.002051996166399845
130,910,Q1,0.035856862775553305,1,0.3,0.8621830014518469,0.8239587788883791,-0.0382242225634678,0.0,0.0,-0.0,0.0,2,0.0018603982918451876,0.0019649161745671035
17,119,Q1,0.44477765322393814,1,0.08,0.6095711854111435,0.6100538605483049,0.00048267513716138133,0.0,0.0,-0.0,0.03973057698352289,2,0.0015103441008396026,0.0018895568927357136
5,35,Q1,0.13098778722209117,1,0.42,0.6686844566678841,0.6582095279653377,-0.010474928702546404,0.0,0.0,-0.0,0.0,2,0.0024856430886069573,0.0017510676992721643
5,35,Q1,0.13098778722209117,1,0.3,0.6686844566678841,0.6608122269071949,-0.007872229760689242,0.0,0.0,-0.0,0.0,2,0.0024856430886069573,0.0016417543437141633
5,35,Q1,0.13098778722209117,1,0.2,0.6686844566678841,0.6632297607116004,-0.005454695956283673,0.0,0.0,-0.0,0.0,2,0.0024856430886069573,0.0015402179239291296
5,35,Q1,0.13098778722209117,1,0.13,0.6686844566678841,0.6650484621703024,-0.003635994497581674,0.0,0.0,-0.0,0.0,2,0.0024856430886069573,0.0014638324626636454
189,1323,Q1,0.13743024500712975,1,0.42,0.7291200464661631,0.7270982022473216,-0.002021844218841551,0.0,0.0,-0.0,0.0,2,0.0008691297697229916,0.0014596544721475042
189,1323,Q1,0.13743024500712975,1,0.3,0.7291200464661631,0.727101385317936,-0.00201866114822713,0.0,0.0,-0.0,0.0,2,0.0008691297697229916,0.0014595207831816985
130,910,Q1,0.035856862775553305,1,0.2,0.8621830014518469,0.8362678165288695,-0.025915184922977397,0.0,0.0,-0.0,0.0,2,0.0018603982918451876,0.0014479365936665065
189,1323,Q1,0.13743024500712975,1,0.2,0.7291200464661631,0.7274631322878469,-0.00165691417831626,0.0,0.0,-0.0,0.0,2,0.0008691297697229916,0.0014443274104454418
189,1323,Q1,0.13743024500712975,1,0.13,0.7291200464661631,0.7279045019099363,-0.0012155445562268552,0.0,0.0,-0.0,0.0,2,0.0008691297697229916,0.0014257898863176868
189,1323,Q1,0.13743024500712975,1,0.08,0.7291200464661631,0.7283120953318976,-0.0008079511342655721,0.0,0.0,-0.0,0.0,2,0.0008691297697229916,0.001408670962595313
5,35,Q1,0.13098778722209117,1,0.08,0.6686844566678841,0.6664082483773024,-0.002276208290581727,0.0,0.0,-0.0,0.0,2,0.0024856430886069573,0.0014067214419696478
