row,flat_idx,target,q1_shadow_pressure,sign,shadow_step,old_route_energy,new_route_energy,route_energy_delta,coef,public_delta_estimate,public_utility,h088_same_direction,stage_action_count,source_solver_score,solver_score
112,784,Q1,0.4583288812020203,1,0.08,0.7144522099794953,0.7152155301771224,0.0007633201976270376,0.0,0.0,-0.0,0.0,2,0.0019767007469871736,0.004558629603753428
218,1526,Q1,0.41781312861215886,1,0.08,0.7183238699755362,0.7199009792969913,0.0015771093214550502,0.0,0.0,-0.0,0.0,2,0.0020921236592121163,0.0041261864747503055
193,1351,Q1,0.3992650047387992,1,0.42,0.732473316666398,0.7294959498956065,-0.002977366770791523,0.0,0.0,-0.0,0.0,2,0.002083639227961355,0.004118741271375217
159,1113,Q1,0.3707500954391134,1,0.42,0.6427097202838166,0.6355563689249715,-0.007153351358845095,0.0,0.0,-0.0,0.0,2,0.0008786847092900338,0.004008381053817274
200,1400,Q1,0.392017817907658,1,0.08,0.7238798628143933,0.7246439206223675,0.0007640578079741722,0.0,0.0,-0.0,0.0,2,0.001370046636518263,0.0038951908600469067
130,910,Q1,0.035856862775553305,1,0.42,0.8621830014518469,0.8098795033629033,-0.052303498088943634,0.0,0.0,-0.0,0.0,2,0.0018603982918451876,0.002556245746637088
109,763,Q1,-0.20729816549959368,-1,-0.42,0.7076427553293484,0.6976109718785389,-0.010031783450809462,0.0,-0.0,0.0,0.0,2,0.0019512148317096028,0.002495292167345789
182,1274,Q1,-0.19637334113301028,-1,-0.42,0.7463834828666612,0.7383865201849992,-0.007996962681662056,0.0,-0.0,0.0,0.0,2,0.006022042179743777,0.0023026168650497813
17,119,Q1,0.44477765322393814,1,0.08,0.6095711854111435,0.6100538605483049,0.00048267513716138133,0.0,0.0,-0.0,0.03973057698352289,2,0.0015103441008396026,0.0018895568927357136
5,35,Q1,0.13098778722209117,1,0.42,0.6686844566678841,0.6582095279653377,-0.010474928702546404,0.0,0.0,-0.0,0.0,2,0.0024856430886069573,0.0017510676992721643
189,1323,Q1,0.13743024500712975,1,0.42,0.7291200464661631,0.7270982022473216,-0.002021844218841551,0.0,0.0,-0.0,0.0,2,0.0008691297697229916,0.0014596544721475042
23,161,Q1,0.08052151284184052,1,0.42,0.6757097315233876,0.6678454026072492,-0.007864328916138419,0.0,0.0,-0.0,0.0,2,0.001512027964386988,0.0011362729568784122
234,1638,Q1,-0.0903072946081582,-1,-0.42,0.6991886903563556,0.6963584396908784,-0.002830250665477152,0.0,-0.0,0.0,0.0,2,0.003097440402053891,0.0010234921942326493
94,658,Q1,0.06917061477411726,1,0.42,0.6511274649925729,0.6451643764978414,-0.005963088494731483,0.0,0.0,-0.0,0.0,2,0.0008080048436473768,0.0009425598669417186
95,665,Q1,-0.06707681024495607,-1,-0.08,0.5994279333239781,0.5977814058244729,-0.0016465274995052237,0.0,-0.0,0.0,0.0026405691861541847,2,0.0012122654246195788,0.0005715319622272222
129,903,Q1,0.11033193590525013,1,0.08,0.8254013202074882,0.8149323831174746,-0.01046893709001362,0.0,0.0,-0.0,0.015376458625538603,2,0.001124469752759209,0.0005594835996749821
184,1288,Q1,0.40548461022351273,1,0.08,0.6486228246480952,0.6472469116374054,-0.0013759130106897333,0.0,0.0,-0.0,0.05702608322751482,2,0.003091997187846317,0.00046451112071707075
137,959,Q1,0.0482963487419292,1,0.08,0.9461857241294158,0.9352221215890383,-0.010963602540377537,0.0,0.0,-0.0,0.010706595229312166,2,0.0012562795874613,0.0002588408392329006
