source,feature,probe,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
full__cls_plus_all_groups__transformer_logreg_c0p1_w0p1,full__cls_plus_all_groups,transformer_logreg_c0p1_w0p1,0.6228426122551511,0.670723287828888,0.690625759449591,0.6686938593682171,0.5733813106936294,0.5786844088524851,0.5262353500628563,0.6515543095303911
full__cls_plus_all_groups__abs_plus_subrel_train__transformer_logreg_c0p1_w0p1,full__cls_plus_all_groups__abs_plus_subrel_train,transformer_logreg_c0p1_w0p1,0.6235831096644601,0.6707326775067753,0.6938167413894145,0.66846047981588,0.5747605423838185,0.5802774965712744,0.5262208624382864,0.6508129675457714
no_sleep__cls_plus_behavior__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_behavior,transformer_logreg_c0p1_w0p1,0.6237291002138327,0.670726985919353,0.6908332954217737,0.6709168558033316,0.5716327801552185,0.5773146091190958,0.5319606346286386,0.6527185404494169
full__cls_plus_all_groups__subrel_train__transformer_ridge_resid_a5_w0p1,full__cls_plus_all_groups__subrel_train,transformer_ridge_resid_a5_w0p1,0.6237352773138334,0.6664708309732328,0.6968302959030684,0.6593967451692085,0.5682050469469591,0.5879020175665798,0.5271916600866681,0.6601503445511167
full__all_groups__subrel_train__transformer_ridge_resid_a5_w0p1,full__all_groups__subrel_train,transformer_ridge_resid_a5_w0p1,0.6239799833229355,0.670711132664896,0.6974210529983202,0.6598087617663684,0.5708818390120586,0.5853842218921272,0.5266606447604649,0.6569922301663133
full__cls_plus_physio__transformer_logreg_c0p1_w0p1,full__cls_plus_physio,transformer_logreg_c0p1_w0p1,0.6240028212360903,0.6696116626104218,0.6986001872538977,0.6722490139547167,0.5726550127226222,0.5765794869373834,0.530236458104863,0.648087927068727
full__all_groups__transformer_logreg_c0p1_w0p1,full__all_groups,transformer_logreg_c0p1_w0p1,0.624214338978749,0.6734488267172437,0.6920112097037276,0.6697383457492364,0.5764202892705651,0.5793809977111426,0.5278040774316457,0.6506966262676818
full__cls_plus_physio__subrel_train__transformer_ridge_resid_a5_w0p1,full__cls_plus_physio__subrel_train,transformer_ridge_resid_a5_w0p1,0.6242265314650093,0.6645058349783899,0.7016321479997437,0.6734861278830041,0.5675385834837964,0.5829659350549885,0.5297431529992288,0.6497139378559136
full__cls_plus_behavior__transformer_logreg_c0p1_w0p1,full__cls_plus_behavior,transformer_logreg_c0p1_w0p1,0.6243594805249592,0.6737867591214508,0.6921782129203427,0.6713686360314758,0.575465814488701,0.5784265435267518,0.53068833267679,0.6486020649092011
only_cross_modal__cls_plus_mobility__transformer_logreg_c0p1_w0p1,only_cross_modal__cls_plus_mobility,transformer_logreg_c0p1_w0p1,0.6243821480777798,0.6733198567963109,0.6934867680265389,0.6739034235555381,0.5747028715507443,0.5760641780565299,0.5316264487344883,0.6475714898243076
full__cls_plus_physio__abs_plus_subrel_train__transformer_ridge_resid_a5_w0p1,full__cls_plus_physio__abs_plus_subrel_train,transformer_ridge_resid_a5_w0p1,0.6243893399134199,0.6627144043880686,0.7053328825855512,0.6760630160930338,0.5644987518397367,0.5811179902374545,0.5292249515868358,0.6517733826632589
full__all_groups__abs_plus_subrel_train__transformer_logreg_c0p1_w0p1,full__all_groups__abs_plus_subrel_train,transformer_logreg_c0p1_w0p1,0.6244884972686314,0.6754783118342514,0.6950324018980046,0.6682288112259089,0.5753366460038858,0.5802375749408576,0.5262694806505097,0.6508362543270028
no_sleep__cls_plus_event__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_event,transformer_logreg_c0p1_w0p1,0.6245127570149488,0.6738096103131006,0.6922480495576108,0.6726755385879861,0.5757748677869102,0.5771421146291239,0.5313039593802754,0.648635158849634
only_event__cls__abs_plus_subrel_train__transformer_ridge_resid_a5_w0p1,only_event__cls__abs_plus_subrel_train,transformer_ridge_resid_a5_w0p1,0.6245789780237215,0.6713443349332437,0.697020651624673,0.6754375972303817,0.5699829955345429,0.5793645236033484,0.5350850662928303,0.6438176769470311
only_event__cls__transformer_ridge_resid_a5_w0p1,only_event__cls,transformer_ridge_resid_a5_w0p1,0.6245913637540513,0.6723935526243786,0.6959959179375953,0.6741212719585229,0.5726534723850213,0.5773566814613693,0.5337108146778983,0.6459078352335739
no_sleep__cls_plus_behavior__abs_plus_subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_behavior__abs_plus_subrel_train,transformer_logreg_c0p1_w0p1,0.6246061176486523,0.6708279721848007,0.6937031331076307,0.6706709696660118,0.5721338324430566,0.5796919433628404,0.5336245097151063,0.6515904630611189
no_sleep__cls_plus_all_groups__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_all_groups,transformer_logreg_c0p1_w0p1,0.6247080574642776,0.678289809530045,0.6883748060415652,0.6754389534923287,0.5710580251613733,0.5807141603914121,0.5304868558002112,0.6485937918330071
only_cross_modal__cls_plus_behavior__transformer_logreg_c0p1_w0p1,only_cross_modal__cls_plus_behavior,transformer_logreg_c0p1_w0p1,0.6247588692635625,0.6768212741219242,0.6909235132491441,0.6685641375784923,0.575898811271549,0.5781296644074789,0.5309994111376507,0.6519752730786988
no_sleep__cls_plus_phone__abs_plus_subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_phone__abs_plus_subrel_train,transformer_logreg_c0p1_w0p1,0.6247723584050465,0.670099265281725,0.6933431488656541,0.6739828249141531,0.5714174188495293,0.5802168407608752,0.5351657747999664,0.6491812353634222
only_cross_modal__cls_plus_all_groups__transformer_logreg_c0p1_w0p1,only_cross_modal__cls_plus_all_groups,transformer_logreg_c0p1_w0p1,0.6248451642326146,0.6779129168467567,0.6906203028134175,0.6691074680056893,0.574778979900461,0.5783812063398909,0.5312959529248454,0.6518193227972411
no_sleep__behavior__transformer_logreg_c0p1_w0p1,no_sleep__behavior,transformer_logreg_c0p1_w0p1,0.624885650599216,0.6744291113290409,0.6910226380419641,0.6721012368962946,0.5728328713598446,0.5789824112343128,0.5336944699007068,0.6511368154323478
full__cls_plus_behavior__abs_plus_subrel_train__transformer_logreg_c0p1_w0p1,full__cls_plus_behavior__abs_plus_subrel_train,transformer_logreg_c0p1_w0p1,0.6248954426187873,0.6726760804713422,0.6945614722527378,0.6728263872162908,0.5733978588472931,0.5810677557875485,0.5325102685074229,0.6472282752488756
full__cls_plus_body__transformer_logreg_c0p1_w0p1,full__cls_plus_body,transformer_logreg_c0p1_w0p1,0.6249053905657939,0.6718274353793415,0.6961995213089796,0.6727401418356133,0.5766568693665929,0.5758574619922732,0.5320099402329096,0.6490463638448465
only_event__cls__subrel_train__transformer_ridge_resid_a5_w0p1,only_event__cls__subrel_train,transformer_ridge_resid_a5_w0p1,0.6249248277990382,0.6719030106220859,0.6968678781362112,0.6748059404206348,0.5718702227923657,0.5798099142909049,0.5350150349176604,0.6442017934134048
no_sleep__cls_plus_event__subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_event__subrel_train,transformer_logreg_c0p1_w0p1,0.6249257763791384,0.6725382160609165,0.6890422403062189,0.6708803545536254,0.5763572479398463,0.5800991236339879,0.537991585017905,0.6475716671414691
no_sleep__cls_plus_phone__transformer_ridge_resid_a5_w0p1,no_sleep__cls_plus_phone,transformer_ridge_resid_a5_w0p1,0.6249674868975144,0.6689064421312044,0.6934836767000171,0.6743360040835431,0.5720613599614367,0.578534116201327,0.5357676083972596,0.6516832008078125
no_sleep__cls_plus_all_groups__abs_plus_subrel_train__transformer_logreg_c0p1_w0p1,no_sleep__cls_plus_all_groups__abs_plus_subrel_train,transformer_logreg_c0p1_w0p1,0.6249940792678158,0.6797880898957672,0.69020395915908,0.6747674705508717,0.5715332905293781,0.5813795932847043,0.5310762678696324,0.6462098835852776
only_event__cls_plus_event__transformer_logreg_c0p1_w0p1,only_event__cls_plus_event,transformer_logreg_c0p1_w0p1,0.6250015251769729,0.6735294272502031,0.69279339894929,0.6699113628080539,0.5766539482735515,0.5798190104732643,0.533524285688557,0.6487792427958903
only_event__cls_plus_all_groups__transformer_logreg_c0p1_w0p1,only_event__cls_plus_all_groups,transformer_logreg_c0p1_w0p1,0.6250015251769729,0.6735294272502031,0.69279339894929,0.6699113628080539,0.5766539482735515,0.5798190104732643,0.533524285688557,0.6487792427958903
