numeric_features,categorical_features
row,route_name
n_cells,value_mode
q2_cells,family_top
s_cells,lifestyle_head
route_score,human_best_family
assignment_route_score,
outside_h069_cells,
outside_h070_cells,
mean_shortcut_energy,
mean_public_score,
mean_invariant_score,
mean_h082_cell,
mean_h076_hit,
mean_h071_hit,
assignment_rank,
route_score_rank,
outside_rank,
shortcut_avoid_rank,
h082_rank,
scale_rank,
mode_bonus,
source_positive_penalty,
family_badnight_aftereffect,
family_nocturnal_awake,
family_bedtime_arousal,
family_social_load,
family_routine_pressure,
family_recovery_rest,
family_cashflow_stress,
family_measurement_confidence,
family_weekend_rhythm,
family_body_fatigue,
family_isolation_cocoon,
family_routine_anchor,
arousal_pressure,
recovery_pressure,
routine_calendar_pressure,
objective_measure_pressure,
prev_state_delta,
next_state_delta,
two_sided_state_delta,
state_acceleration,
subject_state_novelty,
transition_energy_raw,
calendar_shock_score,
social_arousal_score,
public_transition_score,
private_stable_score,
objective_body_score,
calendar_q2_score,
lifestyle_head_score,
lifestyle_head_margin,
human_route_support,
human_route_support_rank,
has_q2,
has_q,
is_objective_route,
is_full_state_route,
is_recovery_route,
public_head_score,
private_head_score,
objective_head_score,
calendar_q2_head_score,
outside_h088_row,
outside_h087_row,
white_space_rank,
