fold,target,feature,family,loss
1,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6635470771115891
1,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.7222653180477093
1,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.6907493321055692
1,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.5684813635006374
1,S2,full__cls_plus_body,logreg,0.5947317266916404
1,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.493489202401492
1,S4,only_event__cls__abs_plus_subrel_train,ridge,0.6818066878353162
2,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6792605715080056
2,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.6498273195189108
2,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.7033604158969178
2,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.57195493379703
2,S2,full__cls_plus_body,logreg,0.5367939478951509
2,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.5345732447330453
2,S4,only_event__cls__abs_plus_subrel_train,ridge,0.600968163098156
3,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6781642391243579
3,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.7392068830839827
3,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.664805729225252
3,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.5898852943298877
3,S2,full__cls_plus_body,logreg,0.5415556118578734
3,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.5589680545302925
3,S4,only_event__cls__abs_plus_subrel_train,ridge,0.6317078465541787
4,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6670225770131462
4,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.6652613667107472
4,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.6174547880395769
4,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6126051026995395
4,S2,full__cls_plus_body,logreg,0.5807487217477248
4,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.4959522030134053
4,S4,only_event__cls__abs_plus_subrel_train,ridge,0.6788845286346415
5,Q1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.6766806002902412
5,Q2,only_cross_modal__cls_plus_all_groups__subrel_train,logreg,0.6804727193411393
5,Q3,full__cls_plus_all_groups__subrel_train,ridge,0.7106990363988894
5,S1,full__cls_plus_physio__abs_plus_subrel_train,ridge,0.5321879922452926
5,S2,full__cls_plus_body,logreg,0.6348628199312318
5,S3,full__cls_plus_all_groups__abs_plus_subrel_train,logreg,0.5962024002846492
5,S4,only_event__cls__abs_plus_subrel_train,ridge,0.6452390578348174
