candidate_id,row,subject_id,sleep_date,route_id,route_name,target,target_index,flat_index,value_mode,applied_logit_move,old_prob,new_prob,prob_delta,h085_q,q_hard,source_mean_move,source_action_delta,h082_cell,h086_resp_weight,h080_bad_same_rank,value_law_score
h090_white_mixed_c760_r175_q105_6748b5dc,87,id04,2024-09-20,r087_q3_s_stage,q3_s_stage,Q3,2,611,hard_binary_edge,-0.10472950176415707,0.5262087064141104,0.50005037417281,-0.026158332241300486,0.402804564604696,0.419631020310157,-0.4072494561356441,-3.989143441440897e-06,1.0,0.0010115451373047,0.1785714285714285,0.9507134071340714
h090_white_mixed_c760_r175_q105_6748b5dc,87,id04,2024-09-20,r087_q3_s_stage,q3_s_stage,S1,3,612,hard_binary_edge,-0.04157539429428479,0.8996670226222974,0.8958513133995958,-0.00381570922270158,0.8940809034107596,0.8970743440146847,-0.039185926670937,-1.929267689898693e-06,1.0,0.0005688420274668,0.5845714285714285,0.9507134071340714
h090_white_mixed_c760_r175_q105_6748b5dc,87,id04,2024-09-20,r087_q3_s_stage,q3_s_stage,S2,4,613,hard_binary_edge,0.012434648901403155,0.6773982515353408,0.6801095778139362,0.002711326278595383,0.7061684956427341,0.6884327538522993,0.0877332832734889,7.771612405456098e-06,0.0,0.0005649102328205,0.1785714285714285,0.9507134071340714
h090_white_mixed_c760_r175_q105_6748b5dc,87,id04,2024-09-20,r087_q3_s_stage,q3_s_stage,S3,5,614,hard_binary_edge,-0.0009830740075211773,0.4878373866996912,0.4875917665797248,-0.0002456201199663721,0.4542607612729812,0.4868307854347649,-0.087664815211758,2.151219632602467e-06,0.0,0.0005642515327343,0.812,0.9507134071340714
h090_white_mixed_c760_r175_q105_6748b5dc,87,id04,2024-09-20,r087_q3_s_stage,q3_s_stage,S4,6,615,hard_binary_edge,0.017251971411594295,0.4057548178150629,0.4099212469176176,0.004166429102554714,0.4188686924077293,0.4229101770192881,0.0351804525843573,-1.3702387178385173e-07,1.0,0.0005679398397428,0.388,0.9507134071340714
h090_white_mixed_c760_r175_q105_6748b5dc,158,id07,2024-07-20,r158_q2_s3_tail,q2_s3_tail,Q2,1,1107,triad_consensus,-0.06416704690999064,0.3439340829685295,0.3296036363638207,-0.014330446604708835,0.2981349301064125,0.3571081168641613,-0.1928833310589185,-9.535505532935688e-07,1.0,0.000621997965134,0.1785714285714285,0.6819854448544486
h090_white_mixed_c760_r175_q105_6748b5dc,158,id07,2024-07-20,r158_q2_s3_tail,q2_s3_tail,S3,5,1111,triad_consensus,-0.1931591254040568,0.8308105654703133,0.8019018624398367,-0.028908703030476546,0.8291056116360644,0.8098958621662218,-0.3696,-0.0001788589538169,1.0,0.0005621191364633,0.5834285714285714,0.6819854448544486
h090_white_mixed_c760_r175_q105_6748b5dc,203,id09,2024-08-08,r203_q_subjective,q_subjective,Q1,0,1421,source_mean,0.0,0.2707906174560809,0.2707906174560809,0.0,0.2733055356340441,0.2981455865320302,0.0,0.0,0.0,0.000553641972068,0.5565714285714286,0.3282277572775727
h090_white_mixed_c760_r175_q105_6748b5dc,203,id09,2024-08-08,r203_q_subjective,q_subjective,Q2,1,1422,source_mean,-0.32122232470093454,0.3613005920532577,0.29091464864851224,-0.07038594340474547,0.304262363993656,0.3867029229708931,-0.2632969874597824,-6.727800315590573e-06,1.0,0.0006686662311459,0.1785714285714285,0.3282277572775727
h090_white_mixed_c760_r175_q105_6748b5dc,203,id09,2024-08-08,r203_q_subjective,q_subjective,Q3,2,1423,source_mean,0.0,0.4851038722023089,0.48510387220230883,-5.551115123125783e-17,0.4888103860439563,0.5029386750643167,0.0,0.0,0.0,0.0005568824064983,0.8874285714285715,0.3282277572775727
