row,subject_id,sleep_date,lifelog_date,target,current_prob,listener_prob,candidate_prob,delta_vs_current_best,applied_logit_step,planner,selected_rank,solver_score,no_cohort_score,cohort_score,known_bad_same_direction,listener_gain,row_state_route,current_best_action_cell
58,id02,2024-10-16,2024-10-15,S2,0.9726349169390828,0.9948943324142718,0.985539108442933,0.012904191503850249,0.651,no_cohort_equation_hsjepa,1,0.8416565714285713,0.8663085714285713,,0.0,0.008559579300819298,False,False
49,id02,2024-10-06,2024-10-05,S3,0.8893971874862591,0.9222825440387216,0.910998324724383,0.021601137238123957,0.24128746799314219,no_cohort_equation_hsjepa,2,0.8098100952380952,0.8490057142857143,,0.0,0.003598476342577206,False,False
49,id02,2024-10-06,2024-10-05,S2,0.9689341030608232,0.9844926138772482,0.9797815648877851,0.010847461826961946,0.44064888791627005,no_cohort_equation_hsjepa,3,0.8060002666666667,0.8437142857142857,,0.0,0.0030075687199256212,False,False
7,id01,2024-08-09,2024-08-08,Q1,0.1466324541766752,0.1816249515641152,0.16761674076167296,0.020984286584997763,0.15864828210171436,no_cohort_equation_hsjepa,4,0.7977499047619047,0.8260342857142856,,0.0,0.002621408308323081,False,False
115,id05,2024-10-14,2024-10-13,S2,0.2652628884425128,0.2258205689785951,0.24030287143571263,-0.024960017006800145,-0.13222834897890426,no_cohort_equation_hsjepa,5,0.7895558095238095,0.8182171428571429,,0.0,0.0024075807374724922,False,False
45,id02,2024-10-01,2024-09-30,S2,0.9427014993868272,0.9645241559262308,0.9573811915301136,0.01467969214328635,0.31143072933279303,no_cohort_equation_hsjepa,6,0.788048,0.8313371428571429,,0.0,0.003043711643472058,False,False
43,id02,2024-09-29,2024-09-28,S3,0.8894638782292077,0.9150685691189308,0.9060422766582629,0.016578398429055174,0.18096450269984043,no_cohort_equation_hsjepa,7,0.7848799047619046,0.8239428571428571,,0.0,0.002116102669402098,False,False
33,id02,2024-09-01,2024-08-31,S3,0.9359815346982728,0.9548631317034848,0.9484110124671963,0.012429477768923447,0.22905554963628666,no_cohort_equation_hsjepa,8,0.7818138095238096,0.8135885714285715,,0.0,0.0019589495868759244,False,False
223,id09,2024-09-16,2024-09-15,S2,0.8532148436816959,0.8829249199877449,0.8723032773331074,0.01908843365141155,0.1614376721218296,no_cohort_equation_hsjepa,9,0.7813371428571428,0.81696,,0.0,0.002198588945754587,False,False
29,id02,2024-08-28,2024-08-27,S2,0.9634548795958066,0.9788193988533608,0.9739152572202447,0.010460377624438189,0.34799573491318636,no_cohort_equation_hsjepa,10,0.7765280952380951,0.8372799999999999,,0.0,0.002378498803972645,False,False
198,id08,2024-09-15,2024-09-14,S3,0.6281922993635439,0.674362249994613,0.6571562884968547,0.028963989133310775,0.12617763856957204,no_cohort_equation_hsjepa,11,0.768575238095238,0.7952,,0.0,0.0026998457249696184,False,False
65,id03,2024-08-24,2024-08-23,S2,0.4372519242529011,0.397916138401852,0.4127377801021059,-0.024514144150795225,-0.10033640998279782,no_cohort_equation_hsjepa,12,0.7497679999999999,0.7724571428571428,,0.0,0.0018343072236619573,False,False
46,id02,2024-10-03,2024-10-02,Q3,0.6754721905264509,0.7117980711152058,0.698279398195003,0.022807207668552043,0.10607712115293781,no_cohort_equation_hsjepa,13,0.7425781904761904,0.7773371428571428,,0.0,0.0017850348796184523,False,False
77,id03,2024-10-05,2024-10-04,S2,0.5709790611049622,0.5215359806348814,0.5404275750200365,-0.03055148608492575,-0.12378272653288491,no_cohort_equation_hsjepa,14,0.738255238095238,0.7784228571428571,,0.0,0.0028550334625164764,False,False
18,id01,2024-09-07,2024-09-06,S1,0.95752041923042,0.9824759257856208,0.975403644318971,0.017883225088551002,0.5649295521839538,no_cohort_equation_hsjepa,15,0.729867238095238,0.7804685714285714,,0.0,0.006078654078247314,False,False
