row,subject_id,sleep_date,lifelog_date,target,current_prob,listener_prob,candidate_prob,delta_vs_current_best,applied_logit_step,planner,selected_rank,solver_score,no_cohort_score,cohort_score,known_bad_same_direction,listener_gain,row_state_route,current_best_action_cell
115,id05,2024-10-14,2024-10-13,S2,0.2652628884425128,0.2258205689785951,0.24030287143571263,-0.024960017006800145,-0.13222834897890426,with_cohort_atlas_hsjepa,1,1.0859216190476189,0.8182171428571429,1.0814105714285713,0.0,0.0024075807374724922,False,False
49,id02,2024-10-06,2024-10-05,S2,0.9689341030608232,0.9844926138772482,0.9797815648877851,0.010847461826961946,0.44064888791627005,with_cohort_atlas_hsjepa,2,1.0773505523809523,0.8437142857142857,1.0779965714285715,0.0,0.0030075687199256212,False,False
49,id02,2024-10-06,2024-10-05,S3,0.8893971874862591,0.9222825440387216,0.910998324724383,0.021601137238123957,0.24128746799314219,with_cohort_atlas_hsjepa,3,1.0571866666666667,0.8490057142857143,1.0986022857142859,0.0,0.003598476342577206,False,False
33,id02,2024-09-01,2024-08-31,S3,0.9359815346982728,0.9548631317034848,0.9484110124671963,0.012429477768923447,0.22905554963628666,with_cohort_atlas_hsjepa,4,1.006683523809524,0.8135885714285715,1.0397325714285717,0.0,0.0019589495868759244,False,False
58,id02,2024-10-16,2024-10-15,S2,0.9726349169390828,0.9948943324142718,0.985539108442933,0.012904191503850249,0.651,with_cohort_atlas_hsjepa,5,0.992942476190476,0.8663085714285713,0.9858468571428569,0.0,0.008559579300819298,False,False
45,id02,2024-10-01,2024-09-30,S2,0.9427014993868272,0.9645241559262308,0.9573811915301136,0.01467969214328635,0.31143072933279303,with_cohort_atlas_hsjepa,6,0.981537142857143,0.8313371428571429,0.993392,0.0,0.003043711643472058,False,False
141,id06,2024-08-10,2024-08-09,S4,0.954920996996146,0.976182982029308,0.9695998341141204,0.014678837117974464,0.4092233404328862,with_cohort_atlas_hsjepa,7,0.9605032380952377,0.7733371428571427,1.0424822857142855,0.0,0.0038399465495218277,False,False
198,id08,2024-09-15,2024-09-14,S3,0.6281922993635439,0.674362249994613,0.6571562884968547,0.028963989133310775,0.12617763856957204,with_cohort_atlas_hsjepa,8,0.9603960000000002,0.7952,0.9879817142857145,0.0,0.0026998457249696184,False,False
116,id05,2024-10-16,2024-10-15,S3,0.1211559292718874,0.1422480623894048,0.1338937053884849,0.012737776116597516,0.11456769909152965,with_cohort_atlas_hsjepa,9,0.936392361904762,0.7035657142857143,0.9484174285714287,6.661338147750939e-16,0.0011377834722657854,False,False
7,id01,2024-08-09,2024-08-08,Q1,0.1466324541766752,0.1816249515641152,0.16761674076167296,0.020984286584997763,0.15864828210171436,with_cohort_atlas_hsjepa,10,0.9313378095238094,0.8260342857142856,0.9590145714285713,0.0,0.002621408308323081,False,False
