perm,spearman,top10_lift
0,-0.0018000083161634525,-0.0011647168221663943
1,0.0013709852690163879,0.0002283518280370881
2,-0.0006916424625704295,-0.001993853573842441
3,0.00023847035038040274,-0.00533931176667043
4,0.0016843777437998573,0.0013470543522696166
5,-0.00045551711970199675,0.0018001342565221819
6,-0.004369866954958138,-0.00036791473094411264
7,0.0025209469054680513,4.49398147399048e-05
8,-0.0053288377414074115,-0.0008669253517654456
9,-0.001419174200997866,-0.0003675414348051167
10,-0.0026265068668134793,-0.001111493108032498
11,0.003460742015739481,0.004169972508449694
12,-0.0019337431252969078,0.0005214344222730489
13,-0.0007099551601557336,0.001840408325827546
14,0.0002964908492621676,-0.0005991327809026543
15,-0.00036132792806042044,-0.0011023338103890252
16,0.0015326469445609483,-0.00026226614678277944
17,-0.002358210646777533,0.003329287229359806
18,0.00230108513595663,0.0013975500870785406
19,-0.0012435239860115576,-0.00042359990172449096
20,0.0015713055320748337,0.0004762286402672794
21,0.0003153227329696774,-0.0007383433443665446
22,-0.0019641060823342125,-0.000232622942653022
23,0.0012401080700759812,0.0009543264606450011
24,0.0029102746591269067,0.002321338958431374
25,-0.00018569566338349022,0.002138034184789927
26,0.0033343083354368977,0.002997851499855747
27,0.003459500434315586,0.00014841180596328278
28,-0.0016288095609479046,0.0007294601730577873
29,0.004750719486344642,0.00013527530216329213
30,-0.0002829174866326584,0.002549205041739598
31,0.001992979648053228,0.0028801911246314127
32,0.0017456991232360395,0.00038275448506158846
33,-0.000729530152877536,-0.0005770016597499147
34,-0.0008566080833970526,0.001371204640312807
35,-0.0022063912749480706,-0.002865363296164888
36,-0.00479598894538653,-0.0032110186431940826
37,0.0029684622517313483,0.0016861310319732006
38,0.0011113705261366136,-0.0002134730468123662
39,0.007397242900438857,0.0027125455418828865
40,-0.002133278402867477,-0.0019549524710991985
41,-0.0008051658743483354,-0.00131864150853247
42,-0.00022148011973041108,0.0004922483179594739
43,0.003654243854621402,0.000779334163591086
44,9.256074075640273e-05,0.00273435298460283
45,-0.0030139975490022612,-0.002743013315813077
46,0.0009483149550558062,0.0015884690828367554
47,0.0028542176735439685,0.0017366829778634782
48,-0.0005837171594811765,0.0008658784253143415
49,-0.0012020026835855065,-0.000694955370445653
50,0.003503068290055688,0.002337474373121187
51,-0.0031046903826777114,-0.0010328104279912532
52,-0.0032653516523106817,-0.002585616014615953
53,-0.0008484686955442646,0.0017033358746725976
54,0.00324779421217365,-0.0016028497099094922
55,-0.00072981611401095,-0.0009261194248059511
56,-0.002401949914418947,0.0013553735948695122
57,0.0010989237440936846,-0.0025926833795203827
58,-0.0012091114401865,-0.0035657660896439235
59,0.00048422834204225255,0.0015401269458841394
60,-0.004228086458496837,-0.0026338834597548267
61,-0.0004623335586232788,-0.00047568093049854207
