proposal,kind,group,k,subject_only,mean_train_prob,mean_test_prob
global_prior,global,all,24,False,0.6020282801664304,0.6019047619047618
subject_prior,subject,all,24,False,0.6022369011431826,0.6069921127652835
subject_time_decay14,time,all,24,False,0.6040631143368956,0.6083049716309014
subject_time_decay35,time,all,24,False,0.6029627220584205,0.607718896815401
knn_all_k16,knn,all,16,False,0.5951897172466755,0.5965923806166175
knn_all_k40,knn,all,40,False,0.5956560621493102,0.5999103658130843
knn_sleep_k24,knn,sleep,24,False,0.6066465883761247,0.6053986169574798
knn_social_sleep_k32,knn,social_sleep,32,False,0.5879505461266147,0.5931516187068114
knn_quality_k24,knn,quality,24,False,0.6174585671592416,0.6045485428726219
knn_body_calendar_k32,knn,body_calendar,32,False,0.6093059196567859,0.6054699686397375
subject_knn_all_k10,knn,all,10,True,0.6035929833602505,0.5983718523276746
subject_knn_social_sleep_k12,knn,social_sleep,12,True,0.5952561148793953,0.593678645788474
