cell_key,row,subject_id,target,expert,expert_family,expert_pred,selection_score,true_gain,model_name,feature_view,row_episode_score,row_episode_route,row_episode_route_family,expert_matches_row_episode_route,family_matches_row_episode,law_name
31:Q1,31,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,-0.18407555855914104,episode_tree_depth2_leaf18,route_law_no_episode,-0.010765252852204968,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
31:Q2,31,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,0.06074643703130589,episode_tree_depth2_leaf18,route_law_no_episode,-0.010765252852204968,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
31:Q3,31,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,-0.0036798569584006735,episode_tree_depth2_leaf18,route_law_no_episode,-0.010765252852204968,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
31:S1,31,id01,S1,global_prior,prior,0.6840909090909091,-0.007103501930742824,-0.10089743295399956,episode_tree_depth2_leaf18,route_law_no_episode,-0.010765252852204968,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
31:S2,31,id01,S2,global_prior,prior,0.6545454545454545,-0.007103501930742824,-0.06101546580191353,episode_tree_depth2_leaf18,route_law_no_episode,-0.010765252852204968,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
31:S3,31,id01,S3,global_prior,prior,0.6613636363636364,-0.007103501930742824,-0.28844191482105547,episode_tree_depth2_leaf18,route_law_no_episode,-0.010765252852204968,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
31:S4,31,id01,S4,global_prior,prior,0.5613636363636364,-0.007103501930742824,-0.1610776200654609,episode_tree_depth2_leaf18,route_law_no_episode,-0.010765252852204968,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
32:Q1,32,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,-0.18407555855914104,episode_tree_depth2_leaf18,route_law_no_episode,-0.012288257444280096,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
32:Q2,32,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,-0.044619146652093766,episode_tree_depth2_leaf18,route_law_no_episode,-0.012288257444280096,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
32:Q3,32,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,0.00554530071642545,episode_tree_depth2_leaf18,route_law_no_episode,-0.012288257444280096,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
32:S1,32,id01,S1,global_prior,prior,0.6840909090909091,-0.007103501930742824,-0.06341067652786836,episode_tree_depth2_leaf18,route_law_no_episode,-0.012288257444280096,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
32:S2,32,id01,S2,global_prior,prior,0.6545454545454545,-0.007103501930742824,0.013655278380958424,episode_tree_depth2_leaf18,route_law_no_episode,-0.012288257444280096,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
32:S3,32,id01,S3,global_prior,prior,0.6613636363636364,-0.007103501930742824,-0.24375038935321214,episode_tree_depth2_leaf18,route_law_no_episode,-0.012288257444280096,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
32:S4,32,id01,S4,global_prior,prior,0.5613636363636364,-0.007103501930742824,-0.13581025818525216,episode_tree_depth2_leaf18,route_law_no_episode,-0.012288257444280096,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
33:Q1,33,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,0.08190411358984762,episode_tree_depth2_leaf18,route_law_no_episode,0.0040075578888150235,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
33:Q2,33,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,-0.02902923010107117,episode_tree_depth2_leaf18,route_law_no_episode,0.0040075578888150235,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
33:Q3,33,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,0.1818147727882683,episode_tree_depth2_leaf18,route_law_no_episode,0.0040075578888150235,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
33:S1,33,id01,S1,global_prior,prior,0.6840909090909091,-0.007103501930742824,0.011502432668822449,episode_tree_depth2_leaf18,route_law_no_episode,0.0040075578888150235,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
33:S2,33,id01,S2,global_prior,prior,0.6545454545454545,-0.007103501930742824,-0.06101546580191353,episode_tree_depth2_leaf18,route_law_no_episode,0.0040075578888150235,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
33:S3,33,id01,S3,global_prior,prior,0.6613636363636364,-0.007103501930742824,-0.24375038935321214,episode_tree_depth2_leaf18,route_law_no_episode,0.0040075578888150235,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
33:S4,33,id01,S4,global_prior,prior,0.5613636363636364,-0.007103501930742824,0.0010941730410453099,episode_tree_depth2_leaf18,route_law_no_episode,0.0040075578888150235,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
34:Q1,34,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,0.17103880095853152,episode_tree_depth2_leaf18,route_law_no_episode,-0.004362276691608134,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
34:Q2,34,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,0.023067651408627765,episode_tree_depth2_leaf18,route_law_no_episode,-0.004362276691608134,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
34:Q3,34,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,-0.06576185090550513,episode_tree_depth2_leaf18,route_law_no_episode,-0.004362276691608134,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
34:S1,34,id01,S1,global_prior,prior,0.6840909090909091,-0.007103501930742824,0.03069740816619837,episode_tree_depth2_leaf18,route_law_no_episode,-0.004362276691608134,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
34:S2,34,id01,S2,global_prior,prior,0.6545454545454545,-0.007103501930742824,0.05429588426664689,episode_tree_depth2_leaf18,route_law_no_episode,-0.004362276691608134,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
34:S3,34,id01,S3,global_prior,prior,0.6613636363636364,-0.007103501930742824,-0.16451734307622337,episode_tree_depth2_leaf18,route_law_no_episode,-0.004362276691608134,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
34:S4,34,id01,S4,global_prior,prior,0.5613636363636364,-0.007103501930742824,-0.20977409186095786,episode_tree_depth2_leaf18,route_law_no_episode,-0.004362276691608134,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
35:Q1,35,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,0.17103880095853152,episode_tree_depth2_leaf18,route_law_no_episode,-0.004322332707545293,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
35:Q2,35,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,-7.432706136900613e-06,episode_tree_depth2_leaf18,route_law_no_episode,-0.004322332707545293,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
35:Q3,35,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,-0.06576185090550513,episode_tree_depth2_leaf18,route_law_no_episode,-0.004322332707545293,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
35:S1,35,id01,S1,global_prior,prior,0.6840909090909091,-0.007103501930742824,0.011502432668822449,episode_tree_depth2_leaf18,route_law_no_episode,-0.004322332707545293,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
35:S2,35,id01,S2,global_prior,prior,0.6545454545454545,-0.007103501930742824,-0.19209656976292866,episode_tree_depth2_leaf18,route_law_no_episode,-0.004322332707545293,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
35:S3,35,id01,S3,global_prior,prior,0.6613636363636364,-0.007103501930742824,-0.09627571349494207,episode_tree_depth2_leaf18,route_law_no_episode,-0.004322332707545293,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
35:S4,35,id01,S4,global_prior,prior,0.5613636363636364,-0.007103501930742824,0.22976066852414978,episode_tree_depth2_leaf18,route_law_no_episode,-0.004322332707545293,global_prior,prior_reset,1.0,1.0,route_law_no_episode__episode_tree_depth2_leaf18
36:Q1,36,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,0.2026078647928682,episode_tree_depth2_leaf18,route_law_no_episode,0.008637349939130824,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
36:Q2,36,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,0.06074643703130589,episode_tree_depth2_leaf18,route_law_no_episode,0.008637349939130824,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
36:Q3,36,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,-0.024805003711591445,episode_tree_depth2_leaf18,route_law_no_episode,0.008637349939130824,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
36:S1,36,id01,S1,global_prior,prior,0.6840909090909091,-0.007103501930742824,-0.1370295602348699,episode_tree_depth2_leaf18,route_law_no_episode,0.008637349939130824,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
36:S2,36,id01,S2,global_prior,prior,0.6545454545454545,-0.007103501930742824,-0.06101546580191353,episode_tree_depth2_leaf18,route_law_no_episode,0.008637349939130824,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
36:S3,36,id01,S3,global_prior,prior,0.6613636363636364,-0.007103501930742824,0.9545605472601366,episode_tree_depth2_leaf18,route_law_no_episode,0.008637349939130824,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
36:S4,36,id01,S4,global_prior,prior,0.5613636363636364,-0.007103501930742824,0.14683779509493178,episode_tree_depth2_leaf18,route_law_no_episode,0.008637349939130824,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
37:Q1,37,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,0.26890291872643113,episode_tree_depth2_leaf18,route_law_no_episode,0.014534565395457586,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
37:Q2,37,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,-0.022562044679730553,episode_tree_depth2_leaf18,route_law_no_episode,0.014534565395457586,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
37:Q3,37,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,-0.05709440769533691,episode_tree_depth2_leaf18,route_law_no_episode,0.014534565395457586,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
37:S1,37,id01,S1,global_prior,prior,0.6840909090909091,-0.007103501930742824,0.050268053480920116,episode_tree_depth2_leaf18,route_law_no_episode,0.014534565395457586,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
37:S2,37,id01,S2,global_prior,prior,0.6545454545454545,-0.007103501930742824,0.03376913817460725,episode_tree_depth2_leaf18,route_law_no_episode,0.014534565395457586,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
37:S3,37,id01,S3,global_prior,prior,0.6613636363636364,-0.007103501930742824,0.7745392657439321,episode_tree_depth2_leaf18,route_law_no_episode,0.014534565395457586,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
37:S4,37,id01,S4,global_prior,prior,0.5613636363636364,-0.007103501930742824,0.09514526495336884,episode_tree_depth2_leaf18,route_law_no_episode,0.014534565395457586,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
38:Q1,38,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,-0.18407555855914104,episode_tree_depth2_leaf18,route_law_no_episode,0.013634908524481341,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
38:Q2,38,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,0.029916969294292883,episode_tree_depth2_leaf18,route_law_no_episode,0.013634908524481341,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
38:Q3,38,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,0.00554530071642545,episode_tree_depth2_leaf18,route_law_no_episode,0.013634908524481341,core_knn_blend,core_reset,0.0,0.0,route_law_no_episode__episode_tree_depth2_leaf18
