pg_true_calendar_rhythm_prototype,pg_true_calendar_rhythm_confidence,pg_true_calendar_rhythm_entropy,pg_true_calendar_rhythm_p0,pg_true_calendar_rhythm_p1,pg_true_calendar_rhythm_p2,pg_true_phone_behavior_prototype,pg_true_phone_behavior_confidence,pg_true_phone_behavior_entropy,pg_true_phone_behavior_p0,pg_true_phone_behavior_p1,pg_true_phone_behavior_p2,pg_true_body_activity_sleep_prototype,pg_true_body_activity_sleep_confidence,pg_true_body_activity_sleep_entropy,pg_true_body_activity_sleep_p0,pg_true_body_activity_sleep_p1,pg_true_body_activity_sleep_p2,pg_true_app_social_context_prototype,pg_true_app_social_context_confidence,pg_true_app_social_context_entropy,pg_true_app_social_context_p0,pg_true_app_social_context_p1,pg_true_app_social_context_p2,pg_true_mobility_environment_prototype,pg_true_mobility_environment_confidence,pg_true_mobility_environment_entropy,pg_true_mobility_environment_p0,pg_true_mobility_environment_p1,pg_true_mobility_environment_p2
1,0.6883609301051203,0.6379400273318656,0.2892806533284383,0.6883609301051203,0.022358416566441403,0,0.8451043604286869,0.49005118989241525,0.8451043604286869,0.07470546293207554,0.0801901766392376,0,0.5252404235220981,0.9293045884847267,0.5252404235220981,0.23850164808931337,0.23625792838858853,2,0.6251417296413756,0.8329914293161571,0.15346681368155934,0.22139145667706503,0.6251417296413756,0,0.6709280419420096,0.784215679769344,0.6709280419420096,0.1612462579450245,0.16782570011296588
1,0.6354862339845656,0.6779550754874603,0.34037998808573305,0.6354862339845656,0.024133777929701263,2,0.5423439918393003,0.8755191991443473,0.1291346831623594,0.3285213249983403,0.5423439918393003,1,0.5097632240051628,0.9070192896696392,0.3382632547189136,0.5097632240051628,0.15197352127592353,0,0.5541605879387541,0.8812614367947266,0.5541605879387541,0.3012721425584736,0.14456726950277224,1,0.5652764320114197,0.88457669201577,0.1622612916084862,0.5652764320114197,0.272462276380094
1,0.5823276413992252,0.7076224611253473,0.39148475588126186,0.5823276413992252,0.026187602719512988,1,0.48962760939134287,0.8672894685576437,0.10536160926088853,0.48962760939134287,0.4050107813477686,1,0.5527530506621684,0.876551128789394,0.31041857610533613,0.5527530506621684,0.13682837323249553,1,0.4966838455364823,0.9484123923562143,0.24777717432525037,0.4966838455364823,0.25553898013826726,1,0.567682657675818,0.8883555546876861,0.1755924851470304,0.567682657675818,0.25672485717715154
0,0.6146070012975458,0.6985895816150555,0.6146070012975458,0.3572115263413024,0.02818147236115185,2,0.6031309138511972,0.8227268552179398,0.10781973323902665,0.28904935290977607,0.6031309138511972,2,0.5944181015665498,0.8650365861120369,0.1680004129966867,0.23758148543676344,0.5944181015665498,2,0.6237036334323389,0.8184545081409896,0.12182878283294345,0.2544675837347176,0.6237036334323389,2,0.5378896343588772,0.9064907774656461,0.17308329326187244,0.28902707237925035,0.5378896343588772
2,0.9273983261595723,0.2823385328729047,0.04038434401804838,0.03221732982237928,0.9273983261595723,2,0.6807638100303371,0.7271817660747968,0.07379104184940524,0.24544514812025764,0.6807638100303371,1,0.496857261607618,0.9442107689945808,0.2853819650050672,0.496857261607618,0.21776077338731498,1,0.6361949533868104,0.7702512403992416,0.07920369116302003,0.6361949533868104,0.2846013554501695,2,0.6550684522675836,0.7975510586044384,0.13749255095038168,0.20743899678203467,0.6550684522675836
1,0.6860333979008948,0.6628204763010046,0.2807787569253292,0.6860333979008948,0.03318784517377603,2,0.6280403109061411,0.7935926138080931,0.09548256391576461,0.2764771251780943,0.6280403109061411,1,0.49804398481121526,0.9314075912374566,0.31744270649601314,0.49804398481121526,0.1845133086927718,0,0.5201552050976164,0.8869281435549319,0.5201552050976164,0.3480668616299969,0.13177793327238674,1,0.5526557923427253,0.9017576878263948,0.18424897727260006,0.5526557923427253,0.26309523038467464
1,0.6783111564824157,0.6592707294002159,0.2932430387807244,0.6783111564824157,0.02844580473685979,2,0.7035799123382313,0.7071158019820086,0.07629041442895812,0.22012967323281066,0.7035799123382313,0,0.6484689306857928,0.8039576771933937,0.6484689306857928,0.2149605862202884,0.13657048309391875,2,0.41221970110420864,0.9645872053962967,0.20817389241941578,0.37960640647637556,0.41221970110420864,2,0.45526569777955345,0.9151703643396218,0.14563700771345908,0.39909729450698755,0.45526569777955345
1,0.6651018746190851,0.6598328432812254,0.3105339229395414,0.6651018746190851,0.024364202441373526,1,0.4519980230886659,0.8855696957689622,0.11714861102746912,0.4519980230886659,0.430853365883865,1,0.4260615802635331,0.9434617984300525,0.3972596223959309,0.4260615802635331,0.17667879734053607,1,0.7397301686822535,0.6783203869163185,0.0969947455049151,0.7397301686822535,0.16327508581283137,1,0.5526857834995896,0.8987897341707268,0.17603394594770302,0.5526857834995896,0.27128027055270726
1,0.6433551244753715,0.6656467382131086,0.3356526109032412,0.6433551244753715,0.020992264621387202,1,0.5063788605857322,0.9002971731022321,0.14179428772153613,0.5063788605857322,0.35182685169273165,1,0.4421005617105086,0.9637781781027502,0.21602933229704777,0.4421005617105086,0.34187010599244355,0,0.7111834843914004,0.7280625525222908,0.7111834843914004,0.13008756957045436,0.15872894603814514,2,0.48305457464082296,0.9404297011827993,0.19117729157588786,0.32576813378328906,0.48305457464082296
1,0.6085578370357771,0.6767030910329584,0.3730995708428613,0.6085578370357771,0.018342592121361693,1,0.48868687314664294,0.8430978530874974,0.08707839957519196,0.48868687314664294,0.42423472727816514,0,0.44737539796196163,0.8933275107097972,0.44737539796196163,0.42894290838818516,0.12368169364985318,1,0.5744202659369365,0.8792792163623779,0.16455026020467273,0.5744202659369365,0.2610294738583908,2,0.5722300214514956,0.8877809849033073,0.1852073835623725,0.2425625949861319,0.5722300214514956
