view,prototype,rows,train_rows,test_rows,subject_entropy_0to1,top_positive_features,top_positive_z,top_negative_features,top_negative_z
calendar_rhythm,0,190,124,66,0.9958522622312018,"is_weekend, dayofweek, month_start_proximity, dayofmonth, month_end","1.562, 1.249, 0.051, -0.104, -0.185","month_end, dayofmonth, month_start_proximity, dayofweek, is_weekend","-0.185, -0.104, 0.051, 1.249, 1.562"
calendar_rhythm,1,487,309,178,0.9951321286310492,"month_start_proximity, dayofmonth, month_end, dayofweek, is_weekend","0.055, -0.039, -0.184, -0.501, -0.638","is_weekend, dayofweek, month_end, dayofmonth, month_start_proximity","-0.638, -0.501, -0.184, -0.039, 0.055"
calendar_rhythm,2,23,17,6,0.9720322362446004,"month_end, dayofmonth, is_weekend, dayofweek, month_start_proximity","5.421, 1.691, 0.602, 0.298, -1.584","month_start_proximity, dayofweek, is_weekend, dayofmonth, month_end","-1.584, 0.298, 0.602, 1.691, 5.421"
phone_behavior,0,51,33,18,0.9342788286084245,"screen_use_morning_value, phone_light_mean, screen_use_count, phone_activity_mean, phone_activity_morning_value","0.504, 0.481, 0.407, 0.341, 0.322","phone_activity_evening_value, screen_use_evening_value, phone_charging_morning_value, phone_charging_count, phone_charging_std","-3.024, -3.001, -2.791, -2.757, -0.939"
phone_behavior,1,148,99,49,0.9869984763281182,"phone_light_morning_value, watch_light_count, watch_light_std, phone_light_std, phone_light_count","1.228, 1.227, 1.110, 1.093, 1.085","screen_use_morning_value, phone_charging_evening_value, phone_activity_max, phone_activity_mean, screen_use_count","-0.377, -0.282, -0.276, -0.270, -0.223"
phone_behavior,2,501,318,183,0.9897212049104518,"screen_use_evening_value, phone_activity_evening_value, phone_charging_morning_value, phone_charging_count, phone_charging_evening_value","0.243, 0.241, 0.222, 0.221, 0.107","phone_light_morning_value, watch_light_count, watch_light_std, phone_activity_morning_value, phone_light_count","-0.362, -0.360, -0.324, -0.321, -0.320"
body_activity_sleep,0,241,156,85,0.9931992893304413,"distance_sum, walking_step_sum, step_sum, running_step_sum, speed_mean","0.926, 0.926, 0.924, 0.874, 0.788","hr_max, pedo_rows, hr_mean, hr_points, hr_min","-0.141, -0.054, 0.024, 0.033, 0.067"
body_activity_sleep,1,338,229,109,0.9855736910856988,"night_step_sum, active_minutes, pedo_rows, hr_min, hr_max","0.363, 0.342, 0.315, 0.233, 0.119","distance_sum, walking_step_sum, step_sum, running_step_sum, hr_mean","-0.409, -0.299, -0.298, -0.297, -0.226"
body_activity_sleep,2,121,65,56,0.9957661930243787,"hr_mean, hr_rows, hr_points, hr_max, speed_max","0.582, 0.037, -0.034, -0.051, -0.274","active_minutes, night_step_sum, speed_mean, walking_step_sum, step_sum","-1.528, -1.424, -1.153, -1.010, -1.007"
app_social_context,0,114,68,46,0.9883247317144149,"night_usage_home_launcher_time, night_usage_total_time, night_usage_social_time, night_usage_search_browser_time, night_usage_finance_time","1.602, 1.590, 1.225, 1.094, 0.930","usage_media_time, usage_search_browser_time, usage_call_time, usage_social_time, usage_religion_ritual_time","0.054, 0.176, 0.195, 0.219, 0.231"
app_social_context,1,333,215,118,0.9905969965438263,"usage_total_time, usage_entropy, usage_app_count, usage_home_launcher_time, usage_social_time","0.569, 0.565, 0.558, 0.547, 0.539","night_usage_home_launcher_time, night_usage_total_time, night_usage_search_browser_time, night_usage_social_time, night_usage_finance_time","-0.348, -0.343, -0.279, -0.238, -0.200"
app_social_context,2,253,167,86,0.9943546881786951,"night_usage_media_time, usage_media_time, night_usage_call_time, night_usage_search_browser_time, night_usage_finance_time","-0.006, -0.050, -0.118, -0.125, -0.155","usage_total_time, usage_entropy, usage_app_count, usage_home_launcher_time, usage_social_time","-0.955, -0.941, -0.937, -0.892, -0.808"
mobility_environment,0,107,77,30,0.9486095613569404,"gps_lon_std, gps_lat_std, gps_speed_mean, wifi_rssi_mean, ble_rssi_mean","0.453, 0.365, 0.310, 0.019, -0.105","gps_rows, gps_points, wifi_count, wifi_strong_count, gps_moving_points","-1.798, -1.643, -0.882, -0.836, -0.449"
mobility_environment,1,219,141,78,0.9796325220022495,"ble_count, ble_strong_count, gps_moving_points, wifi_count, wifi_strong_count","0.982, 0.948, 0.702, 0.675, 0.615","ble_rssi_mean, wifi_rssi_mean, gps_points, gps_rows, gps_lon_std","-0.030, -0.026, 0.298, 0.368, 0.497"
mobility_environment,2,374,232,142,0.9814092746027991,"gps_rows, gps_points, ble_rssi_mean, wifi_rssi_mean, wifi_strong_count","0.299, 0.296, 0.047, 0.010, -0.121","ble_count, ble_strong_count, gps_lat_std, gps_lon_std, gps_speed_mean","-0.519, -0.493, -0.425, -0.421, -0.406"
